institution_code,institution_name,email,akreditasi_institusi,link
111,Sekolah Tinggi Ilmu Ekonomi Indocakti,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73111
112,Sekolah Tinggi Ilmu Ekonomi Indonesia Malang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73024
113,Sekolah Tinggi Ilmu Ekonomi Indonesia Surabaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73001
114,Sekolah Tinggi Ilmu Ekonomi Jaya Negara Tamansiswa,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73018
115,Sekolah Tinggi Ilmu Ekonomi Kertanegara,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73022
116,Sekolah Tinggi Ilmu Ekonomi Kesumanegara,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73063
117,Sekolah Tinggi Ilmu Ekonomi Koperasi Malang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73056
118,Sekolah Tinggi Ilmu Ekonomi Mahardhika,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73004
119,Sekolah Tinggi Ilmu Ekonomi Malangkucecwara,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73019
120,Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Tuban,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73107
121,Sekolah Tinggi Ilmu Ekonomi Nganjuk,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73076
122,Sekolah Tinggi Ilmu Ekonomi Nu Trate,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73098
123,Sekolah Tinggi Ilmu Ekonomi Pemnas Indonesia,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73102
124,Sekolah Tinggi Ilmu Ekonomi Pemuda,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73108
125,Sekolah Tinggi Ilmu Ekonomi PGRI Dewantara,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73080
126,Sekolah Tinggi Ilmu Ekonomi Widya Darma,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73079
127,Sekolah Tinggi Ilmu Ekonomi Widya Dharma,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73082
128,Sekolah Tinggi Ilmu Ekonomi YAPAN,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73114
129,Sekolah Tinggi Ilmu Hukum Jenderal Sudirman,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73034
130,Sekolah Tinggi Ilmu Hukum Sunan Giri,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73021
131,Sekolah Tinggi Ilmu Hukum Zainul Hasan,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73037
