id_sp,kab_kota_pt,provinsi_pt,akreditasi,nama_singkat,status_pt,nama_pt,jenis_pt,jumlah_prodi,range_biaya_kuliah
rkVmgTqCJvUT7r5-2iPsqHP2vTP8oKM42I4Hl-P2bou3MzyeQ5eRBjP2kNSXYJvVuiYVBA==,Kota Medan,Prov. Sumatera Utara,Baik,AMIK MEDICOM,Aktif,Akademi Informatika Dan Komputer Medicom,Swasta,3,6.500.000 - 8.000.000
GuTIB2p1snSVKviW1maUVWXQK9ciPmWcvHWRoC7Iztczl5QLdPXMMOcBEnFRyLop2j-vPA==,Kota Medan,Prov. Sumatera Utara,B,Poltek AMI Medan,Aktif,Politeknik Adiguna Maritim Indonesia Medan,Swasta,3,-
JEkl3PsLCE3d_J1jLMDt8hz_BSNv-0VJEkGme5nT2tJnYderrW9LxNU96ORSW1iWFkYJjQ==,Kota Jakarta Barat,Prov. D.K.I. Jakarta,-,-,Tutup,Politeknik Orang Tua,Swasta,3,-
dGolvHN136nfidjPuVLcirZmZJR9E3Lg1v071scAOVGNA7PRKA2AVdF29rov5hJTfX0m0A==,Kota Bandung,Prov. Jawa Barat,Baik,Poltek Praktisi ,Aktif,Politeknik Praktisi Bandung,Swasta,3,1.200.000 - 7.200.000
hanbxGeqXXYqi4MHhK2F-6oYb3zIz-Xu0f4_Z63nqTxg3w0uQQ2zicjqhAye24aBm4ZwQg==,Kab. Maros,Prov. Sulawesi Selatan,-,YAPENAS MAROS,Aktif,Akademi Keperawatan Yapenas 21 Maros,Swasta,1,2.750.000 - 2.750.000
4bKWRdx2kA3mgEJOXOOn3UDIH5OylvbC6XGORGsQOQJ1iX6gej1urZcqZoRmlbDvOdKraA==,Kab. Aceh Tenggara,Prov. Aceh,-,-,Tutup,Sekolah Tinggi Pertanian Gunung Leuser,Swasta,1,-
MVPdyf4WLrDUIaxo2cXh1PMOBhrfbntyB4n7FouZa9whCvxp_8mXLIdTVHNxYzS7ai8Y0Q==,Kota Bogor,Prov. Jawa Barat,B,IBI Kesatuan,Aktif,Institut Bisnis Dan Informatika Kesatuan,Swasta,14,-
UgUl_ZlBLTo83r-kob7fVvAUH0n0T9anEZAGWtmBi3XqTaArAYYfvKpNGOe1wYR6WiXoGQ==,Kota Bekasi,Prov. Jawa Barat,-,STISIP BEKASI,Tutup,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Bekasi,Swasta,2,-
oImrAzKI9MUt11obucx8WHqLmcbWyxeLDT9sBg3fimELUa1aoX5Ach9IKy-pfsFsgN4csg==,Kab. Sumbawa,Prov. Nusa Tenggara Barat,-,Akper Samawa,Alih Bentuk,Akademi Keperawatan Samawa,Swasta,1,-
_yFVMrcLalzeaiUNtrk5aqKuHPcmS3ZezIV808ZaTvHw2KBtqy6p-B4Lj79fnYocmblHSg==,Kota Batam,Prov. Kepulauan Riau,-,STIKes Ibnu Sina Bat,Alih Bentuk,Sekolah Tinggi Ilmu Kesehatan Ibnu Sina Batam,Swasta,2,-
NjA1GPYomVnxmw0-vO_B-JMEBvqjtRki0UFW0XUQFbqHOGCTxJgk2KS1-wOwCItCz-wMfA==,Kab. Sikka,Prov. Nusa Tenggara Timur,Baik Sekali,STIKES ELMA,Aktif,Sekolah Tinggi Ilmu Kesehatan St. Elisabeth Keuskupan Maumere,Swasta,3,-
p0TvRlanPeig5FTRBJobdcCJ1H_SlI8OfxWa5s3SKHuKpYLBpz_Qb1Vt-pKxAJe_iugl6Q==,Kab. halmahera Utara,Prov. Maluku Utara,Baik Sekali,UNIERA,Aktif,Universitas Halmahera,Swasta,17,960.000 - 14.300.000
2ZXMypmjGIgP-Km_8VKT-9nsvNHtlZyp0bzlVYIlEsXppJ7DfIHVcYJAtPEv34xFi5HE5A==,Kota Semarang,Prov. Jawa Tengah,-,AKPELNI,Alih Bentuk,Akademi Pelayaran Niaga Indonesia Semarang,Swasta,3,-
ZUynTaAAdO7iprp0bcEvtxhAfcLpcaGOXETZJ2_8KvHrpvcgBDwpmiQhh7GWW7cSb3rZMA==,Kab. Banyumas,Prov. Jawa Tengah,-,AMIK Veteran,Alih Bentuk,AMIK Veteran Purwokerto,Swasta,2,-
92Fj-TCX4M47gjFwHfxg0mCDRPk4hIVXalGKicH2af2mzEIMSesoRPS6KRh9G3yXUaIRlA==,Kab. Aceh Timur,Prov. Aceh,Baik,AKUBANK NUSANTARA,Aktif,Akademi Keuangan Perbankan Nusantara,Swasta,1,1.000.000 - 2.400.000
kLIVf5SsOfhPsNPrmXbNihGB4gBsu7ESLvL80swjeJIXKSLjwtmtlvqU5UvLstw32M6POA==,Kota Tangerang,Prov. Banten,-,-,Alih Bentuk,Sekolah Tinggi Pariwisata Pelita Harapan,Swasta,5,-
mhYctYikOah6EKjzqIuUiSvyCZ2giv7RGYi5e3ujJ2i8A8KhrvP3lWOyAU_odmoNNQtbkA==,Kota Bandung,Prov. Jawa Barat,Baik Sekali,ITHB,Aktif,Institut Teknologi Harapan Bangsa,Swasta,8,1.450.000 - 16.950.000
sx0B3EyaPMx5ZeZ7BrtCZZLeooGQZ0USj6dEOQdP7YdzmQFma1Uv8UhDo-HW6_IhNc7pWw==,Kota Bekasi,Prov. Jawa Barat,-,-,Tutup,Politeknik Mitra Kusuma,Swasta,3,-
GNhrUPXBo-fLG7UuQ7x18gOCbYS3DbT1BXrbpUllqlUews4U-oqiXMxl2sNjTjreIUd4NA==,Kota Tegal,Prov. Jawa Tengah,Baik,Politeknik STiBISNIS,Aktif,Politeknik Stibisnis,Swasta,5,-
Hgk84G9lqhgIkuHCfupDT30XOQBKmXqodIffUjj-O1G96SOpsbiuekLxflHKsd7ylhK0Hw==,Kota Tegal,Prov. Jawa Tengah,Baik,AKUBISA,Alih Bentuk,Akademi Akuntansi Bima Sakapenta ,Swasta,1,2.450 - 2.450.000
07F6AJdjvpFczrdtmMBaKOS-VYLxDtc9t9KVMAHz6JEUVU3j3S2634kWOcLza_Galp1zGA==,Kab. Tasikmalaya,Prov. Jawa Barat,-,STIE Cipasung,Alih Bentuk,Sekolah Tinggi Ilmu Ekonomi Cipasung,Swasta,2,-
U5J7TvPA7pos3LrBWUPqrmRrG8E0UHqUetNyueYDF47eClThq0qW0PZvkK54EAB-kLQfqg==,Kota Palembang,Prov. Sumatera Selatan,Baik,STIKES BMS,Aktif,Sekolah Tinggi Ilmu Kesehatan Budi Mulia Sriwijaya,Swasta,5,4.000.000 - 37.600.000
qAIyUpmW792KYguXyN5AzKUhu9a8y3IQfgmcI7v6k3bqVaRLmR30IauoDIx0p-rqGbCgDw==,Kota Bandung,Prov. Jawa Barat,Baik Sekali,UM Bandung,Aktif,Universitas Muhammadiyah Bandung,Swasta,19,-
N3VqkM_3RTOp5RprCe6mxdej5_SJ0QVQqi52V5YCD4wmaPfHYOg7-Wrbh1dHMZ6-NRnLOg==,Kab. Manokwari,Prov. Papua Barat,-,-,Alih Bentuk,Sekolah Tinggi Ilmu Hukum Caritas Papua,Swasta,1,3.500.000 - 3.500.000
Hy0X_L0rOITINTzEuscK2CDgLASQEKAkLZ4vKcpWt53P8U6ux-g35TQQiNbBUw_ayOZ4sg==,Kab. Pemalang,Prov. Jawa Tengah,-,-,Tutup,Akademi Pertanian Muhammadiyah Pemalang,Swasta,1,-
cINUWS_RBRxc93roAuC-pQ7SDGjOuDLNAgQ8VpCsRBdOQWI6NX66j0pWEN5mX1VxAVX29A==,Kota Cirebon,Prov. Jawa Barat,Baik,Poltekes BPH Cirebon,Aktif,Politeknik Kesehatan Bhakti Pertiwi Husada,Swasta,8,-
oNCEZErIwt4pAeLUzrE3_fVsgLGwdqEsE2sNuYj-DjyhENJgu8AhN2sO9yWCn4afBBU6zg==,Kab. Mamuju,Prov. Sulawesi Barat,-,-,Alih Kelola,Akademi Keperawatan Putra Pertiwi,Swasta,1,-
TATYyvUxWQMd3lPuCbvzgSz1EZap9dcYpoFr9XDqjrPDZ_QWyh7C8Kk8S2gc0lZmmWOEZQ==,Kab. Sleman,Prov. D.I. Yogyakarta,Baik,AKRB,Aktif,Akademi Komunikasi Radya Binatama,Swasta,1,4.000.000 - 4.000.000
RRG0dxRhResOtug-EyK6uIgw_3skwKyvnOOYQPd1Vi843R3DCCQ8VGz_1PQjNqFowv50fA==,Kota Jakarta Barat,Prov. D.K.I. Jakarta,Baik Sekali,UNIJI,Aktif,Universitas Jakarta Internasional,Swasta,7,-
QAkuskl6HIADFnU-U6YHrNAlsl7pPLaz2eGX3tQuWX0a_oRjkwG9aeRx_e5853kfknsTWw==,Kab. Pangkajene Kepulauan,Prov. Sulawesi Selatan,Baik,AKBID AISYAH PANGKEP,Aktif,Akademi Kebidanan Aisyah Kabupaten Pangkep,Swasta,1,1.900.000 - 1.900.000
