id_sp,kab_kota_pt,provinsi_pt,akreditasi,nama_singkat,status_pt,nama_pt,jenis_pt,jumlah_prodi,range_biaya_kuliah
Pz_Pg22QSWbqVbnHH1Xle9i8E7TfCQNPNPdwm-0sI2ScAHe0i2DZgpXFiAXdC4TBh8dp_g==,Kota Bandung,Prov. Jawa Barat,B,Universitas Inaba,Aktif,Universitas Indonesia Membangun,Swasta,9,50.000 - 11.150.000
0WowJEQW26AsIdjZcXRiD-QMolAvZgiAf5Evp2Mp2FYXD5PanEIza7PvHtRNWjmttw93Bw==,Kota Medan,Prov. Sumatera Utara,Baik,AMIK MEDICOM,Aktif,Akademi Informatika Dan Komputer Medicom,Swasta,3,6.500.000 - 8.000.000
GbhSHMBYmB3bc32FH7eNaf8dWkNk2sO-1KX-SWdDK6X1dwM-s8FwxHyCUIU5uVgvsmZnLw==,Kota Medan,Prov. Sumatera Utara,B,Poltek AMI Medan,Aktif,Politeknik Adiguna Maritim Indonesia Medan,Swasta,3,
NNZoFOIZ8y8KBsGX-bpaIqkpLCQEYKOHWQ746mhFQsAmdLNALuWINHqH_2-Yn-UeHhgXzg==,Kota Jakarta Barat,Prov. D.K.I. Jakarta,,,Tutup,Politeknik Orang Tua,Swasta,3,
qFt_EhNL6zqKbbegXsMnpZ9UBhJAQX6jogKmzjL0gzUshDKi04T-9rkz6SIaeqasEguwyQ==,Kota Bandung,Prov. Jawa Barat,Baik,Poltek Praktisi ,Aktif,Politeknik Praktisi Bandung,Swasta,3,1.200.000 - 7.200.000
A0CpY5lUkHBnmnYJmjb1_uzRhyXKl89D8tj9V87c8iqJBz6gTTj4v1fYgyI9T4Her0_Wwg==,Kab. Maros,Prov. Sulawesi Selatan,,YAPENAS MAROS,Aktif,Akademi Keperawatan Yapenas 21 Maros,Swasta,1,2.750.000 - 2.750.000
ij-VmT7ETUu2QcHwLL12QXR0G8FZZZwA2MOTGJksNWlAwHk5nt_THpk4_i4SiATqQWC2Zw==,Kab. Aceh Tenggara,Prov. Aceh,,,Tutup,Sekolah Tinggi Pertanian Gunung Leuser,Swasta,1,
VZxtSCpM5zrqeyvYDmG8QX4fKaSPZsMpeKV2IyBOwPowdl4MkVq_2ZGgc0y1Dop4gNjKdg==,Kota Bogor,Prov. Jawa Barat,B,IBI Kesatuan,Aktif,Institut Bisnis Dan Informatika Kesatuan,Swasta,14,
v1HIT3sth4yQiunnCMHjYD59yADK_a9h7x0sjvI_Eupe0RbPxELWpNxbH1cTjNMVjrv2Nw==,Kota Bekasi,Prov. Jawa Barat,,STISIP BEKASI,Tutup,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Bekasi,Swasta,2,
eUxEeHSz_ll6XWz6MBkLetlhRm46_O7T59eRHxG4vnekSho_nW--_cPd9NORQV5w9nhF3g==,Kab. Sumbawa,Prov. Nusa Tenggara Barat,,Akper Samawa,Alih Bentuk,Akademi Keperawatan Samawa,Swasta,1,
eK5TNBt0EO0u4QQWITFjFV3OelFp6OZaikFc3eexfApA1VM8LbUDdDQ3jeNkKIk-gFKDgw==,Kota Batam,Prov. Kepulauan Riau,,STIKes Ibnu Sina Bat,Alih Bentuk,Sekolah Tinggi Ilmu Kesehatan Ibnu Sina Batam,Swasta,2,
q_0wOYYbqkd3OeONqVOZppCmTX_0OClTJl_PI0MVkrNAv7qbz3vXSv5J0RbzTiDLbc0cWg==,Kab. Sikka,Prov. Nusa Tenggara Timur,Baik Sekali,STIKES ELMA,Aktif,Sekolah Tinggi Ilmu Kesehatan St. Elisabeth Keuskupan Maumere,Swasta,3,
QVosCw8AGzShi-fr7dMasDsu6qgYbv_eoYbJmu27mND2Zj74PkSirNClBLdwTCnorBg8jQ==,Kab. halmahera Utara,Prov. Maluku Utara,Baik Sekali,UNIERA,Aktif,Universitas Halmahera,Swasta,17,960.000 - 14.300.000
YBWK6HGtQ010oHePBv4UazqBdArRhzHKH4Hy8rfUVtHIqr6rr_0V2Wj3p8CyWvXAl2RBaw==,Kota Semarang,Prov. Jawa Tengah,,AKPELNI,Alih Bentuk,Akademi Pelayaran Niaga Indonesia Semarang,Swasta,3,
wirhq69hecUbsO4id5m8MyETE6j-AzjMVTaZbgPgUkSioRRuB2hP93mSkj_N6_1_QID_Aw==,Kab. Banyumas,Prov. Jawa Tengah,,AMIK Veteran,Alih Bentuk,AMIK Veteran Purwokerto,Swasta,2,
cMs-ObzsEX1aey3FtoEV9rp4kZwGTJrWK2NfD77keIsu6ud2wvx3_XtvAAAYWtj_GI8dsA==,Kab. Aceh Timur,Prov. Aceh,Baik,AKUBANK NUSANTARA,Aktif,Akademi Keuangan Perbankan Nusantara,Swasta,1,1.000.000 - 2.400.000
UQoXh1aQr_If04-dLPS8kasfeJ5KhxXEdNqGBALZke6D7iCn-wnpsNvigFRGh_LjQ1e7MA==,Kota Tangerang,Prov. Banten,,,Alih Bentuk,Sekolah Tinggi Pariwisata Pelita Harapan,Swasta,5,
AsKsUUrdCCRUlXuP5OpxIK9g58zG5FvJMCjyJa2xVqRg-gOmi6HNG6XvHWKSX3gLGCfw4g==,Kota Bandung,Prov. Jawa Barat,Baik Sekali,ITHB,Aktif,Institut Teknologi Harapan Bangsa,Swasta,8,1.450.000 - 16.950.000
GX0x2dske83I9vMeBODXv4tp2dSY2jw0GFUfgXdBoNMNVU-A95u52CLyNYLdDgF3boLL0w==,Kota Bekasi,Prov. Jawa Barat,,,Tutup,Politeknik Mitra Kusuma,Swasta,3,
ll1WnrE_cLOLXxkrjbKS8Ijtxc3SYBvze6wSlE9BR713zy7MPBToR8XQSJcZWVFkzdvIFA==,Kota Tegal,Prov. Jawa Tengah,Baik,Politeknik STiBISNIS,Aktif,Politeknik Stibisnis,Swasta,5,
Px0MddteRNhQW8tcL_eHzTAqXJXg7JIJEHKsyUrstixByXJJ84bFWMxeqc1O26o9XlvSUQ==,Kota Tegal,Prov. Jawa Tengah,Baik,AKUBISA,Alih Bentuk,Akademi Akuntansi Bima Sakapenta ,Swasta,1,2.450 - 2.450.000
uUG8FoR4YlYJ5etZNn-bY8_q4vV9gPJjW_0uX_LX5L_xNbKZhwHN6s2yRL6Gc7Qij4IBqQ==,Kab. Tasikmalaya,Prov. Jawa Barat,,STIE Cipasung,Alih Bentuk,Sekolah Tinggi Ilmu Ekonomi Cipasung,Swasta,2,
UARDnmK-OXhOfbWJHzsKzqfVbO6RZpW05eS2WA6H-a6kBNbLje0FL-Cc0j35V2lS8eYbsg==,Kota Palembang,Prov. Sumatera Selatan,Baik,STIKES BMS,Aktif,Sekolah Tinggi Ilmu Kesehatan Budi Mulia Sriwijaya,Swasta,5,4.000.000 - 37.600.000
40sAwE1e_IiDbXh_7WO18cqNRGZsRMokZY53gAk_IXzyZfIYXDL1zdWFpDXqpj8aRyJN2A==,Kota Bandung,Prov. Jawa Barat,Baik Sekali,UM Bandung,Aktif,Universitas Muhammadiyah Bandung,Swasta,19,
xK99exYRmuWfAUZ1IP2gBdmNFKGoVgaYqCcP7HFuO0vRVJUjkwPx5PqtWNKktA15JTadkw==,Kab. Manokwari,Prov. Papua Barat,,,Alih Bentuk,Sekolah Tinggi Ilmu Hukum Caritas Papua,Swasta,1,3.500.000 - 3.500.000
NEaOj7WitdF6ER40RsUanpuolpDO4gY_KGP1F1VYO0Mbiy2zdQMTPqxftxEMwsB4Y-cmXA==,Kab. Pemalang,Prov. Jawa Tengah,,,Tutup,Akademi Pertanian Muhammadiyah Pemalang,Swasta,1,
sYO67GAjTedZmCnBlgi2Ziv9acUipD-QCTgHV73-qJWcU2YST62SsN9rF6sVFC_RJxY7fg==,Kota Cirebon,Prov. Jawa Barat,Baik,Poltekes BPH Cirebon,Aktif,Politeknik Kesehatan Bhakti Pertiwi Husada,Swasta,8,
mTdp-0_bttaYGDpdxAKFWEvKElgyZYFXqqQd9tdXIuc1W6xk9Wp8Cblc7tzgqzW163-Sbw==,Kab. Mamuju,Prov. Sulawesi Barat,,,Alih Kelola,Akademi Keperawatan Putra Pertiwi,Swasta,1,
wdPXX9BfBcwLFk_U8G6SSfM7MnaWFizjOc7hrKO796zF0QxjrDaZq8R5NzVdJx3-ho8FUA==,Kab. Sleman,Prov. D.I. Yogyakarta,Baik,AKRB,Aktif,Akademi Komunikasi Radya Binatama,Swasta,1,4.000.000 - 4.000.000
Rbi5oNsbUXCX4fF-gXbQJS7fVYOrsMLcrHb7HZ9iCwKJovdlvcO9z5WsDj5zCctO4OYACw==,Kota Jakarta Barat,Prov. D.K.I. Jakarta,Baik Sekali,UNIJI,Aktif,Universitas Jakarta Internasional,Swasta,7,
-8m0Chgobpp-wZP_Zh4sUBbjAL3zG9E5Q2h-mSJtLVaRvuAhOsoCKYGvwrlKQNGmsnTJkQ==,Kab. Pangkajene Kepulauan,Prov. Sulawesi Selatan,Baik,AKBID AISYAH PANGKEP,Aktif,Akademi Kebidanan Aisyah Kabupaten Pangkep,Swasta,1,1.900.000 - 1.900.000
