institution_code,institution_name,akreditasi_institusi,wilayah
2029,UNIVERSITAS NANI BILI NUSANTARA,BAIK,WILAYAH 14
2030,UNIVERSITAS 17 AGUSTUS 1945 SURABAYA,UNGGUL,WILAYAH 07
2031,SEKOLAH TINGGI ILMU EKONOMI SWASTA MANDIRI,BAIK,WILAYAH 06
2032,SEKOLAH TINGGI ILMU EKONOMI ISTI EKATANA UPAWEDA,BAIK,WILAYAH 05
2033,STMIK ANTAR BANGSA,BAIK,WILAYAH 04
2034,INSTITUT TEKNOLOGI SOSIAL DAN KESEHATAN MUHAMMADIYAH SELONG,BAIK,WILAYAH 08
2035,AKADEMI TEKNIK KUPANG,BAIK,WILAYAH 15
2036,UNIVERSITAS MUHAMMADIYAH PAPUA,BAIK,WILAYAH 14
2038,INSTITUT TEKNOLOGI DAN KESEHATAN MAHARDIKA,BAIK SEKALI,WILAYAH 04
2039,INSTITUT TEKNOLOGI TANGERANG SELATAN,BAIK,WILAYAH 04
2040,AKADEMI KEPERAWATAN MANDIRI,BAIK,WILAYAH 08
2041,STIKES KUSUMA BANGSA,BAIK,WILAYAH 08
2042,SEKOLAH TINGGI METEOROLOGI KLIMATOLOGI DAN GEOFISIKA,BAIK SEKALI,WILAYAH PTKL
2043,STT SRIWIJAYA PALEMBANG,BAIK,WILAYAH PTAS
2044,SEKOLAH TINGGI ILMU KESEHATAN YATSI,BAIK,WILAYAH 04
2045,SEKOLAH TINGGI BAHASA ASING JIA,BAIK,WILAYAH 04
2046,POLITEKNIK KESEHATAN AISYIYAH BANTEN,B,WILAYAH 04
2047,SEKOLAH TINGGI ILMU KESEHATAN PAYUNG NEGERI,B,WILAYAH 10
2048,UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,UNGGUL,WILAYAH PTAN
2049,UNIVERSITAS ANDALAS,UNGGUL,WILAYAH PTN
2050,POLITEKNIK PIKSI GANESHA,B,WILAYAH 04
2051,SEKOLAH TINGGI ILMU EKONOMI BII BEKASI,BAIK,WILAYAH 04
2053,STIKAS SANTO YOHANES SALIB,BAIK,WILAYAH PTAS
2054,STAI SYEKH ABDUR RAUF SINGKIL,BAIK,WILAYAH PTAS
2055,IAIN SYEKH NURJATI CIREBON,B,WILAYAH PTAN
2056,SEKOLAH TINGGI MANAJEMEN INFORMATIKA DAN KOMPUTER ROYAL,B,WILAYAH 01
2058,SEKOLAH TINGGI PERIKANAN DAN KELAUTAN MATAULI,BAIK,WILAYAH 01
2059,SEKOLAH TINGGI AGAMA ISLAM NURUL ILMI TANJUNGBALAI,BAIK,WILAYAH PTAS
2060,STAI MIFTAHUL ULUM TARATE PANDIAN SUMENEP,BAIK,WILAYAH PTAS
2061,POLITEKNIK PARIWISATA NHI BANDUNG,UNGGUL,WILAYAH PTKL
2062,INSTITUT TEKNOLOGI ALBERTH FOENAY,BAIK,WILAYAH 15
2063,UNIVERSITAS CITRA BANGSA,BAIK SEKALI,WILAYAH 15
2064,SEKOLAH TINGGI TEKNOLOGI BINA TUNGGAL,BAIK,WILAYAH 04
2065,AKADEMI KEUANGAN DAN PERBANKAN DENPASAR,BAIK,WILAYAH 08
2066,UNIVERSITAS MUSAMUS MERAUKE,BAIK SEKALI,WILAYAH PTN
2067,POLITEKNIK HARAPAN BERSAMA,B,WILAYAH 06
2068,SEKOLAH TINGGI ILMU EKONOMI INDOCAKTI,BAIK,WILAYAH 07
2069,UNIVERSITAS MUSLIM INDONESIA,UNGGUL,WILAYAH 09
2070,POLITEKNIK LEMBAGA PENDIDIKAN DAN PENGEMBANGAN PROFESI INDONESIA MAKASSAR,BAIK,WILAYAH 09
2071,UNIVERSITAS ISLAM KUANTAN SINGINGI,BAIK,WILAYAH 17
2072,STIA NUSANTARA SAKTI SUNGAI PENUH,BAIK,WILAYAH 10
2073,AKADEMI KEBIDANAN PASAMAN BARAT,BAIK,WILAYAH 10
2074,UNIVERSITAS PADJADJARAN,UNGGUL,WILAYAH PTN
2076,UNIVERSITAS KAHURIPAN KEDIRI,BAIK,WILAYAH 07
2078,STIKES MAMBA UL ULUM SURAKARTA,B,WILAYAH 06
2079,POLITEKNIK INDONESIA VENEZUELA,BAIK,WILAYAH 13
2080,INSTITUT SAINS DAN BISNIS ATMA LUHUR,B,WILAYAH 02
2081,UNIVERSITAS PANCASILA,UNGGUL,WILAYAH 03
2082,SEKOLAH TINGGI MANAJEMEN LABORA,B,WILAYAH 03
2083,STMIK JAYAKARTA,BAIK,WILAYAH 03
2084,UNIVERSITAS ADVENT INDONESIA,B,WILAYAH 04
2085,SEKOLAH TINGGI ILMU EKONOMI EKADHARMA INDONESIA,BAIK,WILAYAH 04
2086,AKADEMI TELEKOMUNIKASI BOGOR,BAIK,WILAYAH 04
2088,SEKOLAH TINGGI ILMU KESEHATAN PEMKAB PURWOREJO,BAIK SEKALI,WILAYAH 06
2089,INSTITUT PARIWISATA TRISAKTI,UNGGUL,WILAYAH 03
2090,STISIP TASIKMALAYA,BAIK,WILAYAH 04
2091,POLITEKNIK BINA MADANI,BAIK,WILAYAH 04
2092,UNIVERSITAS MUHAMMADIYAH BANTEN,BAIK,WILAYAH 04
2094,UNIVERSITAS BALI DWIPA,BAIK,WILAYAH 08
2095,UNIVERSITAS TEKNOLOGI INDONESIA,BAIK,WILAYAH 08
2096,UNIVERSITAS TULANG BAWANG,BAIK SEKALI,WILAYAH 02
2097,POLITEKNIK NEGERI BATAM,BAIK SEKALI,WILAYAH PTN
2098,UNIVERSITAS 17 AGUSTUS 1945 BANYUWANGI,BAIK SEKALI,WILAYAH 07
2099,UNIVERSITAS MUHAMMADIYAH SUMATERA BARAT,BAIK SEKALI,WILAYAH 10
2100,UNIVERSITAS KRISTEN DUTA WACANA,UNGGUL,WILAYAH 05
2101,SEKOLAH TINGGI ILMU KESEHATAN KHAS KEMPEK,BAIK,WILAYAH 04
2102,UNIVERSITAS HAJI SUMATERA UTARA,BAIK SEKALI,WILAYAH 01
2103,AKADEMI AKUNTANSI BOEKITTINGGI,BAIK,WILAYAH 10
2104,SEKOLAH TINGGI EKONOMI ISLAM AR-RISALAH SUMATERA BARAT,BAIK,WILAYAH PTAS
2105,SEKOLAH TINGGI ILMU EKONOMI YAPIS MERAUKE,BAIK,WILAYAH 14
2106,STT INJILI PHILADELPHIA TANGERANG,BAIK,WILAYAH PTAS
2107,STKIP SINAR PANCASILA,BAIK,WILAYAH 15
2108,SEKOLAH TINGGI ILMU EKONOMI DARUL FALAH,BAIK,WILAYAH 07
2109,INSTITUT  SAINS DAN TEKNOLOGI NAHDLATUL ULAMA BALI,BAIK,WILAYAH 08
2110,AKADEMI ILMU PELAYARAN NUSA TENGGARA,BAIK,WILAYAH 08
2111,UNIVERSITAS TRILOGI,BAIK SEKALI,WILAYAH 03
2112,UNIVERSITAS PENDIDIKAN MANDALIKA,BAIK SEKALI,WILAYAH 08
2113,UNIVERSITAS KARYADARMA KUPANG,BAIK,WILAYAH 15
2114,UNIVERSITAS PGRI ARGOPURO JEMBER,BAIK SEKALI,WILAYAH 07
2115,SEKOLAH TINGGI ILMU EKONOMI PERTIBA,BAIK,WILAYAH 02
2116,INSTITUT TEKNOLOGI DAN BISNIS ADIAS,BAIK,WILAYAH 06
2117,SEKOLAH TINGGI ILMU EKONOMI AMA,BAIK,WILAYAH 06
2118,UNIVERSITAS TRIBHUWANA TUNGGA DEWI,B,WILAYAH 07
2119,UNIVERSITAS PGRI SUMATERA BARAT,B,WILAYAH 10
2120,AKADEMI FARMASI PRAYOGA PADANG,BAIK,WILAYAH 10
2121,UNIVERSITAS AIRLANGGA,UNGGUL,WILAYAH PTN
2122,INSTITUT AGAMA ISLAM DARUSSALAM CIAMIS JAWA BARAT,B,WILAYAH PTAS
2123,INSTITUT AGAMA ISLAM QOMARUDDIN GRESIK,BAIK,WILAYAH PTAS
2124,"STAI AL-GAZALI SOPPENG, SULAWESI SELATAN",BAIK,WILAYAH PTAS
2125,STAI ASY-SYUKRIYYAH TANGERANG,BAIK,WILAYAH PTAS
2126,POLITEKNIK ILMU PELAYARAN SEMARANG,UNGGUL,WILAYAH PTKL
2127,INSTITUT AGAMA ISLAM BANI FATTAH JOMBANG,BAIK,WILAYAH PTAS
2128,SEKOLAH TINGGI ILMU EKONOMI CENDEKIA KARYA UTAMA,B,WILAYAH 06
2130,SEKOLAH TINGGI ILMU EKONOMI YKP,B,WILAYAH 05
2131,AKADEMI KEBIDANAN AR-RAHMAH BANDUNG,BAIK,WILAYAH 04
2132,STAI AT-TAQWA BEKASI,BAIK,WILAYAH PTAS
2133,SEKOLAH TINGGI EKONOMI ISLAM HAMFARA YOGYAKARTA,BAIK,WILAYAH PTAS
2135,UNIVERSITAS ARYASATYA DEO MURI,BAIK,WILAYAH 15
2136,UNIVERSITAS SAN PEDRO,BAIK,WILAYAH 15
2137,UNIVERSITAS SALI AL-AITAAM,BAIK,WILAYAH 04
2138,STMIK BANDUNG BALI,BAIK,WILAYAH 08
2139,SEKOLAH TINGGI ILMU KESEHATAN BHAKTI HUSADA CIKARANG,BAIK,WILAYAH 04
2141,INSTITUT KESEHATAN HELVETIA,B,WILAYAH 01
2143,SEKOLAH TINGGI PERTANIAN FLORES BAJAWA,BAIK,WILAYAH 15
2144,UNIVERSITAS NAHDLATUL ULAMA SURABAYA,UNGGUL,WILAYAH 07
2145,SEKOLAH TINGGI ILMU EKONOMI BIMA,BAIK,WILAYAH 08
2146,AKADEMI ADMINISTRASI RUMAH SAKIT MATARAM,BAIK,WILAYAH 08
2147,UNIVERSITAS SUBANG,BAIK SEKALI,WILAYAH 04
2148,AKADEMI FARMASI SURABAYA,BAIK SEKALI,WILAYAH 07
2149,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN NUUWAR,BAIK,WILAYAH 14
2151,UNIVERSITAS MUHAMMADIYAH BERAU,BAIK SEKALI,WILAYAH 11
2152,POLITEKNIK TRIGUNA TASIKMALAYA,BAIK,WILAYAH 04
2153,AKADEMI MARITIM CIREBON,B,WILAYAH 04
2154,SEKOLAH TINGGI TEOLOGI KADESI YOGYAKARTA,B,WILAYAH PTAS
2155,UNIVERSITAS TIDAR,B,WILAYAH PTN
2156,UNIVERSITAS BINA INSANI,B,WILAYAH 04
2158,SEKOLAH TINGGI TEOLOGI KADESI BOGOR,BAIK,WILAYAH PTAS
2159,AKADEMI MARITIM BELAWAN,BAIK,WILAYAH 01
2160,UNIVERSITAS BRAWIJAYA,UNGGUL,WILAYAH PTN
2161,UNIVERSITAS KATOLIK SANTO THOMAS,B,WILAYAH 01
2162,SEKOLAH TINGGI ALKITAB NUSANTARA,BAIK,WILAYAH PTAS
2163,IKIP PGRI PONTIANAK,B,WILAYAH 11
2164,SEKOLAH TINGGI ILMU KOMUNIKASI,BAIK,WILAYAH 06
2165,POLITEKNIK TRI MITRA KARYA MANDIRI,BAIK,WILAYAH 04
2166,STMIK IKMI CIREBON,BAIK,WILAYAH 04
2167,SEKOLAH TINGGI TEKNOLOGI CIPASUNG,BAIK,WILAYAH 04
2168,UNIVERSITAS BANI SALEH,BAIK SEKALI,WILAYAH 04
2169,SEKOLAH TINGGI ILMU EKONOMI PEMNAS INDONESIA,BAIK,WILAYAH 07
2170,SEKOLAH TINGGI ILMU MANAJEMEN YKPN YOGYAKARTA,BAIK SEKALI,WILAYAH 05
2171,UNIVERSITAS KIAI ABDULLAH FAQIH GRESIK,BAIK SEKALI,WILAYAH PTAS
2172,SEKOLAH TINGGI AGAMA ISLAM MIFTAHUL ULUM LUMAJANG,BAIK SEKALI,WILAYAH PTAS
2173,POLITEKNIK KESEHATAN PUTRA INDONESIA MALANG,BAIK,WILAYAH 07
2174,SEKOLAH TINGGI FILSAFAT TEOLOGI FAJAR TIMUR,BAIK,WILAYAH 14
2175,UNIVERSITAS MAYASARI BAKTI,BAIK,WILAYAH 04
2176,AKADEMI TEKNOLOGI INDUSTRI DEWANTARA PALOPO,BAIK,WILAYAH 09
2177,UNIVERSITAS ISLAM NEGERI RADEN FATAH PALEMBANG,UNGGUL,WILAYAH PTAN
2178,SEKOLAH TINGGI BISNIS RUNATA,BAIK,WILAYAH 08
2179,POLITEKNIK CRISTO RE,BAIK,WILAYAH 15
2180,SEKOLAH TINGGI ILMU EKONOMI SULTAN AGUNG,BAIK,WILAYAH 01
2181,"STAI YPI AL-IKHLAS PAINAN, PESISIR SELATAN, SUMATERA BARAT",BAIK,WILAYAH PTAS
2182,UNIVERSITAS MUHAMMADIYAH BUTON,BAIK SEKALI,WILAYAH 09
2183,STID MOHAMMAD NATSIR BEKASI,BAIK,WILAYAH PTAS
2184,"STAI BUMI SILAMPARI LUBUK LINGGAU, SUMATERA SELATAN",BAIK,WILAYAH PTAS
2185,STID AL-HADID SURABAYA,BAIK,WILAYAH PTAS
2186,UNIVERSITAS KRISTEN PETRA,UNGGUL,WILAYAH 07
2187,INSTITUT TEKNOLOGI DAN PENDIDIKAN MARKANDEYA BALI,BAIK,WILAYAH 08
2188,STMIK BANDUNG,BAIK,WILAYAH 04
2190,SEKOLAH TINGGI TEOLOGI KHARISMA BANDUNG,BAIK,WILAYAH PTAS
2191,INSTITUT AGAMA ISLAM LATIFAH MUBAROKIYAH SURYALAYA TASIKMALAYA,BAIK,WILAYAH PTAS
2192,AKADEMI SEKRETARI DAN MANAJEMEN ARIYANTI,BAIK,WILAYAH 04
2194,UNIVERSITAS IBBI,BAIK SEKALI,WILAYAH 01
2195,SEKOLAH TINGGI ILMU KOMPUTER YOS SUDARSO,BAIK,WILAYAH 06
2196,SEKOLAH TINGGI TEOLOGI SATYABHAKTI,BAIK,WILAYAH PTAS
2197,UNIVERSITAS IBNU CHALDUN,BAIK,WILAYAH 03
2198,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,UNGGUL,WILAYAH PTN
2199,STIE JAKARTA INTERNATIONAL COLLEGE,B,WILAYAH 03
2200,STIH LITIGASI,BAIK,WILAYAH 03
2201,AKADEMI MARITIM SUAKA BAHARI,BAIK,WILAYAH 04
2202,UNIVERSITAS DHARMAWANGSA,BAIK SEKALI,WILAYAH 01
2203,UNIVERSITAS IPWIJA,B,WILAYAH 04
2204,UNIVERSITAS TEKNOLOGI MUHAMMADIYAH JAKARTA,BAIK SEKALI,WILAYAH 03
2206,UNIVERSITAS ISLAM AHMAD DAHLAN,BAIK,WILAYAH PTAS
2207,UNIVERSITAS BANDUNG,BAIK,WILAYAH 04
2209,INSTITUT AGAMA ISLAM TULANG BAWANG,BAIK,WILAYAH PTAS
2210,SEKOLAH TINGGI ILMU EKONOMI PPI,B,WILAYAH 04
2211,SEKOLAH TINGGI ILMU EKONOMI PROFESSIONAL MANAJEMEN COLLEGE INDONESIA,B,WILAYAH 01
2212,SEKOLAH TINGGI PERPAJAKAN INDONESIA,B,WILAYAH 03
2213,SEKOLAH TINGGI ILMU KESEHATAN KUNINGAN,B,WILAYAH 04
2214,INSTITUT AGAMA ISLAM SUMBAR,BAIK,WILAYAH PTAS
2215,UNIVERSITAS NUSA LONTAR ROTE,BAIK,WILAYAH 15
2216,POLITEKNIK AKBARA,BAIK SEKALI,WILAYAH 06
2218,UNIVERSITAS PIGNATELLI TRIPUTRA,BAIK,WILAYAH 06
2219,SEKOLAH TINGGI ILMU KESEHATAN PANTI RAPIH YOGYAKARTA,BAIK SEKALI,WILAYAH 05
2221,POLITEKNIK ELBAJO COMMODUS,BAIK,WILAYAH 15
2222,AKADEMI KOMUNITAS NEGERI PUTRA SANG FAJAR BLITAR,BAIK,WILAYAH PTN
2223,INSTITUT TEKNOLOGI DAN BISNIS PALCOMTECH,BAIK SEKALI,WILAYAH 02
2224,SEKOLAH TINGGI TEKNOLOGI MIGAS,B,WILAYAH 11
2225,SEKOLAH TINGGI ILMU ADMINISTRASI ADABIAH,BAIK,WILAYAH 10
2226,SEKOLAH TINGGI BAHASA ASING IEC JAKARTA,BAIK,WILAYAH 03
2227,UNIVERSITAS MUHAMMADIYAH CIREBON,B,WILAYAH 04
2228,STMIK ROSMA,BAIK,WILAYAH 04
2229,POLITEKNIK GAJAH TUNGGAL,BAIK,WILAYAH 04
2230,SEKOLAH TINGGI ILMU EKONOMI PERBANKAN INDONESIA,BAIK,WILAYAH 10
2231,INSTITUT TEKNOLOGI DAN BISNIS STIKOM BALI,B,WILAYAH 08
2232,SEKOLAH TINGGI TEOLOGI WESLEY METHODIST INDONESIA,BAIK,WILAYAH PTAS
2233,SEKOLAH TINGGI ANALIS KIMIA CILEGON,BAIK,WILAYAH 04
2234,UNIVERSITAS ASA INDONESIA,BAIK SEKALI,WILAYAH 03
2235,SEKOLAH TINGGI ILMU KESEHATAN BAITURRAHIM,BAIK,WILAYAH 10
2236,UNIVERSITAS MULTIMEDIA NUSANTARA JAKARTA,UNGGUL,WILAYAH 03
2237,UNIVERSITAS ISLAM NEGERI AR-RANIRY BANDA ACEH,UNGGUL,WILAYAH PTAN
2238,UNIVERSITAS NAHDLATUL WATHAN MATARAM,BAIK SEKALI,WILAYAH 08
2239,SEKOLAH TINGGI AGAMA ISLAM AL MUJTAMA PAMEKASAN,BAIK,WILAYAH PTAS
2240,UNIVERSITAS UNIVERSAL,BAIK SEKALI,WILAYAH 17
2241,POLITEKNIK PELAYARAN SUMATERA BARAT,BAIK,WILAYAH PTKL
2242,INSTITUT SHANTI BHUANA,BAIK SEKALI,WILAYAH 11
2243,AKADEMI KEBIDANAN PRIMA HUSADA,BAIK,WILAYAH 04
2244,STISIP IMAM BONJOL,BAIK,WILAYAH 10
2245,UNIVERSITAS PANDANARAN,B,WILAYAH 06
2246,STAI ALHIKMAH JAKARTA SELATAN,B,WILAYAH PTAS
2247,UNIVERSITAS LAMPUNG,UNGGUL,WILAYAH PTN
2248,SEKOLAH TINGGI ILMU KESEHATAN NGUDIA HUSADA MADURA,B,WILAYAH 07
2249,UNIVERSITAS SUMATERA BARAT,B,WILAYAH 10
2250,POLITEKNIK TEKNOLOGI NUKLIR INDONESIA,BAIK SEKALI,WILAYAH PTKL
2251,SEKOLAH TINGGI ILMU ADMINISTRASI MADANI,BAIK,WILAYAH 06
2252,AKADEMI PARIWISATA STIPARY,BAIK,WILAYAH 05
2253,STKIP HARAPAN BIMA,BAIK,WILAYAH 08
2254,STEI HAMZAR LOMBOK TIMUR,BAIK,WILAYAH PTAS
2256,POLITEKNIK PERIKANAN NEGERI TUAL,BAIK SEKALI,WILAYAH PTN
2257,SEKOLAH TINGGI ILMU EKONOMI MUHAMMADIYAH ASAHAN,BAIK,WILAYAH 01
2258,UNIVERSITAS NASIONAL KARANGTURI SEMARANG,BAIK,WILAYAH 06
2259,POLITEKNIK SAMPIT,BAIK,WILAYAH 11
2260,UNIVERSITAS PARAMADINA,BAIK SEKALI,WILAYAH 03
2261,UNIVERSITAS BUANA PERJUANGAN KARAWANG,BAIK SEKALI,WILAYAH 04
2262,POLITEKNIK PGRI BANTEN,BAIK,WILAYAH 04
2263,UNIVERSITAS GUNADARMA,UNGGUL,WILAYAH 03
2264,SEKOLAH TINGGI ILMU EKONOMI DHARMA PUTRA SEMARANG,BAIK,WILAYAH 06
2265,UNIVERSITAS BUDI DARMA,BAIK,WILAYAH 01
2266,INSTITUT DESAIN DAN BISNIS BALI,BAIK,WILAYAH 08
2267,SEKOLAH TINGGI AGAMA ISLAM DARUL ULUM BANYUANYAR PAMEKASAN JAWA TIMUR,BAIK,WILAYAH PTAS
2268,INSTITUT TEKNOLOGI DAN SAINS NAHDLATUL ULAMA PEKALONGAN,BAIK,WILAYAH 06
2269,POLITEKNIK SERUYAN,BAIK,WILAYAH 11
2270,UNIVERSITAS CAHAYA BANGSA,BAIK,WILAYAH 11
2271,STID AL-BIRUNI BABAKAN CIWARINGIN,BAIK,WILAYAH PTAS
2272,SEKOLAH TINGGI TEOLOGI ARASTAMAR BENGKULU,BAIK,WILAYAH PTAS
2274,UNIVERSITAS MUHAMMADIYAH MALUKU UTARA,BAIK SEKALI,WILAYAH 12
2275,UNIVERSITAS MUSLIM MAROS,BAIK SEKALI,WILAYAH 09
2276,INSTITUT BUDI UTOMO NASIONAL,BAIK,WILAYAH 04
2277,UNIVERSITAS ICHSAN SATYA,BAIK,WILAYAH 04
2278,STMIK AMIK RIAU,B,WILAYAH 17
2279,AKADEMI FARMASI IMAM BONJOL,BAIK,WILAYAH 10
2281,SEKOLAH TINGGI ILMU KESEHATAN MAKASSAR,BAIK SEKALI,WILAYAH 09
2282,STIEB PERDANA MANDIRI,BAIK,WILAYAH 04
2283,SEKOLAH TINGGI ILMU EKONOMI GICI,BAIK,WILAYAH 04
2284,SEKOLAH TINGGI ILMU EKONOMI LATIFAH MUBAROKIYAH,BAIK,WILAYAH 04
2285,UNIVERSITAS WIRALODRA,B,WILAYAH 04
2286,STAI TGK. CHIK PANTE KULU KOTA BANDA ACEH,BAIK,WILAYAH PTAS
2287,POLITEKNIK BUMI AKPELNI,B,WILAYAH 06
2289,UNIVERSITAS ISKANDAR MUDA,BAIK,WILAYAH 13
2290,POLITEKNIK PELAYARAN BAROMBONG,BAIK,WILAYAH PTKL
2291,POLITEKNIK MANDIRI BINA PRESTASI,BAIK,WILAYAH 01
2292,AKADEMI KEBIDANAN KARYA BUNDA HUSADA,B,WILAYAH 04
2293,INSTITUT TEKNOLOGI BISNIS AAS INDONESIA,BAIK,WILAYAH 06
2296,STMIK DUMAI,BAIK,WILAYAH 10
2297,UNIVERSITAS AISYAH PRINGSEWU,BAIK SEKALI,WILAYAH 02
2300,UNIVERSITAS PROF DR HAZAIRIN SH,BAIK SEKALI,WILAYAH 02
2301,SEKOLAH TINGGI TEKNOLOGI GEMPOL,BAIK,WILAYAH 07
2302,SEKOLAH TINGGI ILMU KESEHATAN INDRAMAYU,BAIK,WILAYAH 04
2303,UNIVERSITAS SELAMAT SRI,BAIK,WILAYAH 06
2304,SEKOLAH TINGGI BAHASA ASING IEC BEKASI,BAIK,WILAYAH 04
2305,UNIVERSITAS MUHAMMADIYAH GRESIK,BAIK SEKALI,WILAYAH 07
2306,AKADEMI KEBIDANAN AL-IKHLAS CISARUA,BAIK,WILAYAH 04
2307,UNIVERSITAS MUHAMMADIYAH GORONTALO,BAIK SEKALI,WILAYAH 16
2308,STMIK AMIK BANDUNG,BAIK SEKALI,WILAYAH 04
2309,SEKOLAH TINGGI ILMU EKONOMI PANCASETIA,BAIK SEKALI,WILAYAH 11
2311,STMIK PROFESIONAL MAKASSAR,BAIK,WILAYAH 09
2312,AKADEMI KEPERAWATAN AL-IKHLAS CISARUA,BAIK,WILAYAH 04
2314,UNIVERSITAS SURYAKANCANA,B,WILAYAH 04
2315,UNIVERSITAS TRIDINANTI,B,WILAYAH 02
2316,INSTITUT KESEHATAN IMMANUEL,BAIK SEKALI,WILAYAH 04
2317,SEKOLAH TINGGI ILMU EKONOMI KUSUMA NEGARA,BAIK,WILAYAH 03
2318,INSTITUT AGAMA ISLAM NUSANTARA ASH-SHIDDIQIYAH,BAIK,WILAYAH PTAS
2319,UNIVERSITAS LA TANSA MASHIRO,BAIK,WILAYAH 04
2320,UNIVERSITAS UTPADAKA SWASTIKA,BAIK,WILAYAH 04
2321,UNIVERSITAS ANDI SUDIRMAN,BAIK SEKALI,WILAYAH 09
2322,UNIVERSITAS MBOJO BIMA,BAIK,WILAYAH 08
2323,INSTITUT NAHDLATUL ULAMA TASIKMALAYA,BAIK,WILAYAH PTAS
2324,POLITEKNIK NEGERI BANDUNG,UNGGUL,WILAYAH PTN
2325,UNIVERSITAS NEGERI MAKASSAR,UNGGUL,WILAYAH PTN
2326,UNIVERSITAS SANATA DHARMA,UNGGUL,WILAYAH 05
2327,UNIVERSITAS PGRI MADIUN,BAIK SEKALI,WILAYAH 07
2328,UNIVERSITAS METHODIST INDONESIA,BAIK SEKALI,WILAYAH 01
2329,UNIVERSITAS MUHAMMADIYAH SIDENRENG RAPPANG,BAIK SEKALI,WILAYAH 09
2330,AMIK MITRA GAMA,BAIK,WILAYAH 10
2331,UNIVERSITAS SURAKARTA,BAIK,WILAYAH 06
2332,INSTITUT TEKNOLOGI SAINS BANDUNG,BAIK,WILAYAH 04
2333,UNIVERSITAS NASIONAL,UNGGUL,WILAYAH 03
2334,UNIVERSITAS KATOLIK INDONESIA ATMA JAYA,UNGGUL,WILAYAH 03
2335,SEKOLAH TINGGI TEOLOGI GAMALIEL,BAIK,WILAYAH PTAS
2336,SEKOLAH TINGGI PARIWISATA RIAU,BAIK,WILAYAH 17
2338,UNIVERSITAS ISLAM LABUHAN BATU,BAIK,WILAYAH 01
2339,SEKOLAH TINGGI PERTANAHAN NASIONAL YOGYAKARTA,BAIK SEKALI,WILAYAH PTKL
2340,SEKOLAH TINGGI MANAJEMEN IPMI,BAIK SEKALI,WILAYAH 03
2341,SEKOLAH TINGGI ILMU ADMINISTRASI BANTEN,BAIK SEKALI,WILAYAH 04
2342,SEKOLAH TINGGI ILMU EKONOMI MAKASSAR BONGAYA,BAIK SEKALI,WILAYAH 09
2344,UNIVERSITAS TABANAN,BAIK SEKALI,WILAYAH 08
2345,POLITEKNIK KESEHATAN BHAKTI SETYA INDONESIA,BAIK SEKALI,WILAYAH 05
2346,UNIVERSITAS KRISTEN TEKNOLOGI SOLO,BAIK,WILAYAH 06
2348,AKADEMI FARMASI BUMI SILIWANGI,BAIK,WILAYAH 04
2349,POLITEKNIK NEGERI MANADO,B,WILAYAH PTN
2350,AKADEMI KEBIDANAN GRAHA HUSADA CIREBON,BAIK,WILAYAH 04
2351,INSTITUT AGAMA ISLAM KHOZINATUL ULUM BLORA,BAIK,WILAYAH PTAS
2352,INSTITUT PENDIDIKAN SOE,BAIK,WILAYAH 15
2353,SEKOLAH TINGGI ILMU FIQIH SYEIKH NAWAWI TANARA BANTEN,BAIK,WILAYAH PTAS
2354,UNIVERSITAS TEKNOLOGI YOGYAKARTA,BAIK SEKALI,WILAYAH 05
2355,STKIP YAPIS DOMPU,BAIK SEKALI,WILAYAH 08
2356,UNIVERSITAS JENDERAL ACHMAD YANI YOGYAKARTA,BAIK SEKALI,WILAYAH 05
2357,UNIVERSITAS MUHAMMADIYAH PURWOKERTO,UNGGUL,WILAYAH 06
2358,UNIVERSITAS TEKNOLOGI SULAWESI,BAIK,WILAYAH 09
2359,"STIS HIDAYATULLAH BALIKPAPAN, KALIMANTAN TIMUR",BAIK,WILAYAH PTAS
2360,INSTITUT FILSAFAT DAN TEKNOLOGI KREATIF LEDALERO,B,WILAYAH 15
2361,SEKOLAH TINGGI ILMU KESEHATAN GARUDA PUTIH,BAIK,WILAYAH 10
2362,INSTITUT TEKNOLOGI DAN BISNIS BINA ADINATA,BAIK,WILAYAH 09
2363,STMIK BINA PATRIA,BAIK,WILAYAH 06
2364,POLITEKNIK PARIWISATA PALEMBANG,BAIK SEKALI,WILAYAH PTKL
2365,UNIVERSITAS MUHAMMADIYAH KLATEN,BAIK SEKALI,WILAYAH 06
2367,SEKOLAH TINGGI MANAJEMEN RISIKO DAN ASURANSI,BAIK,WILAYAH 03
2368,"STAI MA`ARIF SAMPANG MADURA, JAWA TIMUR",BAIK,WILAYAH PTAS
2369,SEKOLAH TINGGI ILMU ADMINISTRASI PUANGRIMAGGALATUNG,BAIK SEKALI,WILAYAH 09
2370,AKADEMI MANAJEMEN INFORMATIKA DAN KOMPUTER DUMAI,BAIK,WILAYAH 10
2371,SEKOLAH TINGGI ILMU EKONOMI TUAH NEGERI,BAIK,WILAYAH 17
2372,UNIVERSITAS KRISTEN IMMANUEL,B,WILAYAH 05
2373,"STAI AL-HIKMAH MEDAN, SUMATERA UTARA",BAIK,WILAYAH PTAS
2374,UNIVERSITAS NAHDLATUL ULAMA SIDOARJO,BAIK SEKALI,WILAYAH 07
