institution_name,province,campus_accreditation,acc_score,cost_per_year,cluster_lokasi_lvl1,cluster_institusi_lvl2
SEKOLAH TINGGI ILMU KESEHATAN SUKABUMI,JAWA BARAT,B,2.0,13560000.0,,
SEKOLAH TINGGI ILMU KESEHATAN WIDYA DHARMA HUSADA TANGERANG,BANTEN,BAIK SEKALI,3.0,13500000.0,,
SEKOLAH TINGGI ILMU KESEHATAN MUTIARA MAHAKAM SAMARINDA,KALIMANTAN TIMUR,BAIK,1.0,13500000.0,,
SEKOLAH TINGGI ILMU KESEHATAN MATARAM,NUSA TENGGARA BARAT,BAIK SEKALI,3.0,13500000.0,,
UNIVERSITAS SEHATI INDONESIA,JAWA BARAT,BAIK,1.0,13500000.0,,
UNIVERSITAS GORONTALO,GORONTALO,B,2.0,13500000.0,,
UNIVERSITAS DHYANA PURA,BALI,B,2.0,13500000.0,,
UNIVERSITAS KRISTEN INDONESIA PAULUS,SULAWESI SELATAN,B,2.0,13400000.0,,
UNIVERSITAS KRISTEN PALANGKA RAYA,KALIMANTAN TENGAH,BAIK,1.0,13350001.0,,
UNIVERSITAS MAHASARASWATI DENPASAR,BALI,UNGGUL,5.0,13344800.0,,
INSTITUT KESEHATAN DAN BISNIS ANNISA,JAWA BARAT,BAIK,1.0,13255000.0,,
UNIVERSITAS DIPA MAKASSAR,SULAWESI SELATAN,B,2.0,13250000.0,,
STIKES ADI HUSADA,JAWA TIMUR,BAIK SEKALI,3.0,13200000.0,1.0,3.0
SEKOLAH TINGGI ILMU EKONOMI MAKASSAR BONGAYA,SULAWESI SELATAN,BAIK SEKALI,3.0,13100000.0,,
SEKOLAH TINGGI ILMU EKONOMI PORT NUMBAY JAYAPURA,PAPUA,BAIK,1.0,13030000.0,,
SEKOLAH TINGGI ILMU EKONOMI SEMARANG,JAWA TENGAH,BAIK SEKALI,3.0,15050000.0,,
SEKOLAH TINGGI ILMU KESEHATAN PGI CIKINI,DKI JAKARTA,BAIK,1.0,13000000.0,,
INSTITUT TEKNOLOGI DAN SAINS BANDUNG,JAWA BARAT,C,0.0,13000000.0,,
STIKES DIRGAHAYU SAMARINDA,KALIMANTAN TIMUR,BAIK SEKALI,3.0,13000000.0,,
STIKES DHARMA LANDBOUW,SUMATERA BARAT,B,2.0,13000000.0,,
UNIVERSITAS ISLAM JAKARTA,DKI JAKARTA,B,2.0,12950000.0,,
INSTITUT PAHLAWAN 12,BANGKA BELITUNG,BAIK,1.0,12900000.0,,
UNIVERSITAS HAFSHAWATY ZAINUL HASAN,JAWA TIMUR,BAIK,1.0,12900000.0,1.0,1.0
SEKOLAH TINGGI ILMU KESEHATAN ABDI PERSADA BANJARMASIN,KALIMANTAN SELATAN,BAIK,1.0,12900000.0,,
STIKES KARYA HUSADA KEDIRI,JAWA TIMUR,B,2.0,12805000.0,1.0,3.0
STMIK KUWERA,DKI JAKARTA,BAIK,1.0,12775000.0,,
UNIVERSITAS AN NASHER,JAWA BARAT,BAIK,1.0,12750000.0,,
UNIVERSITAS TRILOGI,DKI JAKARTA,B,2.0,12750000.0,,
INSTITUT DESAIN DAN BISNIS BALI,BALI,BAIK,1.0,12750000.0,,
SEKOLAH TINGGI ILMU KESEHATAN PANTI KOSALA,JAWA TENGAH,BAIK SEKALI,3.0,12700000.0,,
AKTEK RADIODIAGNOSTIK DAN RADIOTERAPI BALI,BALI,BAIK,1.0,12700000.0,,
SEKOLAH TINGGI TEKNOLOGI DUTA BANGSA,JAWA BARAT,BAIK,1.0,12645000.0,,
INSTITUT BISNIS DAN MULTIMEDIA ASMI JAKARTA,DKI JAKARTA,BAIK,1.0,12630000.0,,
UNIVERSITAS MERCUBAKTIJAYA,SUMATERA BARAT,B,2.0,12622500.0,,
STIE UNISADHUGUNA,DKI JAKARTA,BAIK,1.0,12600000.0,,
UNIVERSITAS IBNU CHALDUN,DKI JAKARTA,BAIK,1.0,12600000.0,,
INSTITUT TEKNOLOGI YOGYAKARTA,D.I. YOGYAKARTA,BAIK,1.0,12600000.0,,
STIKES IBNU SINA AJIBARANG,JAWA TENGAH,BAIK,1.0,12600000.0,,
SEKOLAH TINGGI ILMU FARMASI BHAKTI PERTIWI,SUMATERA SELATAN,BAIK SEKALI,3.0,12550000.0,,
UNIVERSITAS DARUL ULUM ISLAMIC CENTRE SUDIRMAN,JAWA TENGAH,BAIK SEKALI,3.0,12550000.0,,
UNIVERSITAS PESANTREN TINGGI DARUL  ULUM,JAWA TIMUR,BAIK SEKALI,3.0,12525000.0,1.0,3.0
UNIVERSITAS 17 AGUSTUS 1945 SAMARINDA,KALIMANTAN TIMUR,BAIK SEKALI,3.0,12501870.0,,
INSTITUT SAINS TEKNOLOGI DAN KESEHATAN 'AISYIYAH KENDARI,SULAWESI TENGGARA,BAIK,1.0,12500000.0,,
STIKES BANYUWANGI,JAWA TIMUR,BAIK,1.0,12500000.0,1.0,1.0
UNIVERSITAS LIA,DKI JAKARTA,BAIK,1.0,12400000.0,,
UNIVERSITAS NOOR HUDA MUSTOFA,JAWA TIMUR,B,2.0,12400000.0,1.0,3.0
UNIVERSITAS RAHARJA,BANTEN,TERAKREDITASI,0.0,12375870.0,,
SEKOLAH TINGGI ILMU KESEHATAN PEMKAB PURWOREJO,JAWA TENGAH,BAIK SEKALI,3.0,12350000.0,,
SEKOLAH TINGGI TEKNOLOGI CIREBON,JAWA BARAT,BAIK,1.0,12350000.0,,
UNIVERSITAS WIDYA HUSADA SEMARANG,JAWA TENGAH,B,2.0,12300000.0,,
INSTITUT ADMINISTRASI DAN KESEHATAN SETIH SETIO MUARA BUNGO,JAMBI,B,2.0,12285000.0,,
UNIVERSITAS INSAN PEMBANGUNAN INDONESIA,BANTEN,BAIK,1.0,12255000.0,,
UNIVERSITAS AN NUUR,JAWA TENGAH,BAIK,1.0,12250000.0,,
INSTITUT TEKNOLOGI DAN BISNIS RIYADLUL ULUM,JAWA BARAT,BAIK,1.0,12232000.0,,
UNIVERSITAS TEKNOLOGI YOGYAKARTA,D.I. YOGYAKARTA,B,2.0,12200000.0,,
