institution_name,province,prodi_normalized,campus_accreditation,average_yearly_fee,cluster_label,link
SEKOLAH TINGGI ILMU KESEHATAN BANTUL,DI YOGYAKARTA,FARMASI,BAIK,8800000.0,DI YOGYAKARTA | Kesehatan | Terjangkau (5-10jt) | Baik Sekali / B,-
UNIVERSITAS ALMA ATA,DI YOGYAKARTA,KEBIDANAN,BAIK,8000000.0,DI YOGYAKARTA | Kesehatan | Terjangkau (5-10jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-alma-ata
SEKOLAH TINGGI ILMU KESEHATAN NOTOKUSUMO YOGYAKARTA,DI YOGYAKARTA,FARMASI,BAIK SEKALI,7950000.0,DI YOGYAKARTA | Kesehatan | Terjangkau (5-10jt) | Baik Sekali / B,-
SEKOLAH TINGGI ILMU KESEHATAN NOTOKUSUMO YOGYAKARTA,DI YOGYAKARTA,KEPERAWATAN,BAIK,7950000.0,DI YOGYAKARTA | Kesehatan | Terjangkau (5-10jt) | Baik Sekali / B,-
UNIVERSITAS ISLAM MULIA YOGYAKARTA,DI YOGYAKARTA,ADMINISTRASI KESEHATAN,BAIK,6500000.0,DI YOGYAKARTA | Kesehatan | Terjangkau (5-10jt) | Baik Sekali / B,-
UNIVERSITAS AISYIYAH YOGYAKARTA,DI YOGYAKARTA,KEDOKTERAN,BAIK,5000000.0,DI YOGYAKARTA | Kesehatan | Terjangkau (5-10jt) | Baik Sekali / B,-
INSTITUT TEKNOLOGI DIRGANTARA ADISUTJIPTO,DI YOGYAKARTA,INFORMATIKA,BAIK SEKALI,29500000.0,DI YOGYAKARTA | Komputer & Teknologi | Mahal (20-50jt) | Baik Sekali / B,-
UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,DI YOGYAKARTA,INFORMATIKA,B,27000000.0,DI YOGYAKARTA | Komputer & Teknologi | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-muhammadiyah-yogyakarta
UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,DI YOGYAKARTA,TEKNOLOGI INFORMASI,UNGGUL,27000000.0,DI YOGYAKARTA | Komputer & Teknologi | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-muhammadiyah-yogyakarta
UNIVERSITAS ISLAM INDONESIA,DI YOGYAKARTA,INFORMATIKA,A,25000000.0,DI YOGYAKARTA | Komputer & Teknologi | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-islam-indonesia
UNIVERSITAS JENDERAL ACHMAD YANI YOGYAKARTA,DI YOGYAKARTA,INFORMATIKA,BAIK,19000000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS JENDERAL ACHMAD YANI YOGYAKARTA,DI YOGYAKARTA,SISTEM INFORMASI,BAIK SEKALI,19000000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS JENDERAL ACHMAD YANI YOGYAKARTA,DI YOGYAKARTA,TEKNOLOGI INFORMASI,BAIK,19000000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS SANATA DHARMA,DI YOGYAKARTA,INFORMATIKA,B,18925000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-sanata-dharma
UNIVERSITAS ATMA JAYA YOGYAKARTA,DI YOGYAKARTA,INFORMATIKA,A,18000000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/universitas-atma-jaya-yogyakarta
UNIVERSITAS ATMA JAYA YOGYAKARTA,DI YOGYAKARTA,SISTEM INFORMASI,UNGGUL,18000000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/universitas-atma-jaya-yogyakarta
UNIVERSITAS RESPATI YOGYAKARTA,DI YOGYAKARTA,MANAJEMEN INFORMATIKA,B,17800000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-respati-yogyakarta
UNIVERSITAS AHMAD DAHLAN,DI YOGYAKARTA,INFORMATIKA,A,16000000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/universitas-ahmad-dahlan
UNIVERSITAS AHMAD DAHLAN,DI YOGYAKARTA,SISTEM INFORMASI,B,16000000.0,DI YOGYAKARTA | Komputer & Teknologi | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-ahmad-dahlan
