parent_institution_name,prodi_name,jenjang,wilayah,no_sk,tahun_sk,akreditasi_prodi,tanggal_kadaluarsa
Universitas Tribuana Kalabahi,Ilmu Hukum,S1,15,6703/SK/BAN-PT/Ak/S/V/2025,2025,Baik,2030-05-27
Universitas Banda Naira,Sosial Ekonomi Perikanan,S1,12,6704/SK/BAN-PT/Ak/S/V/2025,2025,Baik,2030-05-27
Universitas Persatuan Guru 1945 NTT,Ilmu Hukum,S1,15,6690/SK/BAN-PT/Ak/S/V/2025,2025,Baik Sekali,2030-05-27
Sekolah Tinggi Teologi Sehati Malinau Provinsi Kalimantan Utara,Teologi,S1,PTAS,6696/SK/BAN-PT/Ak.P/S/V/2025,2025,Baik,2027-05-27
"INSTITUT TEKNOLOGI KESEHATAN CENDEKIA UTAMA KUDUS, KUDUS",FARMASI,S1,06,0583/LAM-PTKes/Akr/Sar/IV/2025,2025,BAIK SEKALI,2030-04-25
"INSTITUT TEKNOLOGI KESEHATAN CENDEKIA UTAMA KUDUS, KUDUS",APOTEKER,Profesi,06,0584/LAM-PTKes/Akr/Pro/IV/2025,2025,BAIK SEKALI,2030-04-25
"INSTITUT ILMU KESEHATAN BHAKTI WIYATA KEDIRI, KEDIRI",FISIOTERAPI,S1,07,0091/LAM-PTKes/Akr.PB/Sar/V/2025,2025,Baik,2027-05-04
"SEKOLAH TINGGI ILMU KESEHATAN AN NUR HUSADA LAMPUNG UTARA, LAMPUNG UTARA",ADMINISTRASI RUMAH SAKIT,S1,02,0092/LAM-PTKes/Akr.PB/Sar/V/2025,2025,Baik,2027-05-19
"SEKOLAH TINGGI ILMU KESEHATAN BHAKTI HUSADA MULIA, MADIUN",KEBIDANAN,S1,07,0084/LAM-PTKes/Akr.PB/Sar/V/2025,2025,Baik,2026-09-09
"SEKOLAH TINGGI ILMU KESEHATAN BHAKTI HUSADA MULIA, MADIUN",APOTEKER,Profesi,07,0083/LAM-PTKes/Akr.PB/Pro/V/2025,2025,Baik,2026-09-09
"SEKOLAH TINGGI ILMU KESEHATAN BHAKTI HUSADA MULIA, MADIUN",BIDAN,Profesi,07,0085/LAM-PTKes/Akr.PB/Pro/V/2025,2025,Baik,2026-09-09
"SEKOLAH TINGGI ILMU KESEHATAN TANAWALI TAKALAR, TAKALAR",KEPERAWATAN,S2,09,0080/LAM-PTKes/Akr.PB/Mag/V/2025,2025,Baik,2027-05-18
"UNIVERSITAS ISLAM MALANG, MALANG",ADMINISTRASI RUMAH SAKIT,S1,07,0094/LAM-PTKes/Akr.PB/Sar/V/2025,2025,Baik,2026-09-09
"UNIVERSITAS KEPANJEN, MALANG",KESELAMATAN DAN KESEHATAN KERJA,S1,07,0088/LAM-PTKes/Akr.PB/Sar/V/2025,2025,Baik,2026-07-29
"UNIVERSITAS KRISTEN PETRA, SURABAYA",DOKTER GIGI,Profesi,07,0087/LAM-PTKes/Akr.PB/Pro/V/2025,2025,Baik,2027-08-31
"UNIVERSITAS KRISTEN PETRA, SURABAYA",DOKTER,Profesi,07,0093/LAM-PTKes/Akr.PB/Pro/V/2025,2025,Baik,2026-09-22
"UNIVERSITAS KRISTEN PETRA, SURABAYA",KEDOKTERAN GIGI,S1,07,0086/LAM-PTKes/Akr.PB/Sar/V/2025,2025,Baik,2027-08-31
"UNIVERSITAS MANDALA WALUYA, KENDARI",APOTEKER,Profesi,09,0090/LAM-PTKes/Akr.PB/Pro/V/2025,2025,Baik,2027-02-14
"UNIVERSITAS MUHAMMADIYAH METRO, METRO",DOKTER,Profesi,02,0082/LAM-PTKes/Akr.PB/Pro/V/2025,2025,Baik,2026-10-17
"UNIVERSITAS NEGERI YOGYAKARTA, YOGYAKARTA",KEDOKTERAN,S1,PTN,0096/LAM-PTKes/Akr.PB/Sar/V/2025,2025,Baik,2026-08-11
Universitas Gadjah Mada,Doktor Matematika,S3,PTN,123/SK/LAMSAMA/Akred/D/V/2025,2025,Unggul,2030-05-25
Universitas Sebelas Maret,Ilmu Fisika,S2,PTN,116/SK/LAMSAMA/Akred/M/V/2025,2025,Unggul,2030-05-21
Universitas Sumatera Utara,Kimia Terapan,D4,PTN,001/SK/LAMSAMA/Akred-M/STr/II/2024,2024,Baik,2026-02-04
Institut Teknologi Sepuluh Nopember,Rekayasa Keselamatan Proses,S1,PTN,0339/SK/LAM Teknik/AS/VI/2025,2025,Baik,2027-05-31
Universitas Lambung Mangkurat,Kimia,S2,PTN,115/SK/LAMSAMA/Akred/M/V/2025,2025,Baik,2030-05-21
Universitas Halu Oleo,Statistika,D3,PTN,117/SK/LAMSAMA/Akred/DIII/V/2025,2025,Baik Sekali,2030-05-21
Institut Pertanian Bogor,Mikrobiologi,S2,PTN,084/SK/LAMSAMA/Akred/M/V/2025,2025,Unggul,2030-05-07
"UNIVERSITAS ESA UNGGUL, JAKARTA",ILMU KEPERAWATAN,S1,03,0708/LAM-PTKes/Akr/Sar/V/2025,2025,BAIK SEKALI,2030-05-23
"UNIVERSITAS ESA UNGGUL, JAKARTA",NERS,Profesi,03,0709/LAM-PTKes/Akr/Pro/V/2025,2025,BAIK SEKALI,2030-05-23
Politeknik Negeri Lampung,Teknologi Rekayasa Otomotif,D-IV,PTN,0340/SK/LAM Teknik/PB.VST/VI/2025,2025,Baik,2027-06-01
Universitas Islam Negeri Sultan Syarif Kasim Riau,Matematika,S1,PTAN,057/SK/LAMSAMA/Akred/S/III/2025,2025,Unggul,2029-03-31
Universitas Islam Syarifuddin Lumajang,Akuntansi Syari`ah,S1,PTAS,6040/SK/BAN-PT/Ak-PNB/S/III/2025,2025,Baik,2028-08-08
"UNIVERSITAS SUMATERA UTARA, MEDAN",OBSTETRI DAN GINEKOLOGI,Spesialis,PTN,0839/LAM-PTKes/Akr/Spe/XI/2023,2023,UNGGUL,2028-11-23
Politeknik Hasan Abdi,Kebijakan Dan Manajemen Pajak,D-IV,01,683/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Akademi Bisnis Lombok,Akuntansi Sektor Publik,D-IV,08,684/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Akademi Bisnis Lombok,Bisnis Digital,D-IV,08,685/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Institut Agama Islam Negeri Bone,Manajemen Bisnis Syariah,S1,PTAN,686/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Universitas Buana Perjuangan Karawang,Manajemen,S2,04,687/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Universitas Aisyiyah Palembang,Manajemen,S1,02,688/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Universitas Pahlawan Tuanku Tambusai,Manajemen Bisnis Internasional,S1,17,689/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Universitas Muhammadiyah Tapanuli Selatan,Ekonomi Syariah,S1,01,690/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Universitas Kepanjen,Bisnis Digital,S1,07,691/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Universitas Kepanjen,Kewirausahaan,S1,07,692/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Sekolah Tinggi Ilmu Komunikasi Almamater Wartawan Surabaya,Bisnis Digital,S1,07,693/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Universitas Telkom,Bisnis Digital,S1,04,695/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Universitas Pendidikan Nasional,Pengelolaan Konvensi Dan Acara,D-IV,08,696/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Universitas Surabaya,Ekonomi,S2,07,697/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Institut Agama Islam Miftahul Ulum Tanjung Pinang,Manajemen Bisnis Syariah,S1,PTAS,698/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Universitas Bhakti Pertiwi Indonesia,Bisnis Digital,S1,03,699/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Universitas Dharma Indonesia,Bisnis Digital,S1,04,700/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Universitas Dharma Indonesia,Manajemen,S1,04,701/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Universitas Abdurrab,Bisnis Digital,S1,17,702/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Universitas Tribhuwana Tungga Dewi,Manajemen,S2,07,703/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Sekolah Tinggi Agama Islam Kuningan,Manajemen Bisnis Syariah,S1,PTAS,704/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Universitas Merangin,Bisnis Digital,S1,10,705/DE/A.5/AR.11/V/2025,2025,Baik,2030-05-26
Universitas AKPRIND Indonesia,Teknik Lingkungan,S1,05,0573/SK/LAM Teknik/AS/XII/2024,2024,Unggul,2029-08-20
Universitas Islam Bandung,Statistika,S1,04,125/SK/LAMSAMA/Akred/S/VI/2025,2025,Unggul,2029-06-02
"SEKOLAH TINGGI ILMU KESEHATAN SISMADI, BOGOR",KEPERAWATAN,D-III,04,0915/LAM-PTKes/Akr/Dip/Khs/XI/2024,2024,BAIK SEKALI,2029-11-07
"UNIVERSITAS NEGERI SEMARANG, SEMARANG",DOKTER,Profesi,PTN,0488/LAM-PTKes/Akr/Pro/IV/2025,2025,Baik,2030-04-25
"UNIVERSITAS NEGERI SEMARANG, SEMARANG",KEDOKTERAN,S1,PTN,0487/LAM-PTKes/Akr/Sar/IV/2025,2025,Baik,2030-04-25
Universitas Negeri Medan,Matematika,S1,PTN,102/SK/LAMSAMA/Akred/S/V/2025,2025,Unggul,2030-05-18
Universitas Islam Negeri Sultan Maulana Hasanuddin Banten,Hukum Eknomi Syariah (Muamalah),S1,PTAN,6753/SK/BAN-PT/Ak.S/S/VI/2025,2025,B,-
Sekolah Tinggi Teologi Imanuel Ministry El Shadday,Teologi (Akademik),S1,PTAS,6744/SK/BAN-PT/Ak.S/S/VI/2025,2025,Baik,-
Universitas Jayabaya,Ilmu Hukum,S1,03,6730/SK/BAN-PT/Ak/S/VI/2025,2025,Baik Sekali,2030-06-04
Universitas Muhammadiyah Bandung,Administrasi Publik,S1,04,6728/SK/BAN-PT/Ak/S/VI/2025,2025,Baik Sekali,2030-06-04
Universitas Islam Sumatera Utara,Sastra Inggris,S1,01,6731/SK/BAN-PT/Ak/S/VI/2025,2025,Baik Sekali,2030-06-04
Universitas Negeri Semarang,Hukum,S3,PTN,6713/SK/BAN-PT/Ak/D/VI/2025,2025,Baik Sekali,2030-06-04
Universitas Islam Negeri Imam Bonjol Padang,Aqidah Dan Filsafat Islam,S1,PTAN,6714/SK/BAN-PT/Ak/S/VI/2025,2025,Unggul,2030-06-04
Institut Agama Hindu Negeri Tampung Penyang Palangka Raya,Hukum Adat,S1,PTAN,6737/SK/BAN-PT/Ak/S/VI/2025,2025,Baik Sekali,2030-06-04
Universitas Islam Negeri Sultan Maulana Hasanuddin Banten,Hukum Keluarga Islam (Ahwal Syaksiyah),S1,PTAN,6752/SK/BAN-PT/Ak.S/S/VI/2025,2025,B,-
Universitas Simalungun,Perencanaan Wilayah Dan Kota,S2,01,6751/SK/BAN-PT/Ak.S/M/VI/2025,2025,B,-
Sekolah Tinggi Ilmu Administrasi Satya Negara,Administrasi Publik,S1,02,6742/SK/BAN-PT/Ak.S/S/VI/2025,2025,B,-
Universitas Lancang Kuning,Sastra Inggris,S1,17,6758/SK/BAN-PT/Ak.P/S/VI/2025,2025,Baik,2027-06-04
Universitas Khairun,Teknologi Hasil Pertanian,S1,PTN,6746/SK/BAN-PT/Ak.S/S/VI/2025,2025,B,-
Universitas Nias,Sumber Daya Akuatik,S1,01,6743/SK/BAN-PT/Ak.S/S/VI/2025,2025,Baik,-
Universitas Nias,Agroteknologi,S1,01,6747/SK/BAN-PT/Ak.S/S/VI/2025,2025,Baik,-
Universitas Mataram,Pengelolaan Sumberdaya Alam Dan Lingkungan,S2,PTN,6757/SK/BAN-PT/Ak.P/M/VI/2025,2025,Baik,2027-06-04
Universitas Borneo Lestari,Hukum,S1,11,6754/SK/BAN-PT/Ak.P/S/VI/2025,2025,Baik,2027-06-04
Universitas Serasan,Ilmu Hukum,S1,02,6748/SK/BAN-PT/Ak.S/S/VI/2025,2025,B,-
Universitas Simalungun,Agroteknologi,S1,01,6749/SK/BAN-PT/Ak.S/S/VI/2025,2025,B,-
Institut Agama Islam Kotamobagu,Manajemen Dakwah,S1,PTAS,6755/SK/BAN-PT/Ak.P/S/VI/2025,2025,Baik,2027-06-04
Universitas Syiah Kuala,Manajemen Agribisnis,D-III,PTN,6750/SK/BAN-PT/Ak.S/D3/VI/2025,2025,B,-
Universitas Jambi,Kehutanan,S1,PTN,6715/SK/BAN-PT/Ak/S/VI/2025,2025,Unggul,2030-06-04
Universitas Islam Negeri Raden Fatah Palembang,Studi Islam,S2,PTAN,6716/SK/BAN-PT/Ak/M/VI/2025,2025,Unggul,2030-06-04
Universitas Brawijaya,Kenotariatan Kampus Jakarta,S2,PTN,6710/SK/BAN-PT/Ak/M/VI/2025,2025,Baik Sekali,2030-06-04
Universitas Islam Al-azhar,Agroekoteknologi,S1,08,6722/SK/BAN-PT/Ak/S/VI/2025,2025,Baik,2030-06-04
Universitas Pembangunan Nasional Veteran Jakarta,Ilmu Komunikasi,S2,PTN,6723/SK/BAN-PT/Ak/M/VI/2025,2025,Baik Sekali,2030-06-04
Universitas Nahdlatul Ulama Kalimantan Barat,Teknologi Hasil Perikanan,S1,11,6724/SK/BAN-PT/Ak/S/VI/2025,2025,Baik,2030-06-04
Sekolah Tinggi Pertanian Flores Bajawa,Peternakan,S1,15,6725/SK/BAN-PT/Ak/S/VI/2025,2025,Baik,2030-06-04
Sekolah Tinggi Pertanian Flores Bajawa,Agroteknologi,S1,15,6711/SK/BAN-PT/Ak/S/VI/2025,2025,Baik,2030-06-04
Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,Ilmu Pemerintahan,S1,PTAN,6739/SK/BAN-PT/Ak/S/VI/2025,2025,Baik Sekali,2030-06-04
Sekolah Tinggi Teologi Amadeus Surabaya,Teologi,S1,PTAS,6709/SK/BAN-PT/Ak/S/VI/2025,2025,Baik,2030-06-04
Universitas PGRI Palembang,Budi Daya Ikan,D-III,02,6726/SK/BAN-PT/Ak/D3/VI/2025,2025,Baik,2030-06-04
Akademi Pariwisata Dharma Nusantara Sakti,Perhotelan,D-III,05,6729/SK/BAN-PT/Ak/D3/VI/2025,2025,Baik,2030-06-04
Universitas Padjadjaran,Bahasa Dan Budaya Tiongkok,D-IV,PTN,6736/SK/BAN-PT/Ak/STr/VI/2025,2025,Baik Sekali,2030-06-04
Universitas Satyagama,Ilmu Pemerintahan,S1,03,6721/SK/BAN-PT/Ak/S/VI/2025,2025,Baik,2030-06-04
Universitas Nahdlatul Ulama Sulawesi Tenggara,Ilmu Komunikasi,S1,09,6735/SK/BAN-PT/Ak/S/VI/2025,2025,Baik,2030-06-04
Universitas Negeri Gorontalo,Budidaya Perairan,S1,PTN,6720/SK/BAN-PT/Ak/S/VI/2025,2025,Unggul,2030-06-04
Institut Teknologi Sumatera,Rekayasa Instrumentasi Dan Automasi,S1,PTN,6717/SK/BAN-PT/Ak/S/VI/2025,2025,Baik,2030-06-04
Universitas Muhammadiyah Semarang,Ilmu Keolahragaan,S1,06,6732/SK/BAN-PT/Ak/S/VI/2025,2025,Baik,2030-06-04
Institut Agama Islam Negeri Kudus,Pemikiran Politik Islam,S1,PTAN,6740/SK/BAN-PT/Ak/S/VI/2025,2025,Baik Sekali,2030-06-04
Politeknik Kreatif Indonesia,Desain Mode,D-IV,03,6733/SK/BAN-PT/Ak/STr/VI/2025,2025,Baik,2030-06-04
Universitas Negeri Padang,Tata Busana,D-III,PTN,6738/SK/BAN-PT/Ak/D3/VI/2025,2025,Unggul,2030-06-04
Universitas Kartamulia Purwakarta,Ilmu Keolahragaan,S1,04,6718/SK/BAN-PT/Ak/S/VI/2025,2025,Baik,2030-06-04
Universitas Djuanda,Sains Komunikasi,S1,04,6759/SK/BAN-PT/Ak/S/VI/2025,2025,Baik Sekali,2030-06-04
Universitas Buddhi Dharma,Bahasa Inggris,D-III,04,6719/SK/BAN-PT/Ak/D3/VI/2025,2025,Baik,2030-06-04
Politeknik Negeri Bengkalis,Administrasi Jaringan Komputer,D-II,PTN,6712/SK/BAN-PT/Ak/D2/VI/2025,2025,Baik,2030-06-04
Akademi Pariwisata Stipary,Pelayanan Makanan Dan Minuman,D-I,05,6734/SK/BAN-PT/Ak/D1/VI/2025,2025,Baik Sekali,2030-06-04
Institut Agama Islam Negeri Kendari,Pendidikan Agama Islam,S3,PTAN,838/SK/LAMDIK/Ak-PSB/D/VI/2025,2025,Baik,-
Universitas Dehasen Bengkulu,Pendidikan Profesi Guru,Profesi,02,837/SK/LAMDIK/Ak-PSB/P/VI/2025,2025,Baik,-
Universitas Muhammadiyah Purwokerto,Pendidikan Matematika,S2,06,836/SK/LAMDIK/Ak-PSB/M/VI/2025,2025,Baik,-
Universitas Muhammadiyah Ponorogo,Pendidikan Profesi Guru,Profesi,07,834/SK/LAMDIK/Ak-PSB/P/VI/2025,2025,Baik,-
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Bandar Lampung,Pendidikan Profesi Guru,Profesi,02,833/SK/LAMDIK/Ak-PSB/P/VI/2025,2025,Baik,-
Universitas Muhammadiyah Sukabumi,Pendidikan Profesi Guru,Profesi,04,832/SK/LAMDIK/Ak-PSB/P/VI/2025,2025,Baik,-
Universitas Muhammadiyah Sidoarjo,Pendidikan Profesi Guru,Profesi,07,831/SK/LAMDIK/Ak-PSB/P/II/2025,2025,Baik,-
Institut Jam`Iyah Mahmudiyah Langkat,Manajemen Pendidikan Islam,S1,PTAS,830/SK/LAMDIK/Ak-PNB/S/VI/2025,2025,Baik,2027-11-03
Institut Jam`Iyah Mahmudiyah Langkat,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS,829/SK/LAMDIK/Ak-PNB/S/VI/2025,2025,Baik,2029-08-18
Universitas Islam Cirebon,Manajemen Pendidikan Islam,S1,PTAS,828/SK/LAMDIK/Ak-PNB/S/VI/2025,2025,Baik,2028-07-12
Universitas Islam Cirebon,Pendidikan Agama Islam,S1,PTAS,826/SK/LAMDIK/Ak-PNB/S/VI/2025,2025,Baik,2029-08-18
,,S1,PTAN,819/SK/LAMDIK/Ak-SM/S/VI/2025,2025,Baik,-
IAIN Sultan Amai Gorontalo,Manajemen Pendidikan Islam,S1,PTAN,693/SK/LAMDIK/Ak-P/S/VI/2025,2025,B,-
Sekolah Tinggi Kateketik Pastoral Katolik Bina Insan Bina Insan Keuskupan Agung Samarinda,Pendidikan Keagamaan Katolik,S1,PTAS,689/SK/LAMDIK/Ak-S/S/VI/2025,2025,Baik,-
Sekolah Tinggi Teologi SAPPI Ciranjang,Pendidikan Agama Kristen,S1,,686/SK/LAMDIK/Ak-PSB/S/VI/2025,2025,Baik,-
Universitas Khairun,Pendidikan Ilmu Pengetahuan Sosial,S2,PTN,685/SK/LAMDIK/Ak-PSB/M/VI/2025,2025,Baik,-
Institut Ilmu Al Qur'an An-Nur Yogyakarta,Pendidikan Agama Islam,S2,PTAS,684/SK/LAMDIK/Ak-PSB/M/VI/2025,2025,Baik,-
Universitas Khairun,Pendidikan Ilmu Pengetahuan Alam,S2,PTN,683/SK/LAMDIK/Ak-PSB/M/VI/2025,2025,Baik,-
Universitas Islam Negeri Antasari Banjarmasin,Pendidikan Bahasa Inggris,S2,PTAN,682/SK/LAMDIK/Ak-PSB/M/VI/2025,2025,Baik,-
Universitas Muhammadiyah Pare-pare,Pedagogi,S2,09,681/SK/LAMDIK/Ak-PSB/M/VI/2025,2025,Baik,-
Universitas Buana Perjuangan Karawang,Pendidikan Profesi Guru,Profesi,04,680/SK/LAMDIK/Ak-PSB/P/VI/2025,2025,Baik,-
Universitas Pasir Pengaraian,Pedagogi,S2,10,679/SK/LAMDIK/Ak-PSB/M/VI/2025,2025,Baik,-
Universitas Darul Ulum Islamic Centre Sudirman,Pendidikan Agama Islam,S2,06,678/SK/LAMDIK/Ak-PSB/M/VI/2025,2025,Baik,-
Universitas Khairun,Pendidikan Ilmu Pengetahuan Alam,S1,PTN,677/SK/LAMDIK/Ak-PSB/S/VI/2025,2025,Baik,-
Universitas Tunas Pembangunan Surakarta,Pendidikan Profesi Guru,Profesi,06,676/SK/LAMDIK/Ak-PSB/P/VI/2025,2025,Baik,-
Universitas Muhammadiyah Enrekang,Pendidikan Dasar,S2,09,675/SK/LAMDIK/Ak-PSB/M/VI/2025,2025,Baik,-
Universitas Muhammadiyah Kendari,Pendidikan Matematika,S1,09,674/SK/LAMDIK/Ak-PSB/S/VI/2025,2025,Baik,-
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Agama Hindu Amlapura,Pendidikan Agama Hindu,S2,08,673/SK/LAMDIK/Ak-PSB/M/VI/2025,2025,Baik,-
Institut Keguruan Dan Ilmu Pendidikan PGRI Wates,Pendidikan Profesi Guru,Profesi,05,672/SK/LAMDIK/Ak-PSB/P/VI/2025,2025,Baik,-
Universitas Negeri Padang,Pendidikan Vokasional Desain Fashion,S1,PTN,669/SK/LAMDIK/Ak-PSB/S/VI/2025,2025,Baik,-
Universitas Negeri Padang,Pendidikan Vokasional Seni Kuliner,S1,PTN,670/SK/LAMDIK/Ak-PSB/S/VI/2025,2025,Baik,-
Universitas Negeri Semarang,Pendidikan Vokasi,S3,PTN,671/SK/LAMDIK/Ak-PSB/D/VI/2025,2025,Baik,-
Universitas Islam Aceh,Pendidikan Agama Islam,S2,PTAS,668/SK/LAMDIK/Ak-PNB/M/VI/2025,2025,Baik Sekali,2030-03-04
Universitas Islam Aceh,Pendidikan Agama Islam,S1,PTAS,667/SK/LAMDIK/Ak-PNB/S/VI/2025,2025,Unggul,2030-03-23
Institut Binamadani Indonesia,Pendidikan Agama Islam,S1,PTAS,666/SK/LAMDIK/Ak-PNB/S/VI/2025,2025,Baik Sekali,2027-12-27
Institut Binamadani Indonesia,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS,665/SK/LAMDIK/Ak-PNB/S/VI/2025,2025,Baik Sekali,2027-12-27
Institut Binamadani Indonesia,Pendidikan Agama Islam,S2,PTAS,664/SK/LAMDIK/Ak-PNB/M/VI/2025,2025,Baik Sekali,2028-02-05
Universitas Islam Darud Da`wah Wal-Irsyad A.G.H. Abdurrahman Ambo Dalle,Pendidikan Agama Islam,S1,PTAS,661/SK/LAMDIK/Ak-PNB/S/V/2025,2025,Baik Sekali,2028-07-09
Universitas Islam Darud Da`wah Wal-Irsyad A.G.H. Abdurrahman Ambo Dalle,Bimbingan Dan Konseling Pendidikan Islam,S1,PTAS,660/SK/LAMDIK/Ak-PNB/S/V/2025,2025,Baik Sekali,2029-07-10
Universitas Negeri Jakarta,Pendidikan Masyarakat,S1,PTN,663/SK/LAMDIK/Ak-PNB/S/V/2025,2025,Unggul,2028-09-25
Universitas Negeri Jakarta,Pendidikan Khusus,S1,PTN,662/SK/LAMDIK/Ak-PNB/S/V/2025,2025,Unggul,2028-03-13
"POLITEKNIK AL-ISLAM BANDUNG, BANDUNG",RADIODIAGNOSTIK DAN RADIOTERAPI,D-III,04,0828/LAM-PTKes/Akr/Dip/V/2025,2025,BAIK SEKALI,2030-05-23
"POLITEKNIK AL-ISLAM BANDUNG, BANDUNG",ADMINISTRASI RUMAH SAKIT,D-III,04,0811/LAM-PTKes/Akr/Dip/V/2025,2025,BAIK SEKALI,2030-05-23
"POLITEKNIK AL-ISLAM BANDUNG, BANDUNG",TERAPI WICARA,D-III,04,0829/LAM-PTKes/Akr/Dip/V/2025,2025,BAIK SEKALI,2030-05-23
"POLITEKNIK HANG TUAH JAKARTA, JAKARTA",FARMASI,D-III,03,0798/LAM-PTKes/Akr/Dip/V/2025,2025,BAIK SEKALI,2030-05-23
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN BANTEN, BANTEN",KEPERAWATAN,D-III,PTKL,0730/LAM-PTKes/Akr/Dip/V/2025,2025,UNGGUL,2030-05-23
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN KUPANG, KUPANG",NERS,Profesi,PTKL,0697/LAM-PTKes/Akr/Pro/V/2025,2025,UNGGUL,2030-05-23
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN KUPANG, KUPANG",KEPERAWATAN,D-IV,PTKL,0696/LAM-PTKes/Akr/Dip/V/2025,2025,UNGGUL,2030-05-23
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN TANJUNG KARANG, TANJUNG KARANG",FARMASI,D-III,PTKL,0795/LAM-PTKes/Akr/Dip/V/2025,2025,BAIK SEKALI,2030-05-23
"POLITEKNIK SANTO PAULUS SURAKARTA, SURAKARTA",TEKNOLOGI LABORATORIUM MEDIS,D-IV,06,0817/LAM-PTKes/Akr/Dip/V/2025,2025,BAIK SEKALI,2030-05-23
"SEKOLAH TINGGI FARMASI INDONESIA, BANDUNG",FARMASI,S1,04,0778/LAM-PTKes/Akr/Sar/V/2025,2025,BAIK SEKALI,2030-05-23
"SEKOLAH TINGGI FARMASI INDONESIA, BANDUNG",APOTEKER,Profesi,04,0779/LAM-PTKes/Akr/Pro/V/2025,2025,BAIK SEKALI,2030-05-23
"SEKOLAH TINGGI ILMU KESEHATAN AL-SU'AIBAH, PALEMBANG",KEBIDANAN,S1,02,0759/LAM-PTKes/Akr/Sar/V/2025,2025,Baik,2030-05-23
"SEKOLAH TINGGI ILMU KESEHATAN AL-SU'AIBAH, PALEMBANG",BIDAN,Profesi,02,0760/LAM-PTKes/Akr/Pro/V/2025,2025,Baik,2030-05-23
"SEKOLAH TINGGI ILMU KESEHATAN SISMADI, BOGOR",ILMU KEPERAWATAN,S1,04,0726/LAM-PTKes/Akr/Sar/V/2025,2025,Baik,2030-05-23
"UNIVERSITAS 17 AGUSTUS 1945 JAKARTA, JAKARTA",FARMASI,S2,03,0773/LAM-PTKes/Akr/Mag/V/2025,2025,BAIK SEKALI,2030-05-23
"UNIVERSITAS ABDURRAB, PEKANBARU",DOKTER,Profesi,17,0684/LAM-PTKes/Akr/Pro/V/2025,2025,UNGGUL,2030-05-23
"UNIVERSITAS ABDURRAB, PEKANBARU",KEDOKTERAN,S1,17,0683/LAM-PTKes/Akr/Sar/V/2025,2025,UNGGUL,2030-05-23
"UNIVERSITAS AWAL BROS, PEKANBARU",FISIOTERAPI,S1,10,0821/LAM-PTKes/Akr/Sar/V/2025,2025,Baik,2030-05-23
"UNIVERSITAS DIAN NUSWANTORO, SEMARANG",KESEHATAN MASYARAKAT,S1,06,0807/LAM-PTKes/Akr/Sar/V/2025,2025,UNGGUL,2030-05-23
"UNIVERSITAS GADJAH MADA, YOGYAKARTA",KESELAMATAN DAN KESEHATAN KERJA,-,PTN,0812/LAM-PTKes/Akr/Mag/V/2025,2025,BAIK SEKALI,2030-05-23
"UNIVERSITAS HASANUDDIN, MAKASSAR",ILMU KEDOKTERAN GIGI,S3,PTN,0693/LAM-PTKes/Akr/Dok/V/2025,2025,BAIK SEKALI,2030-05-23
"UNIVERSITAS HKBP NOMMENSEN, MEDAN",PENDIDIKAN DOKTER,S1,01,0679/LAM-PTKes/Akr/Sar/V/2025,2025,UNGGUL,2030-05-23
"UNIVERSITAS HKBP NOMMENSEN, MEDAN",DOKTER,Profesi,01,0680/LAM-PTKes/Akr/Pro/V/2025,2025,UNGGUL,2030-05-23
"UNIVERSITAS KATOLIK SANTO AGUSTINUS HIPPO, LANDAK",KEPERAWATAN (KAMPUS KOTA PONTIANAK),D-III,11,0736/LAM-PTKes/Akr/Dip/V/2025,2025,BAIK SEKALI,2030-05-23
