parent_institution_name,prodi_name,jenjang,wilayah,no_sk,tahun_sk,akreditasi_prodi,tanggal_kadaluarsa
Universitas Faletehan,Informatika (Kampus Kota Bandung),S1,04,6626/SK/BAN-PT/Ak.KP/S/IX/2022,2022,Baik,2026-03-09
Institut Agama Islam Negeri Takengon,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN,6627/SK/BAN-PT/Ak.KP/S/IX/2022,2022,Baik,2026-02-16
Institut Agama Islam Negeri Kerinci,Ekonomi Syariah,S1,PTAN,6628/SK/BAN-PT/Ak.KP/S/IX/2022,2022,Baik,2026-01-06
Sekolah Tinggi Ilmu Bahasa Arab Darul Ulum Banyuanyar Pamekasan Jawa Timur,Bahasa Dan Sastra Arab,S1,PTAS,6629/SK/BAN-PT/Ak.KP/S/IX/2022,2022,Baik,2025-12-22
Sekolah Tinggi Teologi Kanaan Nusantara Ungaran,Teologi (Akademik),S1,PTAS,6623/SK/BAN-PT/Ak.KP/S/IX/2022,2022,Baik,2026-08-05
Universitas Gunadarma,Ilmu Komunikasi,S1,03,6610/SK/BAN-PT/Ak.Ppj/S/IX/2022,2022,A,2027-10-11
Sekolah Tinggi Media Komunikasi Trisakti,Desain Komunikasi Visual,S1,03,6618/SK/BAN-PT/Ak.KP/S/IX/2022,2022,Baik,2027-07-19
Universitas Dhyana Pura,Psikologi,S1,08,6619/SK/BAN-PT/Ak.KP/S/IX/2022,2022,Baik,2027-04-19
STT Pokok Anggur Jakarta,Pendidikan Agama Kristen,S1,PTAS,6620/SK/BAN-PT/Ak.KP/S/IX/2022,2022,Baik,2027-04-12
Universitas Islam Majapahit,Teknik Sipil,S1,07,6622/SK/BAN-PT/Ak.KP/S/IX/2022,2022,Baik,2026-10-21
Politeknik Bisnis Dan Pasar Modal,Manajemen Pajak,D-III,03,6592/SK/BAN-PT/Ak/D3/IX/2022,2022,Baik,2027-09-28
Universitas Hasyim Asy'ari Tebuireng Jombang,Pendidikan Bahasa Dan Sastra Indonesia,S1,07,6598/SK/BAN-PT/Ak/S/IX/2022,2022,Baik Sekali,2027-09-28
Sekolah Tinggi Ilmu Ekonomi Bina Karya,Bisnis Digital,S1,01,6591/SK/BAN-PT/Ak/S/IX/2022,2022,Baik,2027-09-28
