prodi_name,jenjang,akreditasi_prodi,institution_code
MANAJEMEN,S1,B,banpt-1022
ANTROPOLOGI SOSIAL,S1,B,banpt-2547
PEMANFAATAN SUMBER DAYA PERIKANAN,S1,B,banpt-2547
ILMU TEOLOGI,S1,B,banpt-SEKOLAH TINGGI FILSAFAT FAJAR TIMUR JAYAPURA
PSIKOLOGI,S1,B,banpt-138
PENDIDIKAN EKONOMI,S1,B,banpt-SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN NURUL HUDA
PENDIDIKAN AGAMA ISLAM,S1,B,banpt-SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN NURUL HUDA
KOMUNIKASI DAN PENYIARAN ISLAM,S1,B,banpt-2593
PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,B,banpt-441
BIMBINGAN DAN KONSELING,S1,B,banpt-337
AKUNTANSI,S1,B,banpt-2076
PENDIDIKAN AGAMA ISLAM,S1,B,banpt-UNIVERSITAS ISLAM MAJAPAHIT
MANAJEMEN,S1,B,banpt-3888
SASTRA INGGRIS,S1,B,banpt-3258
AKUNTANSI,S1,B,banpt-1015
ILMU ADMINISTRASI NIAGA,S1,B,banpt-2869
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-3305
PENDIDIKAN TEKNOLOGI INFORMASI,S1,B,banpt-3566
PERTAMANAN,S1,B,banpt-2746
PENDIDIKAN AGAMA ISLAM,S1,A,banpt-2114
AKUNTANSI,S1,B,banpt-2746
PENDIDIKAN BIOLOGI,S1,B,banpt-1740
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-3929
PENDIDIKAN MATEMATIKA,S1,Baik,banpt-4034
KEHUTANAN,S1,B,banpt-1227
AGRIBISNIS,S1,B,banpt-2970
PENDIDIKAN MATEMATIKA,S1,B,banpt-3873
PENDIDIKAN MATEMATIKA,S1,C,banpt-SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN SUBANG
PENDIDIKAN BIOLOGI,S1,B,banpt-STKIP NIAS SELATAN
PERENCANAAN WILAYAH DAN KOTA,S1,B,banpt-2667
AKUNTANSI,S1,A,banpt-815
AKUNTANSI,S1,B,banpt-2351
AGROTEKNOLOGI,S1,B,banpt-1822
MANAJEMEN,S1,B,banpt-UNIVERSITAS WIRASWASTA INDONESIA
PEMANFAATAN SUMBER DAYA PERIKANAN,S1,Baik,banpt-3929
SISTEM INFORMASI,S1,Baik,banpt-2498
AGROBISNIS PERIKANAN,S1,Baik,banpt-1201
ILMU PENDIDIKAN TEOLOGI,S1,B,banpt-2378
SASTRA INGGRIS,S1,B,banpt-475
AKUNTANSI,S1,Baik,banpt-3811
ILMU ADMINISTRASI NEGARA,S1,Baik,banpt-SEKOLAH TINGGI ILMU ADMINISTRASI SAUMLAKI
TEKNIK ELEKTRO,S1,Baik,banpt-3215
AGRIBISNIS,S1,Baik,banpt-3915
EKONOMI SYARIAH,S1,Baik,banpt-463
EKONOMI SYARIAH,S1,B,banpt-717
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,banpt-3896
MANAJEMEN,S1,B,banpt-SEKOLAH TINGGI ILMU EKONOMI WIRA BHAKTI
SISTEM INFORMASI AKUNTANSI,S1,B,banpt-1780
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-3963
AKUNTANSI,S1,B,banpt-3700
SISTEM KOMPUTER,S1,Baik,banpt-3846
SASTRA INDONESIA,S1,Baik,banpt-3781
PENDIDIKAN GURU SEKOLAH DASAR,S1,Baik,banpt-645
TEKNIK INFORMATIKA,S1,B,banpt-STMIK AKAKOM
ILMU ADMINISTRASI NIAGA,S1,B,banpt-1538
AKUNTANSI,S1,B,banpt-UNIVERSITAS WR SUPRATMAN
AGROTEKNOLOGI,S1,B,banpt-2359
PENDIDIKAN MATEMATIKA,S1,B,banpt-2901
HUKUM,S1,Baik,banpt-1028
PEMANFAATAN SUMBER DAYA PERIKANAN,S1,Baik,banpt-2498
PENDIDIKAN MATEMATIKA,S1,Baik,banpt-2941
TEKNIK INFORMATIKA,S1,Baik,banpt-3656
AKUNTANSI,S1,Baik,banpt-2347
TEKNIK MESIN,S1,Baik,banpt-1766
DESAIN KOMUNIKASI VISUAL,S1,Baik,banpt-3818
AKUNTANSI,S1,Baik,banpt-3441
AGROTEKNOLOGI,S1,Baik,banpt-1027
PENDIDIKAN BIOLOGI,S1,Baik,banpt-3715
SASTRA INGGRIS,S1,A,banpt-2114
SISTEM INFORMASI,S1,B,banpt-1780
SISTEM INFORMASI,S1,Baik,banpt-3846
TEKNIK INFORMATIKA,S1,Baik,banpt-2340
DESAIN KOMUNIKASI VISUAL,S1,Baik,banpt-4034
PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,Baik,banpt-656
KOMUNIKASI DAN PENYIARAN ISLAM,S1,Baik,banpt-3656
PENDIDIKAN BAHASA INGGRIS,S1,Baik,banpt-2205
EKONOMI SYARI'AH,S1,Baik,banpt-3280
TEKNIK INFORMATIKA,S1,Tidak Terakreditasi,banpt-728
SISTEM KOMPUTER,S1,B,banpt-466
KEHUTANAN,S1,B,banpt-INSTITUT PERTANIAN INTAN
PENDIDIKAN SENI TARI KEAGAMAAN HINDU,S1,B,banpt-3122
AGROTEKNOLOGI,S1,Baik,banpt-2191
MANAJEMEN,S1,Baik,banpt-1984
PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,Baik,banpt-3923
PANGAN DAN NUTRISI,S1,B,banpt-28
PERENCANAAN WILAYAH DAN KOTA,S1,Baik,banpt-500
PERENCANAAN WILAYAH DAN KOTA,S1,Baik,banpt-2157
AKUNTANSI,S1,Baik,banpt-2573
DESAIN KOMUNIKASI VISUAL,S1,Baik,banpt-3398
PENDIDIKAN EKONOMI,S1,Baik,banpt-2941
PENDIDIKAN MATEMATIKA,S1,Baik,banpt-466
AGRIBISNIS,S1,Baik Sekali,banpt-2059
PENDIDIKAN AGAMA ISLAM,S1,Baik Sekali,banpt-2525
ILMU HUKUM,S1,B,banpt-2375
TEKNIK INFORMATIKA,S1,B,banpt-810
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,banpt-2358
BUDIDAYA PERAIRAN,S1,B,banpt-2643
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,C,banpt-SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN SUBANG
PENDIDIKAN EKONOMI,S1,B,banpt-135
PEMANFAATAN SUMBERDAYA PERAIRAN,S1,B,banpt-SEKOLAH TINGGI TEKNOLOGI KELAUTAN BALIK DIWA
MANAJEMEN,S1,B,banpt-3736
HUKUM,S1,B,banpt-2469
ILMU SEJARAH,S1,Tidak Terakreditasi,banpt-INSTITUT ILMU SOSIAL DAN ILMU BUDAYA BUDAYA SAMAWA REA
AGROTEKNOLOGI,S1,Baik,banpt-3819
BIMBINGAN KONSELING,S1,Baik,banpt-4006
MANAJEMEN,S1,Baik,banpt-2740
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,banpt-3296
PENDIDIKAN MATEMATIKA,S1,Baik,banpt-STKIP HATTA SJAHRIR
DESAIN KOMUNIKASI VISUAL,S1,B,banpt-2593
PENDIDIKAN AGAMA ISLAM,S1,Baik,banpt-3656
MANAJEMEN,S1,B,banpt-3085
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,banpt-SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN BINA INSAN MANDIRI
PETERNAKAN,S1,Baik Sekali,banpt-595
DESAIN GRAFIS,S1,Baik,banpt-3811
PENDIDIKAN FISIKA,S1,Baik Sekali,banpt-694
PEMANFAATAN SUMBER DAYA PERIKANAN,S1,Baik,banpt-3722
PENDIDIKAN TEOLOGI,S1,A,banpt-1277
HUKUM,S1,B,banpt-2142
TEKNOLOGI INDUSTRI PERTANIAN,S1,B,banpt-2433
PSIKOLOGI,S1,A,banpt-3233
PSIKOLOGI,S1,B,banpt-2349
TEKNIK ELEKTRO,S1,B,banpt-2349
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-STKIP PGRI JOMBANG
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN NURUL HUDA
AKUNTANSI,S1,B,banpt-3946
PENDIDIKAN SEJARAH,S1,B,banpt-INSTITUT KEGURUAN DAN ILMU PENDIDIKAN PGRI PONTIANAK
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,banpt-SEKOLAH TINGGI KEGURUAN ILMU PENDIDIKAN ADZKIA
PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,B,banpt-SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN MUHAMMADIYAH KUNINGAN
TEKNOLOGI HASIL PERTANIAN,S1,B,banpt-1866
PSIKOLOGI,S1,B,banpt-369
AKUNTANSI,S1,B,banpt-1613
AKUNTANSI,S1,B,banpt-3280
MANAJEMEN,S1,B,banpt-2023
TEKNIK ELEKTRO,S1,B,banpt-SEKOLAH TINGGI TEKNIK SURABAYA
MANAJEMEN,S1,B,banpt-2020
FILSAFAT AGAMA KRISTEN,S1,A,banpt-1167
MANAJEMEN,S1,B,banpt-UNIVERSITAS WR SUPRATMAN
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,banpt-UNIVERSITAS WR SUPRATMAN
TEKNOLOGI INDUSTRI PERTANIAN,S1,B,banpt-3866
MANAJEMEN,S1,B,banpt-2926
PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,B,banpt-1903
ILMU KOMUNIKASI,S1,B,banpt-1015
KOMUNIKASI DAN PENYIARAN ISLAM,S1,B,banpt-UNIVERSITAS AZZAHRA
BIMBINGAN DAN KONSELING,S1,B,banpt-INSTITUT KEGURUAN DAN ILMU PENDIDIKAN PGRI WATES
ILMU HUKUM,S1,B,banpt-2647
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,banpt-337
PENDIDIKAN MATEMATIKA,S1,B,banpt-197
TEKNIK INFORMATIKA,S1,B,banpt-SEKOLAH TINGGI MANAJEMEN INFORMATIKA DAN KOMPUTER JAYAKARTA
MANAJEMEN,S1,B,banpt-2901
PSIKOLOGI,S1,B,banpt-1044
MANAJEMEN,S1,B,banpt-SEKOLAH TINGGI ILMU EKONOMI INDRAGIRI RENGAT
ILMU SOSIATRI,S1,B,banpt-3055
PENDIDIKAN SOSIOLOGI,S1,B,banpt-SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN BIMA
PENDIDIKAN MATEMATIKA,S1,B,banpt-SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN BINA BANGSA GETSEMPENA
PENDIDIKAN SEJARAH,S1,B,banpt-135
MANAJEMEN,S1,B,banpt-3250
PENDIDIKAN OLAH RAGA,S1,C,banpt-3736
ILMU HUKUM,S1,B,banpt-2226
PENDIDIKAN SEJARAH,S1,B,banpt-2946
ILMU HUKUM,S1,B,banpt-2946
PENDIDIKAN BIOLOGI,S1,B,banpt-3538
MANAJEMEN,S1,B,banpt-3027
HUKUM,S1,B,banpt-3440
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN BUDI DAYA BINJAI
INFORMATIKA,S1,B,banpt-STMIK AKAKOM
PENDIDIKAN BAHASA ARAB,S1,A,banpt-2114
INFORMATIKA,S1,Baik,banpt-3963
AGRIBISNIS,S1,B,banpt-3085
ILMU HUKUM,S1,Baik,banpt-UNIVERSITAS MEGOU PAK TULANG BAWANG
SISTEM INFORMASI,S1,B,banpt-1019
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,banpt-2901
ILMU ADMINISTRASI NEGARA,S1,B,banpt-SEKOLAH TINGGI ILMU SOSIAL DAN ILMU POLITIK PANCA BHAKTI PALU
PENDIDIKAN MATEMATIKA,S1,B,banpt-3305
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,banpt-3305
ILMU ADMINISTRASI NEGARA,S1,A,banpt-1022
PENDIDIKAN SENI TARI,S1,B,banpt-SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN PGRI BANJARMASIN
HUKUM,S1,B,banpt-2966
TEKNIK INFORMATIKA,S1,B,banpt-2114
PENDIDIKAN MATEMATIKA,S1,Unggul,banpt-1224
EKONOMI PEMBANGUNAN,S1,B,banpt-819
EKONOMI SYARI`AH,S1,B,banpt-2067
PETERNAKAN,S1,B,banpt-3280
PETERNAKAN,S1,B,banpt-1864
PENDIDIKAN IPA,S1,Baik,banpt-STKIP PGRI TULUNGAGUNG
ILMU POLITIK,S1,B,banpt-1994
BIOLOGI,S1,B,banpt-3051
PENDIDIKAN BAHASA BALI,S1,Baik,banpt-3281
DESAIN PRODUK,S1,Baik,banpt-1774
PSIKOLOGI,S1,B,banpt-2398
ILMU HUKUM,S1,B,banpt-UNIVERSITAS MATHLA`UL ANWAR
MANAJEMEN,S1,B,banpt-2304
ILMU HUKUM,S1,B,banpt-UNIVERSITAS WIRASWASTA INDONESIA
MANAJEMEN,S1,B,banpt-1319
AKUNTANSI,S1,B,banpt-3044
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN YPUP MAKASSAR
HUKUM KELUARGA,S1,B,banpt-2333
EKONOMI ISLAM,S1,Baik,banpt-2068
AGRIBISNIS,S1,Baik,banpt-3715
BIOTEKNOLOGI,S1,Baik,banpt-1851
PENDIDIKAN GURU SEKOLAH DASAR,S1,Baik,banpt-4006
PENDIDIKAN BIOLOGI,S1,Baik,banpt-3818
BAHASA MANDARIN,S1,Baik,banpt-1539
ILMU HUKUM,S1,B,banpt-1628
PENDIDIKAN BIOLOGI,S1,Tidak Terakreditasi,banpt-STKIP TUNAS PALAPA
TEKNIK INFORMATIKA,S1,B,banpt-80
PSIKOLOGI,S1,B,banpt-3162
PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,Baik,banpt-STKIP PERSADA KHATULISTIWA SINTANG
MANAJEMEN,S1,B,banpt-682
ILMU PEMERINTAHAN,S1,B,banpt-468
EKONOMI SYARI'AH,S1,B,banpt-663
ILMU ADMINISTRASI NIAGA,S1,B,banpt-374
TEKNIK INFORMATIKA,S1,B,banpt-463
KEHUTANAN,S1,B,banpt-3607
KOMUNIKASI DAN PENYIARAN ISLAM,S1,Baik,banpt-3923
HUKUM KELUARGA ISLAM,S1,Unggul,banpt-2866
PENDIDIKAN GURU SEKOLAH DASAR,S1,Baik,banpt-3581
PERENCANAAN WILAYAH DAN KOTA,S1,Baik,banpt-738
PENDIDIKAN FISIKA,S1,Baik,banpt-4006
PENDIDIKAN BIOLOGI,S1,Baik,banpt-2282
PENDIDIKAN FISIKA,S1,Baik,banpt-3818
ADMINISTRASI  NEGARA,S1,Baik,banpt-STISIP BINA MARTA
TEKNIK INFORMATIKA,S1,Baik,banpt-1423
PENDIDIKAN MATEMATIKA,S1,Baik,banpt-70
KOMUNIKASI DAN PENYIARAN ISLAM,S1,Baik,banpt-1725
PENDIDIKAN FISIKA,S1,Baik,banpt-3542
