institution_code,institution_name,akreditasi_institusi,no_sk,tahun_sk,wilayah,tanggal_kadaluarsa
banpt-3188,Sekolah Tinggi Agama Islam Aceh Tamiang,Baik,368/SK/BAN-PT/Ak/PT/VII/2022,2022,PTAS,2027-07-19
banpt-3189,Poltekkes Kemenkes Mamuju,Baik,367/SK/BAN-PT/Ak/PT/VII/2022,2022,PTKL,2027-07-19
banpt-3190,Universitas Muhamamdiyah Karanganyar,Baik,372/SK/BAN-PT/Ak-PNB/PT/VII/2022,2022,06,2026-08-31
banpt-3191,Sekolah Tinggi Filsafat Fajar Timur,Baik,361/SK/BAN-PT/Ak-PPJ/PT/VII/2022,2022,14,2026-11-25
banpt-3192,Akademi Kebidanan Paramata Raha,Baik,353/SK/BAN-PT/Akred/PT/VII/2022,2022,09,2027-07-13
banpt-3193,Universitas Respati Yogyakarta,B,354/SK/BAN-PT/Ak-PPJ/PT/VII/2022,2022,05,2027-05-24
banpt-3194,Akademi Maritim Indonesia AIPI,Baik,345/SK/BAN-PT/Akred-PMT/PT/VII/2022,2022,09,2027-07-12
banpt-3195,Universitas Cipasung Tasikmalaya,Baik,336/SK/BAN-PT/Ak-PNB/PT/VII/2022,2022,04,2026-05-21
banpt-3196,Institut Teknologi dan Bisnis Widya Gama Lumajang,Baik,343/SK/BAN-PT/Ak-PNB/PT/VII/2022,2022,07,2025-12-15
banpt-3197,Politeknik Pariwisata Prima Internasional,Baik,340/SK/BAN-PT/Akred/PT/VII/2022,2022,04,2027-07-12
banpt-3198,Politeknik Baja Tegal,Baik,341/SK/BAN-PT/Akred/PT/VII/2022,2022,06,2027-07-12
banpt-3199,Universitas Satya Wiyata Mandala,Baik,339/SK/BAN-PT/Akred/PT/VII/2022,2022,14,2027-07-12
banpt-3200,Sekolah Tinggi Teknologi Terpadu Nurul Fikri,Baik,207/SK/BAN-PT/Ak-PPJ/PT/V/2022,2022,04,2027-05-17
banpt-3201,Universitas Anwar Medika,Baik,325/SK/BAN-PT/Ak-PNB/PT/VII/2022,2022,07,2026-09-21
banpt-3202,Sekolah Tinggi Ilmu Al Qur'an Ar-Rahman,Baik,323/SK/BAN-PT/Akred/PT/VII/2022,2022,PTAS,2027-07-05
banpt-3203,Sekolah Tinggi Ilmu Hukum Sunan Giri,Baik,322/SK/BAN-PT/Akred/PT/VII/2022,2022,07,2027-07-05
banpt-3204,Poltekkes Kemenkes Yogyakarta,Baik Sekali,320/SK/BAN-PT/Akred/PT/VII/2022,2022,PTKL,2027-07-05
banpt-3205,STAH Negeri Mpu Kuturan Singaraja Bali,Baik Sekali,321/SK/BAN-PT/Akred/PT/VII/2022,2022,PTAN,2027-07-05
banpt-3206,Akademi Keuangan Dan Perbankan Effata Kupang,Baik,324/SK/BAN-PT/Akred/PT/VII/2022,2022,15,2027-07-05
banpt-3207,Universitas Mikroskil,B,332/SK/BAN-PT/Ak-PNB/PT/VII/2022,2022,01,2026-05-21
banpt-3208,Institut Teknologi Pagar Alam,Baik,318/SK/BAN-PT/Ak-PNB/PT/VII/2022,2022,02,2025-12-15
banpt-3209,Institut Agama Islam Al-Qur'an Al-Ittifaqiah Indralaya,Baik,316/SK/BAN-PT/Ak-PNB/PT/VII/2022,2022,PTAS,2026-04-13
banpt-3210,STIKES Widyagama Husada Malang,Baik,298/SK/BAN-PT/Akred/PT/VI/2022,2022,07,2027-06-28
banpt-3211,Universitas Papua,Baik Sekali,296/SK/BAN-PT/Akred/PT/VI/2022,2022,PTN,2027-06-28
banpt-3212,Universitas Agung Podomoro,Baik Sekali,295/SK/BAN-PT/Akred/PT/VI/2022,2022,03,2027-06-28
banpt-3213,Politeknik Perkeretaapian Indonesia Madiun,Baik Sekali,294/SK/BAN-PT/Akred/PT/VI/2022,2022,PTKL,2027-06-28
banpt-3214,Universitas Kristen Indonesia,Unggul,304/SK/BAN-PT/Akred/PT/VI/2022,2022,03,2027-06-28
banpt-3215,Universitas Teknologi Sumbawa,Baik Sekali,297/SK/BAN-PT/Akred/PT/VI/2022,2022,08,2027-06-28
banpt-3216,STMIK Pranata Indonesia,Baik,300/SK/BAN-PT/Akred/PT/VI/2022,2022,04,2027-06-28
banpt-3217,STIKES Darul Azhar Batulicin,Baik,299/SK/BAN-PT/Akred/PT/VI/2022,2022,11,2027-06-28
banpt-3218,STEI Ar Risalah Ciamis Jawa Barat,Baik,303/SK/BAN-PT/Akred/PT/VI/2022,2022,PTAS,2027-06-28
banpt-3219,Akademi Perikanan Yogyakarta,Baik,302/SK/BAN-PT/Akred/PT/VI/2022,2022,05,2027-06-28
banpt-3220,"Sekolah Tinggi Teknologi ""Warga"" Surakarta",Baik,293/SK/BAN-PT/Ak-PPJ/PT/VI/2022,2022,06,2027-05-24
banpt-3221,STIKES Kapuas Raya,Baik,301/SK/BAN-PT/Akred/PT/VI/2022,2022,11,2027-06-28
banpt-3222,Universitas Muhammadiyah Prof Dr Hamka,Unggul,290/SK/BAN-PT/AK-ISK/PT/VI/2022,2022,03,2026-12-28
banpt-3223,Universitas Pendidikan Indonesia,Unggul,288/SK/BAN-PT/AK-ISK/PT/VI/2022,2022,PTN,2026-12-21
banpt-3224,Universitas Bina Nusantara,Unggul,289/SK/BAN-PT/AK-ISK/PT/VI/2022,2022,03,2026-12-21
banpt-3225,Sekolah Tinggi Agama Islam Darussalam Sumatra Selatan,Baik,284/SK/BAN-PT/Ak-PNB/PT/VI/2022,2022,PTAS,2026-10-26
banpt-3226,Sekolah Tinggi Agama Islam Syubbanul Wathon Magelang,Baik,281/SK/BAN-PT/Ak-PNB/PT/VI/2022,2022,PTAS,2025-11-25
banpt-3227,Universitas Muhammadiyah Mamuju,Baik,274/SK/BAN-PT/Ak-PNB/PT/VI/2022,2022,09,2025-12-20
banpt-3228,Universitas Nurul Huda,Baik,280/SK/BAN-PT/Ak-PNB/PT/VI/2022,2022,02,2025-11-24
banpt-3229,Institut Ilmu Sosial dan Manajemen STIAMI,Baik Sekali,271/SK/BAN-PT/Akred-PMT/PT/VI/2022,2022,03,2027-06-14
banpt-3230,Sekolah Tinggi Ilmu Tarbiyah Al- Kifayah Riau,Tidak Terakreditasi,272/SK/BAN-PT/Ak-TMSP/PT/VI/2022,2022,PTAS,
banpt-3231,Sekolah Tinggi Ilmu Administrasi Lancang Kuning,Baik,261/SK/BAN-PT/Akred/PT/VI/2022,2022,17,2027-06-14
banpt-3232,STIKES Guna Bangsa Yogyakarta,Baik Sekali,260/SK/BAN-PT/Akred/PT/VI/2022,2022,05,2027-06-14
banpt-3233,Universitas Mercu Buana Yogyakarta,B,258/SK/BAN-PT/Ak-PPJ/PT/VI/2022,2022,05,2026-12-21
banpt-3234,STAK Negeri Toraja,Baik,234/SK/BAN-PT/Ak-PPJ/PT/V/2022,2022,PTAN,0000-00-00
banpt-3235,Sekolah Tinggi Ilmu Kesehatan Bina Generasi Polewali Mandar,Baik,212/SK/BAN-PT/Ak-PPJ/PT/V/2022,2022,09,2027-05-31
banpt-3236,Akademi Kesehatan Gigi Karya Adi Husada Mataram,Baik,215/SK/BAN-PT/Ak-PPJ/PT/V/2022,2022,08,2027-05-31
banpt-3237,Sekolah Tinggi Ilmu Kesehatan Mitra Ria Husada,Baik,227/SK/BAN-PT/Ak-PPJ/PT/V/2022,2022,03,2027-05-24
banpt-3238,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Bina Mutiara,Baik,240/SK/BAN-PT/Akred/PT/VI/2022,2022,04,2027-06-07
banpt-3239,STKIP Muhammadiyah Blora,Baik,238/SK/BAN-PT/Akred/PT/VI/2022,2022,06,2027-06-07
banpt-3240,Sekolah Tinggi Ekonomi dan Bisnis Islam Tanggamus Lampung,Baik,239/SK/BAN-PT/Akred/PT/VI/2022,2022,PTAS,2027-06-07
banpt-3241,Institut Agama Islam Negeri Takengon,Baik,249/SK/BAN-PT/Ak-PNB/PT/VI/2022,2022,PTAN,2026-05-21
banpt-3242,Akademi Kebidanan Panca Bhakti,Baik Sekali,242/SK/BAN-PT/AK-ISK/PT/VI/2022,2022,11,2025-10-04
banpt-3243,Universitas Pasir Pengaraian,Baik,243/SK/BAN-PT/AK-ISK/PT/VI/2022,2022,17,2025-12-30
banpt-3244,Sekolah Tinggi Teologi Global Glow Indonesia Jakarta,Baik,229/SK/BAN-PT/Akred/PT/V/2022,2022,PTAS,2027-05-31
banpt-3245,Sekolah Tinggi Ilmu Ekonomi Surakarta,B,233/SK/BAN-PT/Ak-PPJ/PT/V/2022,2022,06,2027-05-10
banpt-3246,Sekolah Tinggi Ilmu Ekonomi Sakti Alam Kerinci,B,226/SK/BAN-PT/Ak-PPJ/PT/V/2022,2022,10,2027-06-07
banpt-3247,Universitas 'Aisyiyah Surakarta,Baik Sekali,1128/SK/BAN-PT/Akred-PMT/PT/XII/2021,2021,06,2026-12-29
banpt-3248,Sekolah Tinggi Ilmu Kesehatan Panti Kosala,Baik Sekali,194/SK/BAN-PT/AK-ISK/PT/V/2022,2022,06,2026-12-28
banpt-3249,Akademi Manajemen Informatika dan Komputer Jakarta Teknologi Cipta,B,202/SK/BAN-PT/Ak-PPJ/PT/V/2022,2022,06,2027-05-17
banpt-3250,Sekolah Tinggi Ilmu Ekonomi APRIN,B,201/SK/BAN-PT/Ak-PPJ/PT/V/2022,2022,02,2027-05-17
banpt-3251,Universitas Yarsi,B,198/SK/BAN-PT/Ak-PPJ/PT/V/2022,2022,03,2027-05-17
banpt-3252,Sekolah Tinggi Ilmu Kesehatan Mercubaktijaya,B,197/SK/BAN-PT/Ak-PPJ/PT/V/2022,2022,10,2027-05-24
banpt-3253,Sekolah Tinggi Ilmu Ekonomi Pelita Nusantara,B,196/SK/BAN-PT/Ak-PPJ/PT/V/2022,2022,06,2027-05-24
banpt-3254,Universitas Udayana,Unggul,193/SK/BAN-PT/AK-ISK/PT/V/2022,2022,PTN,2026-12-21
banpt-3255,Politeknik Nasional,Baik,166/SK/BAN-PT/Ak-PNB/PT/IV/2022,2022,08,2026-03-16
banpt-3256,Sekolah Tinggi Teologi Apollos Jakarta,Baik,157/SK/BAN-PT/Akred/PT/IV/2022,2022,PTAS,2027-04-27
banpt-3257,Sekolah Tinggi Ilmu Administrasi Setih Setio,B,161/SK/BAN-PT/Ak-PPJ/PT/IV/2022,2022,10,2027-05-10
banpt-3258,Sekolah Tinggi Bahasa Asing LIA Yogyakarta,B,160/SK/BAN-PT/Ak-PPJ/PT/IV/2022,2022,05,2027-05-10
banpt-3259,Universitas Pattimura,B,155/SK/BAN-PT/Ak-PPJ/PT/IV/2022,2022,PTN,2026-12-28
banpt-3260,Sekolah Tinggi Teologi Pelita Bangsa,Baik,156/SK/BAN-PT/Akred/PT/IV/2022,2022,PTAS,2027-04-27
banpt-3261,Sekolah Tinggi Ilmu Syariah Nahdlatul Ulama (STISNU) Nusantara Tangerang,Baik,171/SK/BAN-PT/Akred/PT/IV/2022,2022,PTAS,2027-04-27
banpt-3262,Universitas Negeri Padang,Unggul,151/SK/BAN-PT/AK-ISK/PT/IV/2022,2022,PTN,2026-12-21
banpt-3263,Politeknik Negeri Ujung Pandang,Baik Sekali,129/SK/BAN-PT/Akred-PMT/PT/III/2022,2022,PTN,2027-03-22
banpt-3264,Politeknik STIA LAN Bandung,Baik Sekali,150/SK/BAN-PT/Akred-PMT/PT/IV/2022,2022,PTKL,2027-04-12
banpt-3265,Universitas Negeri Yogyakarta,Unggul,144/SK/BAN-PT/AK-ISK/PT/IV/2022,2022,PTN,2026-12-28
banpt-3266,Universitas Mohammad Husni Thamrin,B,140/SK/BAN-PT/Ak-PPJ/PT/IV/2022,2022,03,2026-12-28
banpt-3267,Institut Agama Islam Al Muslim Aceh,B,139/SK/BAN-PT/Ak-PPJ/PT/IV/2022,2022,PTAS,2026-12-02
banpt-3268,STIE IBEK Pangkalpinang Bangka,Baik,134/SK/BAN-PT/Akred/PT/III/2022,2022,02,2027-03-30
banpt-3269,Sekolah Tinggi Teologi Imanuel Pacet,Baik,130/SK/BAN-PT/Akred/PT/III/2022,2022,PTAS,2027-03-22
banpt-3270,Universitas Peradaban,Baik,127/SK/BAN-PT/Akred/PT/III/2022,2022,06,2027-03-16
banpt-3271,Institut Teknologi Perusahaan Listrik Negara,B,126/SK/BAN-PT/Ak-PPJ/PT/III/2022,2022,03,2027-03-24
banpt-3272,Institut Teknologi dan Bisnis Swadharma,Baik,116/SK/BAN-PT/Akred/PT/III/2022,2022,03,2027-03-08
banpt-3273,STAI Al-Hamidiyah Jakarta,Baik,119/SK/BAN-PT/Akred/PT/III/2022,2022,PTAS,2027-03-08
banpt-3274,Sekolah Tinggi Ilmu Tarbiyah Makrifatul Ilmi Bengkulu Selatan,Baik,113/SK/BAN-PT/Akred/PT/III/2022,2022,PTAS,2027-03-08
banpt-3275,Institut Agama Islam Al-Amanah Jeneponto,Baik,117/SK/BAN-PT/Akred/PT/III/2022,2022,PTAS,2027-03-08
banpt-3276,Sekolah Tinggi Agama Islam Sabilul Muttaqqin Mojokerto Jawa Timur,Baik,115/SK/BAN-PT/Akred/PT/III/2022,2022,PTAS,2027-03-08
banpt-3277,Politeknik Purbaya,Baik,114/SK/BAN-PT/Akred/PT/III/2022,2022,06,2027-03-08
banpt-3278,Institut Agama Kristen Negeri Tarutung,Baik,118/SK/BAN-PT/Akred/PT/III/2022,2022,PTAN,2027-03-08
banpt-3279,Universitas Dian Nuswantoro,Unggul,107/SK/BAN-PT/AK-ISK/PT/III/2022,2022,06,2026-12-21
banpt-3280,Universitas Islam Lamongan,Baik Sekali,106/SK/BAN-PT/Akred/PT/III/2022,2022,07,2027-03-02
banpt-3281,STKIP Agama Hindu Amlapura,Baik,100/SK/BAN-PT/Akred/PT/III/2022,2022,08,2027-03-01
banpt-3282,STIKES Ichsan Medical Centre Bintaro,Baik,101/SK/BAN-PT/Akred/PT/III/2022,2022,04,2027-03-01
banpt-3283,STKIP Babunnajah Pandeglang,Baik,103/SK/BAN-PT/Akred/PT/III/2022,2022,04,2027-03-01
banpt-3284,STIKI Malang,Baik Sekali,99/SK/BAN-PT/Akred/PT/III/2022,2022,07,2027-03-01
banpt-3285,Politeknik ATK Yogyakarta,Baik Sekali,98/SK/BAN-PT/Akred/PT/III/2022,2022,PTKL,2027-03-01
banpt-3286,STAI Ma`arif Jambi,Baik,102/SK/BAN-PT/Akred/PT/III/2022,2022,PTAS,2027-03-01
banpt-3287,Universitas Batam,B,96/SK/BAN-PT/Ak-PPJ/PT/II/2022,2022,17,2027-01-27
banpt-3288,Universitas Widya Dharma Pontianak,Baik,87/SK/BAN-PT/Akred/PT/II/2022,2022,11,2027-02-22
banpt-3289,Universitas Tjut Nyak Dhien,Baik Sekali,85/SK/BAN-PT/Akred/PT/II/2022,2022,01,2027-02-22
banpt-3290,STMIK Catur Sakti Kendari,Baik,88/SK/BAN-PT/Akred/PT/II/2022,2022,09,2027-02-22
banpt-3291,Sekolah Tinggi Ilmu Kesehatan Tamalatea Makassar,Baik,86/SK/BAN-PT/Akred/PT/II/2022,2022,09,2027-02-22
banpt-3292,Akademi Komunitas Industri Tekstil dan Produk Tekstil Surakarta,Baik,80/SK/BAN-PT/Akred/PT/II/2022,2022,PTKL,2027-02-15
banpt-3293,Universitas Bumi Hijrah Tidore,Baik,74/SK/BAN-PT/Akred/PT/II/2022,2022,12,2027-02-15
banpt-3294,STIKES Panakkukang,Baik,81/SK/BAN-PT/Akred/PT/II/2022,2022,09,2027-02-15
banpt-3295,Sekolah Tinggi Bio Sains Swadiri,Baik,82/SK/BAN-PT/Akred/PT/II/2022,2022,14,2027-02-15
banpt-3296,STKIP Kusumanegara,Baik Sekali,75/SK/BAN-PT/Akred/PT/II/2022,2022,03,2027-02-15
banpt-3297,STAI Tuanku Tambusai,Baik,79/SK/BAN-PT/Akred/PT/II/2022,2022,PTAS,2027-02-15
banpt-3298,Universitas Muhammadiyah Kotabumi,B,71/SK/BAN-PT/Ak-PPJ/PT/II/2022,2022,02,2026-12-28
banpt-3299,Institut Teknologi Garut,Baik Sekali,62/SK/BAN-PT/Ak-PNB/PT/II/2022,2022,04,2026-04-13
banpt-3300,Akademi Keperawatan Rumkit Tingkat III Manado,Baik,55/SK/BAN-PT/Akred/PT/II/2022,2022,16,2027-02-03
banpt-3301,Universitas Ibn Khaldun,B,54/SK/BAN-PT/Ak-PPJ/PT/II/2022,2022,04,2027-01-20
banpt-3302,Politeknik Tiara Bunda,Baik,49/SK/BAN-PT/Akred/PT/I/2022,2022,04,2027-01-27
banpt-3303,Sekolah Tinggi Ilmu Administrasi Malang,Baik,52/SK/BAN-PT/Akred/PT/I/2022,2022,07,2027-01-27
banpt-3304,Institut Studi Islam Muhammadiyah Pacitan,Baik,45/SK/BAN-PT/Ak-PNB/PT/I/2022,2022,PTAS,2026-04-20
banpt-3305,Universitas PGRI Wiranegara ,B,37/SK/BAN-PT/Ak-PPJ/PT/I/2022,2022,07,2026-11-25
banpt-3306,Sekolah Tinggi Ilmu Kesehatan Buleleng,B,32/SK/BAN-PT/Ak-PPJ/PT/I/2022,2022,08,2027-02-01
banpt-3307,Universitas Kristen Artha Wacana,B,22/SK/BAN-PT/Ak-PPJ/PT/I/2022,2022,15,2026-12-28
banpt-3308,Institut Agama Islam Negeri Metro,B,14/SK/BAN-PT/Ak-PPJ/PT/I/2022,2022,PTAN,2027-01-20
banpt-3309,Universitas Muhammadiyah Riau,B,11/SK/BAN-PT/Ak-PPJ/PT/I/2022,2022,17,2027-01-20
banpt-3310,Universitas Muhammadiyah Purworejo,B,13/SK/BAN-PT/Ak-PPJ/PT/I/2022,2022,06,2027-01-20
banpt-3311,STIKES Yahya Bima,Baik,7/SK/BAN-PT/Akred/PT/I/2022,2022,08,2027-01-04
banpt-3312,Politeknik Kesehatan Ummi Khasanah,B,6/SK/BAN-PT/Ak-PPJ/PT/I/2022,2022,05,2026-12-28
banpt-3313,Sekolah Tinggi Ilmu Pendidikan Islam Maghfirah Bina Umat,Baik,1130/SK/BAN-PT/Akred/PT/XII/2021,2021,PTAS,2026-12-29
banpt-3314,Politeknik STIA LAN Jakarta,B,1127/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,PTKL,2026-09-09
banpt-3315,Sekolah Tinggi Teknologi Angkatan Laut,B,1124/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,PTKL,2027-01-11
banpt-3316,Institut Medika Drg. Suherman,B,1125/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,04,2026-12-28
banpt-3317,Universitas Hayam Wuruk Perbanas,A,1120/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,07,2026-12-21
banpt-3318,Universitas Narotama,B,1081/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,07,2026-12-21
banpt-3319,Universitas Negeri Medan,A,1067/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,PTN,2026-12-21
banpt-3320,Politeknik Negeri Semarang,A,1062/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,PTN,2026-12-21
banpt-3321,Universitas Widya Dharma Klaten,B,1090/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,06,2026-12-28
banpt-3322,Sekolah Tinggi Ilmu Ekonomi Widya Wiwaha,B,1100/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,05,2026-11-25
banpt-3323,Sekolah Tinggi Filsafat Theologi Jakarta,B,1075/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,03,2026-11-25
banpt-3324,Politeknik Penerbangan Medan,B,1101/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,PTKL,2026-11-25
banpt-3325,Institut Bisnis dan Informatika Kesatuan,B,1097/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,04,2026-11-25
banpt-3326,Institut Teknologi Nasional Yogyakarta,B,1099/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,05,2026-11-25
banpt-3327,"Sekolah Tinggi Multi Media ""MMTC"" Yogyakarta",B,1102/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,PTKL,2026-12-28
banpt-3328,Sekolah Tinggi Ilmu Kesehatan Bina Putra Banjar,B,1103/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,04,2026-12-28
banpt-3329,Universitas Pertahanan,A,1059/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,PTKL,2026-12-28
banpt-3330,STAI Ma`had `Ali Cirebon,Baik,1058/SK/BAN-PT/Akred/PT/XII/2021,2021,PTAS,2026-12-22
banpt-3331,Universitas Sriwijaya,Unggul,1056/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,PTN,2026-12-21
banpt-3332,Universitas Telkom,Unggul,1055/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,04,2026-12-28
banpt-3333,Sekolah Tinggi Ilmu Hukum 'UMEL MANDIRI',B,1106/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,14,2026-12-28
banpt-3334,Institut Teknologi Padang,B,1085/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,10,2026-12-28
banpt-3335,Akademi Kebidanan Anugerah Bintan,B,1107/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,17,2026-12-28
banpt-3336,Universitas Ma Chung,B,1105/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,07,2026-12-28
banpt-3337,Sekolah Tinggi Ilmu Kesehatan Pertamedika,B,1093/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,03,2026-12-28
banpt-3338,Universitas Muhammadiyah Pontianak,B,1104/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,11,2026-12-28
banpt-3339,Politeknik Kesehatan Kementerian Kesehatan Kupang,B,1079/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,PTKL,2026-12-28
banpt-3340,Politeknik Negeri Pontianak,B,1098/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,PTN,2026-12-28
banpt-3341,Universitas Muhammadiyah Surakarta,Unggul,1057/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,06,2026-12-28
banpt-3342,Sekolah Tinggi  Ilmu Ekonomi JIU,Tidak Terakreditasi,1046/SK/BAN-PT/Ak-TMSP/PT/XII/2021,2021,04,
banpt-3343,Sekolah Tinggi Ilmu Kesehatan Gunung Sari,C,1040/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,09,2026-12-28
banpt-3344,Sekolah Tinggi Ilmu Ekonomi Pemuda,Baik,1043/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,07,2026-11-25
banpt-3345,Universitas Gresik,Baik Sekali,1029/SK/BAN-PT/Akred/PT/XII/2021,2021,07,2026-12-15
banpt-3346,STIKES Bhakti Pertiwi Indonesia,Baik,1028/SK/BAN-PT/Akred/PT/XII/2021,2021,03,2026-12-15
banpt-3347,Sekolah Tinggi Ilmu Hukum Awang Long,Baik Sekali,1024/SK/BAN-PT/Akred/PT/XII/2021,2021,11,2026-12-15
banpt-3348,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Amal Bakti,Baik,1044/SK/BAN-PT/Akred/PT/XII/2021,2021,01,2026-12-15
banpt-3349,Sekolah Tinggi Ilmu Kesehatan Papua,Baik,1026/SK/BAN-PT/Akred/PT/XII/2021,2021,14,2026-12-15
banpt-3350,Sekolah Tinggi Ilmu Kesehatan Dharma Husada,Baik,1021/SK/BAN-PT/Akred/PT/XII/2021,2021,04,2026-12-14
banpt-3351,Politeknik Penerbangan Makassar,Baik,1020/SK/BAN-PT/Akred/PT/XII/2021,2021,PTKL,2026-12-14
banpt-3352,Sekolah Tinggi Ilmu Farmasi dan  Pengetahuan Alam Pelita Mas Palu,Baik,1018/SK/BAN-PT/Akred/PT/XII/2021,2021,16,2026-12-08
banpt-3353,Akademi Sekretari Dan Manajemen Don Bosco,Baik,1019/SK/BAN-PT/Akred/PT/XII/2021,2021,03,2026-07-14
banpt-3354,STMIK YMI Tegal,Baik,1009/SK/BAN-PT/Akred/PT/XII/2021,2021,06,2026-12-01
banpt-3355,Sekolah Tinggi Ilmu Kesehatan Harapan Bangsa,Baik,1010/SK/BAN-PT/Akred/PT/XII/2021,2021,07,2026-12-01
banpt-3356,Sekolah Tinggi Ilmu Hukum Graha Kirana,Baik,1005/SK/BAN-PT/Akred/PT/XI/2021,2021,01,2026-11-24
banpt-3357,Akademi Bahasa Asing Balikpapan,Baik,1004/SK/BAN-PT/Akred/PT/XI/2021,2021,11,2026-06-30
banpt-3358,Universitas Katolik Widya Mandira Kupang,B,997/SK/BAN-PT/Ak-PPJ/PT/XI/2021,2021,15,2026-11-25
banpt-3359,Institut Agama Islam Nasional Laa Roiba Bogor Jawa Barat,Baik,993/SK/BAN-PT/Akred/PT/XI/2021,2021,PTAS,2026-11-23
banpt-3360,Sekolah Tinggi Ilmu Kesehatan Indonesia,Baik,991/SK/BAN-PT/Akred/PT/XI/2021,2021,10,2026-11-23
banpt-3361,"STAI Serdang Lubuk Pakam, Sumatera Utara",Baik,992/SK/BAN-PT/Akred/PT/XI/2021,2021,PTAS,2026-11-23
banpt-3362,Sekolah Tinggi Agama Islam Islamic Centre Demak,Baik,1000/SK/BAN-PT/Akred/PT/XI/2021,2021,PTAS,2026-11-23
banpt-3363,Politeknik Pelayaran Sorong,Baik,994/SK/BAN-PT/Akred/PT/XI/2021,2021,PTKL,2026-11-23
banpt-3364,STAI Ar-Rosyid Surabaya,Baik,985/SK/BAN-PT/Akred/PT/XI/2021,2021,PTAS,2026-03-10
banpt-3365,Politeknik Kelautan dan Perikanan Kupang,Baik,978/SK/BAN-PT/Akred/PT/XI/2021,2021,PTKL,2026-11-16
banpt-3366,Sekolah Tinggi Ilmu Tarbiyah Togo Ambarsari Bondowoso Jawa Timur,Baik,981/SK/BAN-PT/Akred/PT/XI/2021,2021,PTAS,2026-11-16
banpt-3367,Sekolah Tinggi Teologi Bandung,Baik,979/SK/BAN-PT/Akred/PT/XI/2021,2021,PTAS,2026-11-16
banpt-3368,Sekolah Tinggi Ilmu Tarbiyah Al Mubarok Bandar Mataram,Baik,980/SK/BAN-PT/Akred/PT/XI/2021,2021,PTAS,2026-11-16
banpt-3369,Politeknik Kelautan dan Perikanan Karawang,Baik Sekali,977/SK/BAN-PT/Akred/PT/XI/2021,2021,PTKL,2026-11-16
banpt-3370,Institut Agama Islam Bakti Negara Tegal,Baik,973/SK/BAN-PT/Akred/PT/XI/2021,2021,PTAS,2026-11-10
banpt-3371,Sekolah Tinggi Teologi Injili Indonesia Jakarta,Baik,974/SK/BAN-PT/Akred/PT/XI/2021,2021,PTAS,2026-11-10
banpt-3372,Sekolah Tinggi Teologi Adhi Wacana Surabaya,Baik,969/SK/BAN-PT/Akred/PT/XI/2021,2021,PTAS,2026-11-09
banpt-3373,Sekolah Tinggi Agama Islam Mambaul Ulum Jambi,Baik,967/SK/BAN-PT/Akred/PT/XI/2021,2021,PTAS,2026-11-09
banpt-3374,Sekolah Tinggi Bahasa Asing Pontianak,Baik,971/SK/BAN-PT/Akred/PT/XI/2021,2021,11,2026-11-09
banpt-3375,Institut Islam Nahdlatul Ulama Temanggung,Baik,958/SK/BAN-PT/Ak-PNB/PT/XI/2021,2021,PTAS,2026-07-27
banpt-3376,STIPAS Keuskupan Agung Kupang,Baik,960/SK/BAN-PT/Akred/PT/XI/2021,2021,PTAS,2026-11-03
banpt-3377,STAK Wiyata Wacana Pati,Baik,962/SK/BAN-PT/Akred/PT/XI/2021,2021,PTAS,2026-11-03
banpt-3378,Politeknik Kelautan dan Perikanan Dumai,Baik Sekali,963/SK/BAN-PT/Akred/PT/XI/2021,2021,PTKL,2026-11-03
