institution_code,institution_name,akreditasi_institusi,no_sk,tahun_sk,wilayah,tanggal_kadaluarsa
banpt-114,STAI Al-Andina Sukabumi,Baik Sekali,2740/SK/BAN-PT/Ak/PT/IX/2025,2025,PTAS,2030-09-23
banpt-115,STIE Madani Balikpapan,Baik,2515/SK/BAN-PT/Ak.Ppj/2.0/PT/VIII/2025,2025,11,2030-08-23
banpt-116,Sekolah Tinggi Ilmu Kesehatan Rajekwesi Bojonegoro,Terakreditasi,2527/SK/BAN-PT/Ak.S/2.0/PT/IX/2025,2025,07,9999-01-01
banpt-117,Institut Batari Toja Bone,Terakreditasi,2525/SK/BAN-PT/Ak.S/2.0/PT/IX/2025,2025,09,9999-01-01
banpt-118,Akademi Akupunktur Surabaya,Terakreditasi,2523/SK/BAN-PT/Ak.S/2.0/PT/IX/2025,2025,07,9999-01-01
banpt-119,Politeknik Haji Anwar Sanusi,Terakreditasi Sementara,2522/SK/BAN-PT/Ak.P/2.0/PT/IX/2025,2025,04,2033-09-23
banpt-120,Institut Kesehatan dan Teknologi Buton Raya,Terakreditasi,2521/SK/BAN-PT/Ak.S/2.0/PT/IX/2025,2025,09,9999-01-01
banpt-121,Akademi Manajemen Informatika Dan Komputer Taruna,Terakreditasi,2520/SK/BAN-PT/Ak.S/2.0/PT/IX/2025,2025,07,9999-01-01
banpt-122,Sekolah Tinggi Ilmu Kesehatan Sapta Bakti,Baik,2719/SK/BAN-PT/Ak.S/PT/IX/2025,2025,02,9999-01-01
banpt-123,Institut Teknologi Muhammadiyah Sumatera,Baik,2712/SK/BAN-PT/Ak/PT/IX/2025,2025,02,2030-09-16
banpt-124,Politeknik Statistika STIS,Unggul,2723/SK/BAN-PT/Ak/PT/IX/2025,2025,PTKL,2030-09-16
banpt-125,Institut Bisnis dan Komunikasi Swadaya,Baik Sekali,2713/SK/BAN-PT/Ak/PT/IX/2025,2025,03,2030-09-16
banpt-126,Universitas Wira Bhakti,Baik,2709/SK/BAN-PT/Ak/PT/IX/2025,2025,09,2030-09-16
banpt-127,Sekolah Tinggi Agama Hindu Lampung,Baik,2718/SK/BAN-PT/Ak/PT/IX/2025,2025,PTAN,2030-09-16
banpt-128,Sekolah Tinggi Ekonomi dan Bisnis Islam Yayasan Pelita Ilmu Insani,Baik,2714/SK/BAN-PT/Ak/PT/IX/2025,2025,PTAS,2030-09-16
banpt-129,Sekolah Tinggi Teologi Tenggarong,Baik,2722/SK/BAN-PT/Ak/PT/IX/2025,2025,PTAS,2030-09-16
banpt-130,STAI Asshiddiqiyah Karawang,Baik,2715/SK/BAN-PT/Ak/PT/IX/2025,2025,PTAS,2030-09-16
banpt-131,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Bina Harapan Celebes,Baik,2710/SK/BAN-PT/Ak/PT/IX/2025,2025,09,2030-09-16
banpt-132,Akademi Kebidanan Saleha,Baik,2716/SK/BAN-PT/Ak/PT/IX/2025,2025,13,2030-09-16
banpt-133,Institut Teknologi Bisnis Riau,Baik,2717/SK/BAN-PT/Ak/PT/IX/2025,2025,17,2030-09-16
banpt-134,Sekolah Tinggi Teologi Baptis Independen Indonesia Purworejo,Baik,2711/SK/BAN-PT/Ak/PT/IX/2025,2025,PTAS,2030-09-16
banpt-135,STKIP PGRI Bandar Lampung,Baik Sekali,2731/SK/BAN-PT/Ak.KP/PT/IX/2025,2025,02,2030-06-24
banpt-136,Universitas Muria Kudus,Unggul,2727/SK/BAN-PT/Ak/PT/IX/2025,2025,06,2030-09-16
banpt-137,Universitas Alwashliyah,Baik Sekali,2728/SK/BAN-PT/Ak/PT/IX/2025,2025,01,2030-09-16
banpt-138,Universitas Merdeka Malang,Baik Sekali,2730/SK/BAN-PT/Ak.KP/PT/IX/2025,2025,07,2030-07-06
banpt-139,STT SAMUEL ELIZABETH,Baik,2724/SK/BAN-PT/Ak.P/PT/IX/2025,2025,PTAS,2027-09-16
banpt-140,Universitas Pembangunan Nasional Veteran Yogyakarta,Unggul,2726/SK/BAN-PT/Ak/PT/IX/2025,2025,PTN,2030-09-16
banpt-141,Universitas Sahid Surakarta,Baik Sekali,2725/SK/BAN-PT/Ak/PT/IX/2025,2025,06,2030-09-16
banpt-142,Politeknik Aisyiyah Pontianak,Baik Sekali,2720/SK/BAN-PT/Ak/PT/IX/2025,2025,11,2030-09-16
banpt-143,"STAI Pati (STAIP), Jawa Tengah",Baik,2729/SK/BAN-PT/Ak/PT/IX/2025,2025,PTAS,2030-09-16
banpt-144,Universitas Negeri Manado,Unggul,2732/SK/BAN-PT/Ak/PT/IX/2025,2025,PTN,2030-09-16
banpt-145,Politeknik Pariwisata Lombok,Unggul,2721/SK/BAN-PT/Ak/PT/IX/2025,2025,PTKL,2030-09-16
banpt-146,Sekolah Tinggi Ilmu Ekonomi Yapi Bone,Baik,2708/SK/BAN-PT/Ak/PT/IX/2025,2025,09,2030-09-16
banpt-147,Politeknik Muara Dua,Tidak Terakreditasi,2707/SK/BAN-PT/Ak-TMSP/PT/IX/2025,2025,02,
banpt-148,Sekolah Tinggi Maritim Yogyakarta,Terakreditasi,2513/SK/BAN-PT/Ak.Ppj/2.0/PT/VIII/2025,2025,05,2030-09-21
