quipper_code,rencanamu_code,banpt_code,pddikti_code,faculty,prodi,prodi_normalized,edu_level,accreditation,institution_code,cluster_kmodes,cluster_category
-,-,banpt-1988,-,-,PERENCANAAN WILAYAH DAN KOTA,PERENCANAAN WILAYAH KOTA,S1,BAIK,245,0,Ekonomi & Bisnis
quipper-387,-,-,-,FAKULTAS EKONOMI DAN BISNIS,PERPAJAKAN,PERPAJAKAN,S1,-,245,0,Ekonomi & Bisnis
quipper-387,-,-,-,FAKULTAS AGAMA ISLAM,SASTRA ARAB,SASTRA ARAB,S1,-,245,0,Ekonomi & Bisnis
quipper-387,rencanamu-207,-,-,FAKULTAS TEKNIK,TEKNIK SIPIL,SIPIL,S1,B,245,1,Teknik & Rekayasa
quipper-387,rencanamu-207,banpt-1988,-,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,SOSIOLOGI,SOSIOLOGI,S1,B,245,2,Pendidikan & Keguruan
-,rencanamu-207,banpt-1988,-,-,TEKNOLOGI PENDIDIKAN,TEKNOLOGI,S1,C,245,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,PERTANIAN DAN PETERNAKAN,AGRIBISNIS,AGRIBISNIS,S1,A,287,0,Ekonomi & Bisnis
quipper-40,-,-,-,PERTANIAN DAN PETERNAKAN,AGROTEKNOLOGI/AGRONOMI,AGRONOMI,S1,-,287,0,Ekonomi & Bisnis
-,rencanamu-208,banpt-3123,-,-,AGROTEKNOLOGI,AGROTEKNOLOGI,S1,A,287,0,Ekonomi & Bisnis
quipper-40,-,banpt-3123,-,PERTANIAN DAN PETERNAKAN,AKUAKULTUR,AKUAKULTUR,S1,UNGGUL,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,EKONOMI DAN BISNIS,AKUNTANSI,AKUNTANSI,S1,A,287,2,Pendidikan & Keguruan
quipper-40,rencanamu-208,banpt-3123,-,KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN BIOLOGI,BIOLOGI,S1,A,287,0,Ekonomi & Bisnis
-,rencanamu-208,-,-,-,BUDIDAYA PERAIRAN,BUDIDAYA PERAIRAN,S1,A,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,EKONOMI DAN BISNIS,EKONOMI PEMBANGUNAN,EKONOMI PEMBANGUNAN,S1,B,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,TEKNIK,TEKNIK ELEKTRO/TEKNOLOGI ELEKTRONIKA,ELEKTRO,S1,B,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,LLMU KESEHATAN,FARMASI,FARMASI,S1,B,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,LLMU KESEHATAN,FISIOTERAPI,FISIOTERAPI,S1,C,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN GURU SEKOLAH DASAR,GURU SEKOLAH DASAR,S1,A,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,ILMU SOSIAL DAN ILMU POLITIK,HUBUNGAN INTERNASIONAL,HUBUNGAN INTERNASIONAL,S1,A,287,0,Ekonomi & Bisnis
quipper-40,rencanamu-208,banpt-3123,-,HUKUM,HUKUM,HUKUM,S1,A,287,3,Hukum
