institution_name,prodi_name,jenjang,akreditasi_prodi,status_pencocokan
SEKOLAH TINGGI ILMU EKONOMI WIDYA DHARMA,AKUNTANSI,S1,BAIK,GAGAL COCOK
POLITEKNIK SAINS SENI REKAKREASI,ANIMASI,D-IV,BAIK,BERHASIL
SEKOLAH TINGGI AGAMA ISLAM AL-HIDAYAT,EKONOMI SYARIAH,S1,BAIK,BERHASIL
AKADEMI MANAJEMEN INFORMATIKA &AMP; KOMPUTER UNIVERSAL,TEKNIK INFORMATIKA,D-III,BAIK,GAGAL COCOK
UNIVERSITAS NAHDLATUL ULAMA BLITAR,PERBANKAN SYARIAH,S1,BAIK,BERHASIL
UNIVERSITAS MUHAMMADIYAH CIREBON,PENDIDIKAN MATEMATIKA,S1,BAIK,BERHASIL
INSTITUT PESANTREN SUNAN DRAJAT LAMONGAN,BIMBINGAN DAN KONSELING ISLAM,S1,BAIK,BERHASIL
UNIVERSITAS ASAHAN,BUDIDAYA PERAIRAN,S1,BAIK SEKALI,BERHASIL
POLITEKNIK STMI JAKARTA,SISTEM INFORMASI INDUSTRI OTOMOTIF,D-IV,BAIK SEKALI,BERHASIL
UNIVERSITAS ISLAM NEGERI DATOKARAMA PALU,KOMUNIKASI DAN PENYIARAN ISLAM,S1,BAIK SEKALI,BERHASIL
POLITEKNIK NEGERI MALANG,TEKNOLOGI PEMELIHARAAN PESAWAT UDARA,D-III,BAIK,BERHASIL
STAI MA`ARIF JAMBI,HUKUM EKONOMI SYARI`AH,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS ISLAM INDONESIA,KENOTARIATAN,S2,UNGGUL,BERHASIL
UNIVERSITAS ISLAM NEGERI ANTASARI BANJARMASIN,HUKUM KELUARGA,S2,BAIK SEKALI,BERHASIL
UNIVERSITAS ISLAM MALANG,PETERNAKAN,S2,BAIK SEKALI,BERHASIL
UNIVERSITAS ISLAM NEGERI ALAUDDIN MAKASSAR,DIRASAH ISLAMIYAH,S2,BAIK SEKALI,BERHASIL
"UNIVERSITAS INDONESIA, JAKARTA",FISIOTERAPI,D-IV,BAIK,BERHASIL
"UNIVERSITAS INDONESIA, JAKARTA",TERAPI OKUPASI,D-IV,BAIK,BERHASIL
"UNIVERSITAS PADJADJARAN, BANDUNG",ILMU KEPERAWATAN,S2,UNGGUL,BERHASIL
SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN MUHAMMADIYAH OKU TIMUR,PENDIDIKAN GURU SEKOLAH DASAR,S1,BAIK,BERHASIL
UNIVERSITAS ICHSAN GORONTALO,TEKNOLOGI HASIL PERTANIAN,S1,B,BERHASIL
UNIVERSITAS MAHASARASWATI DENPASAR,AGRIBISNIS,S1,B,BERHASIL
INSTITUT TEKNOLOGI BISNIS DAN BAHASA DIAN CIPTA CENDEKIA,KOMPUTERISASI AKUNTANSI,D-III,B,GAGAL COCOK
INSTITUT TEKNOLOGI BISNIS DAN BAHASA DIAN CIPTA CENDEKIA,BAHASA INGGRIS,D-III,BAIK,GAGAL COCOK
STAI BADRUS SHOLEH PURWOASRI KEDIRI,PENDIDIKAN BAHASA ARAB,S1,BAIK,BERHASIL
"POLITEKNIK KESEHATAN BHAKTI SETYA INDONESIA, YOGYAKARTA",TEKNOLOGI BANK DARAH,D-III,BAIK SEKALI,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN HORIZON KARAWANG, KARAWANG",KEBIDANAN,D-III,BAIK SEKALI,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN PANTI WILASA, SEMARANG",ADMINISTRASI RUMAH SAKIT,S1,BAIK,BERHASIL
"UNIVERSITAS AISYAH PRINGSEWU, PRINGSEWU",KEBIDANAN,D-III,UNGGUL,BERHASIL
"UNIVERSITAS HAMZANWADI, LOMBOK TIMUR",FARMASI,S1,BAIK SEKALI,BERHASIL
"UNIVERSITAS MITRA INDONESIA, BANDAR LAMPUNG",NERS,PROFESI,BAIK SEKALI,BERHASIL
"UNIVERSITAS MITRA INDONESIA, BANDAR LAMPUNG",KEPERAWATAN,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS HASANUDDIN,FISIKA,S3,BAIK,BERHASIL
UNIVERSITAS HASANUDDIN,ILMU KELAUTAN,S2,BAIK,BERHASIL
UNIVERSITAS BRAWIJAYA,FISIKA,S1,UNGGUL,BERHASIL
UNIVERSITAS SURABAYA,BIOTEKNOLOGI,S2,UNGGUL,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN WIDYAGAMA HUSADA, MALANG",KESEHATAN LINGKUNGAN,S1,BAIK SEKALI,GAGAL COCOK
"UNIVERSITAS AIRLANGGA, SURABAYA",ORTHOPAEDI DAN TRAUMATOLOGI,SPESIALIS,UNGGUL,BERHASIL
"UNIVERSITAS ISLAM NEGERI MAULANA MALIK IBRAHIM, MALANG",FARMASI,S1,BAIK SEKALI,BERHASIL
"UNIVERSITAS MEDIKA SUHERMAN, BEKASI",NERS,PROFESI,BAIK SEKALI,BERHASIL
"UNIVERSITAS MEDIKA SUHERMAN, BEKASI",KEPERAWATAN,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS MUHAMMADIYAH BOGOR RAYA,PENDIDIKAN BAHASA INGGRIS,S1,BAIK SEKALI,BERHASIL
SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN MUHAMMADIYAH OKU TIMUR,PENDIDIKAN MATEMATIKA,S1,BAIK,BERHASIL
UNIVERSITAS MUSAMUS MERAUKE,PENDIDIKAN MATEMATIKA,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS SANATA DHARMA,PENDIDIKAN SEJARAH,S1,UNGGUL,BERHASIL
SEKOLAH TINGGI AGAMA ISLAM AL-HIDAYAH BOGOR,MANAJEMEN PENDIDIKAN ISLAM,S1,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS MUSAMUS MERAUKE,PENDIDIKAN GURU SEKOLAH DASAR,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,PENDIDIKAN BIOLOGI,S1,UNGGUL,BERHASIL
UNIVERSITAS ISLAM NEGERI AR-RANIRY BANDA ACEH,PENDIDIKAN FISIKA,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS KATOLIK WIDYA MANDIRA KUPANG,PENDIDIKAN FISIKA,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS MULAWARMAN,AKUNTANSI,S2,BAIK SEKALI,BERHASIL
INSTITUT AGAMA ISLAM KOTAMOBAGU,PERBANKAN SYARIAH,S1,BAIK,BERHASIL
POLITEKNIK NEGERI BALI,BISNIS DIGITAL,D-IV,BAIK SEKALI,BERHASIL
UNIVERSITAS PROF DR MOESTOPO,MANAJEMEN,S2,UNGGUL,BERHASIL
UNIVERSITAS HASANUDDIN,EKONOMI SUMBER DAYA,S2,UNGGUL,BERHASIL
SEKOLAH TINGGI ILMU EKONOMI DAHANI DAHANAI BUNTOK,MANAJEMEN,S1,BAIK,BERHASIL
UNIVERSITAS INDONESIA,BISNIS KREATIF,D-IV,BAIK SEKALI,BERHASIL
UNIVERSITAS DIAN NUSWANTORO,MANAJEMEN,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS DR SOETOMO,MANAJEMEN,S3,BAIK SEKALI,BERHASIL
UNIVERSITAS BALE BANDUNG,AKUNTANSI,S1,BAIK,BERHASIL
UNIVERSITAS JANABADRA,EKONOMI PEMBANGUNAN,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS KRISTEN TENTENA,EKONOMI PEMBANGUNAN,S1,BAIK,BERHASIL
UNIVERSITAS UDAYANA,MANAJEMEN,S2,UNGGUL,BERHASIL
UNIVERSITAS TRIBHUWANA TUNGGA DEWI,TEKNOLOGI INDUSTRI PERTANIAN,S1,B,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN ARRAHMA MANDIRI INDONESIA, PASURUAN",FISIOTERAPI,D-III,BAIK,GAGAL COCOK
"UNIVERSITAS AUFA ROYHAN, PADANG SIDEMPUAN",KESEHATAN MASYARAKAT,S2,BAIK,BERHASIL
"UNIVERSITAS MUHAMMADIYAH SURAKARTA, SURAKARTA",FISIOTERAPI,PROFESI,UNGGUL,BERHASIL
"UNIVERSITAS MUHAMMADIYAH SURAKARTA, SURAKARTA",FISIOTERAPI,S1,UNGGUL,BERHASIL
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN MASYARAKAT,S2,BAIK,BERHASIL
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN KHUSUS,S2,BAIK,BERHASIL
INSTITUT PENDIDIKAN INDONESIA GARUT,PENDIDIKAN MATEMATIKA,S2,BAIK,BERHASIL
UNIVERSITAS MUHAMMADIYAH BOGOR RAYA,ADMINISTRASI PENDIDIKAN,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS KOMPUTER INDONESIA,DESAIN KOMUNIKASI VISUAL,S1,B,BERHASIL
POLITEKNIK MANDIRI BINA PRESTASI,PERHOTELAN,D-III,B,BERHASIL
INSTITUT AGAMA ISLAM DARUSSALAM BLOKAGUNG BANYUWANGI,BIMBINGAN DAN KONSELING  ISLAM,S1,BAIK,BERHASIL
INSTITUT TEKNOLOGI BISNIS DAN BAHASA DIAN CIPTA CENDIKIA,MANAJEMEN INFORMATIKA,D-III,BAIK,BERHASIL
AKADEMI ENTERPRENEURSHIP TERANG BANGSA,KEWIRAUSAHAAN,D-III,BAIK,BERHASIL
SEKOLAH TINGGI TEOLOGI SOTERIA PURWOKERTO,TEOLOGI,S1,BAIK,BERHASIL
UNIVERSITAS MATARAM,KESEHATAN HEWAN K. BIMA,D-III,BAIK,BERHASIL
UNIVERSITAS SATYA NEGARA INDONESIA,ILMU HUBUNGAN INTERNASIONAL,S1,B,BERHASIL
SEKOLAH TINGGI TEOLOGI IKAT JAKARTA,DOKTOR TEOLOGI,S3,BAIK,GAGAL COCOK
SEKOLAH TINGGI AGAMA KRISTEN APOLLOS MANADO,TEOLOGI,S1,BAIK,BERHASIL
UNIVERSITAS SAM RATULANGI,AGRONOMI,S1,BAIK,BERHASIL
UNIVERSITAS TIMOR,PETERNAKAN,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS HASANUDDIN,PROTEKSI TANAMAN,S1,BAIK,BERHASIL
POLITEKNIK SAMPIT,TEKNOLOGI SIPIL,D-III,BAIK,BERHASIL
UNIVERSITAS DINAMIKA,PRODUKSI FILM DAN TELEVISI,D-IV,BAIK SEKALI,BERHASIL
SEKOLAH TINGGI EKONOMI ISLAM LPPM,PERBANKAN SYARIAH,S1,BAIK,BERHASIL
UNIVERSITAS ISLAM NEGERI SULTAN AJI MUHAMMAD IDRIS SAMARINDA,TADRIS BAHASA INGGRIS,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS PRADITA,MANAJEMEN RETAIL,S1,BAIK,BERHASIL
POLITEKNIK PERTANIAN NEGERI PANGKAJENE KEPULAUAN,TEKNOLOGI PRODUKSI TANAMAN PANGAN,D-IV,BAIK SEKALI,BERHASIL
UNIVERSITAS JENDERAL SOEDIRMAN,TEKNIK GEOLOGI,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS AL-KHAIRIYAH,TEKNIK INFORMATIKA,S1,BAIK,BERHASIL
UNIVERSITAS ISLAM NEGERI AR-RANIRY BANDA ACEH,HUKUM KELUARGA,S1,UNGGUL,BERHASIL
INSTITUT TEKNOLOGI DAN BISNIS AHMAD DAHLAN,ARSITEKTUR,S1,BAIK,BERHASIL
UNIVERSITAS MATARAM,TEKNIK PERTANIAN,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS TADULAKO,MANAJEMEN,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS 17 AGUSTUS 1945 SEMARANG,HUKUM,S2,BAIK SEKALI,BERHASIL
UNIVERSITAS BINA DARMA,TEKNIK INFORMATIKA,S1,BAIK SEKALI,BERHASIL
SEKOLAH TINGGI ILMU EKONOMI MANDALA,EKONOMI PEMBANGUNAN,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS PANCASAKTI TEGAL,PENDIDIKAN EKONOMI,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS EKASAKTI,MANAJEMEN,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS HASYIM ASY&#039;ARI TEBUIRENG JOMBANG,KOMUNIKASI DAN PENYIARAN ISLAM,S1,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS TANJUNGPURA,EKONOMI PEMBANGUNAN,S1,UNGGUL,BERHASIL
UNIVERSITAS TANJUNGPURA,AGROTEKNOLOGI,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS SUTOMO,ILMU HUKUM,S1,BAIK,GAGAL COCOK
UNIVERSITAS BORNEO TARAKAN,AGRIBISNIS,S1,BAIK SEKALI,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN BINALITA SUDAMA, MEDAN",NERS,PROFESI,BAIK,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN BINALITA SUDAMA, MEDAN",ILMU KEPERAWATAN,S1,BAIK,BERHASIL
"UNIVERSITAS ISLAM NEGERI SUMATERA UTARA MEDAN, MEDAN",ILMU KESEHATAN MASYARAKAT,S1,BAIK SEKALI,BERHASIL
"UNIVERSITAS MAHASARASWATI DENPASAR, DENPASAR",KEDOKTERAN GIGI,S1,UNGGUL,BERHASIL
"UNIVERSITAS MAHASARASWATI DENPASAR, DENPASAR",PENDIDIKAN PROFESI DOKTER GIGI,PROFESI,UNGGUL,BERHASIL
"UNIVERSITAS MUHAMMADIYAH LAMONGAN, LAMONGAN",FARMASI,D-III,BAIK SEKALI,BERHASIL
UNIVERSITAS NEGERI MANADO,PENDIDIKAN ILMU PENGETAHUAN ALAM,S2,BAIK SEKALI,BERHASIL
"INSTITUT AGAMA ISLAM CIPASUNG CIPASUNG, SINGAPARNA, TASIKMALAYA",EKONOMI SYARIAH,SARJANA,BAIK SEKALI,GAGAL COCOK
STEI AL-ISHLAH BOBOS DUKUPUNTANG CIREBON,PERBANKAN SYARIAH,SARJANA,BAIK,BERHASIL
UNIVERSITAS RESPATI INDONESIA,ADMINISTRASI BISNIS,S2,BAIK SEKALI,BERHASIL
UNIVERSITAS PAMULANG,AKUNTANSI,MAGISTER,BAIK,BERHASIL
STIMI BANJARMASIN,MANAJEMEN,MAGISTER,BAIK,BERHASIL
UNIVERSITAS NEGERI SEMARANG,ILMU EKONOMI,MAGISTER,UNGGUL,BERHASIL
UNIVERSITAS KATOLIK WIDYA MANDALA SURABAYA,ADMINISTRASI PERKANTORAN,DIPLOMA-III,BAIK SEKALI,BERHASIL
POLITEKNIK TEMPO,MANAJEMEN PEMASARAN INTERNASIONAL,SARJANA TERAPAN,BAIK,BERHASIL
UNIVERSITAS 17 AGUSTUS 1945 SAMARINDA,AKUNTANSI,SARJANA,BAIK SEKALI,BERHASIL
UNIVERSITAS NAHDLATUL ULAMA LAMPUNG,KEWIRAUSAHAAN,SARJANA,BAIK,BERHASIL
STEI WALISONGO SAMPANG,EKONOMI SYARIAH,SARJANA,BAIK,BERHASIL
SEKOLAH TINGGI ILMU EKONOMI BANGKINANG,MANAJEMEN,MAGISTER,BAIK SEKALI,BERHASIL
SEKOLAH TINGGI ILMU EKONOMI KUSUMA NEGARA,MANAJEMEN,SARJANA,BAIK SEKALI,BERHASIL
UNIVERSITAS SUTOMO,AKUNTANSI,SARJANA,BAIK,GAGAL COCOK
SEKOLAH TINGGI ILMU ADMINISTRASI LANCANG KUNING,ILMU ADMINISTRASI NIAGA,SARJANA,BAIK SEKALI,BERHASIL
SEKOLAH TINGGI ILMU EKONOMI OEMATHONIS,MANAJEMEN,SARJANA,BAIK,BERHASIL
UNIVERSITAS SUTOMO,MANAJEMEN,SARJANA,BAIK,GAGAL COCOK
UNIVERSITAS NEGERI JAKARTA,MANAJEMEN LINGKUNGAN,S2,UNGGUL,BERHASIL
UNIVERSITAS ISLAM KALIMANTAN MUHAMMAD ARSYAD AL BANJARI BANJARMASIN,MANAJEMEN,MAGISTER,BAIK SEKALI,BERHASIL
INSTITUT BISNIS NUSANTARA,MANAJEMEN,MAGISTER,BAIK SEKALI,BERHASIL
UNIVERSITAS SEBELAS MARET,AKUNTANSI,-,UNGGUL,BERHASIL
UNIVERSITAS SWADAYA GUNUNG JATI,AKUNTANSI,SARJANA,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS SURYAKANCANA,EKONOMI SYARIAH,SARJANA,BAIK SEKALI,BERHASIL
UNIVERSITAS BOSOWA,EKONOMI PEMBANGUNAN,SARJANA,BAIK SEKALI,BERHASIL
INSTITUT PERTANIAN BOGOR,ILMU EKONOMI PERTANIAN,S3,UNGGUL,BERHASIL
UNIVERSITAS SULTAN AGENG TIRTAYASA,ADMINISTRASI PAJAK,DIPLOMA-III,BAIK SEKALI,BERHASIL
UNIVERSITAS SUMATERA UTARA,PERPAJAKAN,DIPLOMA-III,BAIK SEKALI,BERHASIL
INSTITUT TEKNOLOGI DAN BISNIS AHMAD DAHLAN LAMONGAN,PERPAJAKAN,DIPLOMA-III,BAIK,BERHASIL
UNIVERSITAS KATOLIK WIDYA MANDIRA KUPANG,AKUNTANSI,SARJANA,BAIK SEKALI,BERHASIL
UNIVERSITAS SULTAN AGENG TIRTAYASA,PERBANKAN DAN KEUANGAN,DIPLOMA-III,BAIK SEKALI,BERHASIL
UNIVERSITAS INTERNASIONAL BATAM,AKUNTANSI,SARJANA,BAIK SEKALI,BERHASIL
POLITEKNIK NEGERI MALANG,AKUNTANSI,DIPLOMA-III,UNGGUL,BERHASIL
INSTITUT TRANSPORTASI DAN LOGISTIK TRISAKTI,MANAJEMEN,SARJANA,UNGGUL,GAGAL COCOK
UNIVERSITAS BHAYANGKARA JAKARTA RAYA,MANAJEMEN,SARJANA,UNGGUL,BERHASIL
UNIVERSITAS JANABADRA,MANAJEMEN,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS TIMOR,MANAJEMEN,SARJANA,BAIK SEKALI,BERHASIL
UNIVERSITAS PGRI YOGYAKARTA,BISNIS DIGITAL,SARJANA,BAIK,BERHASIL
UNIVERSITAS MUHAMMADIYAH PURWOKERTO,MANAJEMEN,SARJANA,UNGGUL,BERHASIL
UNIVERSITAS SERAMBI MEKKAH,MANAJEMEN,SARJANA,BAIK SEKALI,BERHASIL
UNIVERSITAS HASANUDDIN,AKUNTANSI,SARJANA,UNGGUL,BERHASIL
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN KIMIA,S1,UNGGUL,BERHASIL
UNIVERSITAS RIAU,PENDIDIKAN MATEMATIKA,S2,BAIK SEKALI,BERHASIL
UNIVERSITAS TOMPOTIKA LUWUK BANGGAI,PENDIDIKAN MATEMATIKA,S1,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS JEMBER,PENDIDIKAN ILMU PENGETAHUAN SOSIAL,S2,UNGGUL,BERHASIL
UNIVERSITAS MULAWARMAN,PENDIDIKAN BAHASA INGGRIS,S1,UNGGUL,BERHASIL
SEKOLAH TINGGI TEOLOGI BAPTIS KALVARI JAKARTA,PENDIDIKAN AGAMA KRISTEN,S1,BAIK,BERHASIL
SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN NASIONAL,PENDIDIKAN EKONOMI,S1,BAIK SEKALI,GAGAL COCOK
SEKOLAH TINGGI AGAMA ISLAM AL-AMIN DOMPU NTB,PENDIDIKAN BAHASA ARAB,S1,BAIK,BERHASIL
UNIVERSITAS ISLAM NEGERI RADEN INTAN LAMPUNG,MANAJEMEN PENDIDIKAN ISLAM,S1,UNGGUL,BERHASIL
UNIVERSITAS WIJAYA KUSUMA SURABAYA,PENDIDIKAN MATEMATIKA,S1,BAIK SEKALI,BERHASIL
INSTITUT AGAMA ISLAM ULUWIYAH MOJOKERTO,PENDIDIKAN AGAMA ISLAM,S1,UNGGUL,BERHASIL
UNIVERSITAS WIJAYA KUSUMA SURABAYA,PENDIDIKAN BAHASA INDONESIA,S1,UNGGUL,BERHASIL
UNIVERSITAS MUHAMMADIYAH BOGOR RAYA,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN KHUSUS,S1,UNGGUL,BERHASIL
UNIVERSITAS MUSLIM BUTON,PENDIDIKAN BAHASA INGGRIS,S1,BAIK,BERHASIL
SEKOLAH TINGGI ILMU TARBIYAH HIDAYATUNNAJAH BEKASI,PENDIDIKAN BAHASA ARAB,S1,BAIK,BERHASIL
SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN AL ISLAM TUNAS BANGSA,"PENDIDIKAN JASMANI, KESEHATAN DAN REKREASI",S1,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS PATTIMURA,PENDIDIKAN PROFESI GURU,PRO.,BAIK SEKALI,BERHASIL
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN OLAHRAGA,S2,UNGGUL,BERHASIL
SEKOLAH TINGGI AGAMA ISLAM DAARUSSALAM SUKABUMI,PENDIDIKAN AGAMA ISLAM,S1,BAIK,GAGAL COCOK
UNIVERSITAS MUSLIM BUTON,PENDIDIKAN GEOGRAFI,S1,BAIK,BERHASIL
UNIVERSITAS MUSLIM BUTON,PENDIDIKAN MATEMATIKA,S1,BAIK,BERHASIL
"UNIVERSITAS SEBELAS MARET, SURAKARTA",ILMU KESEHATAN MASYARAKAT,S3,UNGGUL,BERHASIL
UNIVERSITAS LOGISTIK DAN BISNIS INTERNASIONAL,MANAJEMEN TRANSPORTASI,S1,BAIK SEKALI,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN KENDAL, KENDAL",FARMASI,S1,BAIK SEKALI,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN PANCA BHAKTI, BANDAR LAMPUNG",KEBIDANAN,D-III,BAIK SEKALI,BERHASIL
UNIVERSITAS TAMA JAGAKARSA,ILMU KOMPUTER,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS 17 AGUSTUS 1945 JAKARTA,AKUNTANSI,S1,BAIK,BERHASIL
UNIVERSITAS SUMATERA UTARA,FISIKA,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS AIRLANGGA,MATEMATIKA,S1,UNGGUL,BERHASIL
UNIVERSITAS DIPONEGORO,STATISTIKA,S1,UNGGUL,BERHASIL
INSTITUT PERTANIAN BOGOR,BIOKIMIA,S1,UNGGUL,BERHASIL
UNIVERSITAS 17 AGUSTUS 1945 SEMARANG,KENOTARIATAN,S2,BAIK SEKALI,BERHASIL
INSTITUT AGAMA ISLAM MIFTAHUL ULUM PAMEKASAN,PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,BERHASIL
INSTITUT AGAMA ISLAM AL-AZIZIYAH SAMALANGA BIREUEN ACEH,MANAJEMEN PENDIDIKAN ISLAM,S1,BAIK,GAGAL COCOK
INSTITUT AGAMA HINDU NEGERI TAMPUNG PENYANG PALANGKA RAYA,PENDIDIKAN GURU SEKOLAH DASAR,S1,BAIK,BERHASIL
UNIVERSITAS SILIWANGI,PENDIDIKAN GEOGRAFI,S1,UNGGUL,BERHASIL
SEKOLAH TINGGI ILMU TARBIYAH MUHAMMADIYAH TANJUNG REDEB BERAU,TADRIS BAHASA INGGRIS,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS HAMZANWADI,PENDIDIKAN FISIKA,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS TRILOGI,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS MUSAMUS MERAUKE,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,BAIK SEKALI,BERHASIL
STMIK YMI TEGAL,TEKNIK INFORMATIKA,S1,BAIK,BERHASIL
UNIVERSITAS ISLAM KALIMANTAN MUHAMMAD ARSYAD AL BANJARI BANJARMASIN,ILMU KOMUNIKASI,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS GADJAH MADA,DOKTOR ILMU PETERNAKAN,S3,UNGGUL,BERHASIL
UNIVERSITAS AIRLANGGA,BAHASA DAN SASTRA INDONESIA,S1,UNGGUL,BERHASIL
UNIVERSITAS NEGERI SURABAYA,SASTRA INGGRIS,S1,UNGGUL,BERHASIL
UNIVERSITAS AIRLANGGA,ILMU HUKUM,S2,UNGGUL,BERHASIL
UNIVERSITAS AIRLANGGA,STUDI KEJEPANGAN,S1,UNGGUL,BERHASIL
UNIVERSITAS ISLAM SULTAN AGUNG,PERENCANAAN WILAYAH DAN KOTA,S1,UNGGUL,BERHASIL
UNIVERSITAS TELKOM,INFORMATIKA,S2,UNGGUL,BERHASIL
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,PENGEMBANGAN MASYARAKAT ISLAM,S1,UNGGUL,BERHASIL
UNIVERSITAS BRAWIJAYA,SASTRA INGGRIS,S1,UNGGUL,BERHASIL
UNIVERSITAS TEUKU UMAR,SOSIOLOGI,S1,B,BERHASIL
SEKOLAH TINGGI ILMU KESEHATAN MUHAMMADIYAH ACEH,TEKNOLOGI ELEKTROMEDIS,D-III,BAIK,BERHASIL
UNIVERSITAS ISLAM BALITAR,MANAJEMEN,S1,B,BERHASIL
UNIVERSITAS BUNG HATTA,ILMU HUKUM,S2,B,BERHASIL
UNIVERSITAS BUNG HATTA,BUDIDAYA PERAIRAN,S1,A,BERHASIL
UNIVERSITAS KADIRI,ADMINISTRASI PUBLIK,S2,B,BERHASIL
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,STUDI ISLAM,S3,UNGGUL,BERHASIL
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,ILMU KOMUNIKASI,S1,UNGGUL,BERHASIL
UNIVERSITAS MUHAMMADIYAH ACEH,TADRIS BIOLOGI,S1,BAIK,BERHASIL
INSTITUT AGAMA ISLAM SULTAN MUHAMMAD SYAFIUDDIN SAMBAS,MANAJEMEN BISNIS SYARIAH,S1,BAIK,BERHASIL
UNIVERSITAS ISLAM NEGERI SULTHAN THAHA SAIFUDDIN JAMBI,MANAJEMEN PENDIDIKAN ISLAM,S1,UNGGUL,BERHASIL
UNIVERSITAS MA&#039;SOEM,PENDIDIKAN BAHASA INGGRIS,S1,BAIK,GAGAL COCOK
SEKOLAH TINGGI ILMU EKONOMI INSAN PEMBANGUNAN,MANAJEMEN,S2,BAIK,BERHASIL
UNIVERSITAS NURUL JADID,TEKNOLOGI INFORMASI,S1,BAIK,BERHASIL
SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN AL MAKSUM,PENDIDIKAN BAHASA INGGRIS,S1,BAIK,BERHASIL
SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN PGRI PAPUA,PENDIDIKAN GURU SEKOLAH DASAR,S1,BAIK,BERHASIL
SEKOLAH TINGGI ILMU ADMINISTRASI AAN,ADMINISTRASI PUBLIK,D-III,BAIK SEKALI,BERHASIL
UNIVERSITAS PADJADJARAN,ILMU KOMUNIKASI,S2,UNGGUL,BERHASIL
INSTITUT AGAMA ISLAM SUKABUMI,PERBANKAN SYARI'AH,S1,BAIK,GAGAL COCOK
INSTITUT AGAMA ISLAM AL-AMANAH JENEPONTO,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK,BERHASIL
UNIVERSITAS KLABAT,AGROTEKNOLOGI,S1,BAIK,BERHASIL
"STAI AL-GAZALI BONE, SULAWESI SELATAN",PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK,GAGAL COCOK
STIH LITIGASI,ADMINISTRASI PERADILAN,D-III,BAIK,BERHASIL
UNIVERSITAS MULAWARMAN,TEKNOLOGI HASIL PERTANIAN,S1,BAIK SEKALI,BERHASIL
