institution_name,province,campus_accreditation,average_yearly_fee,kategori_final,link
UNIVERSITAS BUDDHI DHARMA,BANTEN,BAIK,10390000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,https://campus.quipper.com/directory/universitas-buddhi-dharma
UNIVERSITAS PRAMITA INDONESIA,BANTEN,BAIK,9000000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,https://campus.quipper.com/directory/universitas-pramita-indonesia
STKIP MUTIARA BANTEN,BANTEN,BAIK,8000000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS BINA BANGSA,BANTEN,BAIK,7700077.0,BANTEN - Terjangkau (5-15 Jt) - Baik,https://rencanamu.id/cari-kampus/sekolah-tinggi-ilmu-ekonomi-bina-bangsa
UNIVERSITAS PEMBANGUNAN JAYA TANGERANG,BANTEN,B,7500000.0,BANTEN - Terjangkau (5-15 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/universitas-pembangunan-jaya-tangerang
UNIVERSITAS TANGERANG RAYA,BANTEN,BAIK,7500000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS MANGKU WIYATA,BANTEN,TIDAK TERAKREDITASI,7350000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS PAMULANG,BANTEN,C,7300000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,https://rencanamu.id/cari-kampus/universitas-pamulang
UNIVERSITAS YARSI PRATAMA,BANTEN,BAIK,7200000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS BANTEN JAYA,BANTEN,BAIK,6800000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS ICHSAN SATYA,BANTEN,BAIK,6515000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI BAHASA ASING TECHNOCRAT,BANTEN,BAIK,6500000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS MUHAMMADIYAH BANTEN,BANTEN,BAIK,6000000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
AMIK MAPAN TANGERANG,BANTEN,BAIK,5250000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS AL-KHAIRIYAH,BANTEN,BAIK,5235000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
STMIK ANTAR BANGSA,BANTEN,BAIK,5100000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU EKONOMI PPI,BANTEN,B,4950000.0,BANTEN - Terjangkau (5-15 Jt) - Baik Sekali (B),-
INSTITUT TEKNOLOGI DAN BISNIS BANTEN,BANTEN,BAIK,4800000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS MATHLA UL ANWAR,BANTEN,BAIK SEKALI,4800000.0,BANTEN - Terjangkau (5-15 Jt) - Baik Sekali (B),-
STMIK PGRI TANGERANG,BANTEN,BAIK,4800000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
STKIP SINAR CENDEKIA,BANTEN,BAIK,4800000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
STKIP BABUNNAJAH PANDEGLANG,BANTEN,BAIK,4800000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS UTPADAKA SWASTIKA,BANTEN,BAIK,4790000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
STMIK MASA DEPAN,BANTEN,BAIK,4300000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
STKIP SITUS BANTEN DI SERANG,BANTEN,BAIK,4200000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS LA TANSA MASHIRO,BANTEN,BAIK,3900000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS BANTEN,BANTEN,BAIK,2900000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU ADMINISTRASI MAULANA YUSUF BANTEN,BANTEN,BAIK,1200000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS PRIMAGRAHA,BANTEN,BAIK,1100000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
STISIP BANTEN RAYA,BANTEN,BAIK,300000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS PROF DR HAZAIRIN SH,BENGKULU,BAIK SEKALI,20575000.0,BENGKULU - Menengah (15-40 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI KESEHATAN AL-FATAH BENGKULU,BENGKULU,BAIK,18000000.0,BENGKULU - Menengah (15-40 Jt) - Baik,-
UNIVERSITAS DEHASEN BENGKULU,BENGKULU,BAIK SEKALI,16995000.0,BENGKULU - Menengah (15-40 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI ILMU KESEHATAN SAPTA BAKTI,BENGKULU,BAIK,14000000.0,BENGKULU - Menengah (15-40 Jt) - Baik,-
UNIVERSITAS MUHAMMADIYAH BENGKULU,BENGKULU,B,6600000.0,BENGKULU - Terjangkau (5-15 Jt) - Baik,https://campus.quipper.com/directory/universitas-muhammadiyah-bengkulu
UNIVERSITAS PAT PETULAI,BENGKULU,BAIK,6350000.0,BENGKULU - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS NUSA MEGARKENCANA,DI YOGYAKARTA,B,36200000.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Baik Sekali (B),-
