prodi_name,jenjang,akreditasi_prodi,institution_code
PENDIDIKAN MATEMATIKA,S1,B,banpt-stkip nias selatan
ILMU KOMUNIKASI,S1,B,BANPT-887
EKONOMI PEMBANGUNAN,S1,B,banpt-universitas madako toli-toli
HUKUM EKONOMI SYARIAH,S1,B,BANPT-2114
ILMU KOMUNIKASI,S1,B,BANPT-815
SASTRA INGGRIS,S1,B,BANPT-2541
AGRIBISNIS,S1,Baik,BANPT-1194
PENDIDIKAN MATEMATIKA,S1,Baik,BANPT-4036
ADMINISTRASI PUBLIK,S1,B,BANPT-2963
PENDIDIKAN BAHASA INGGRIS,S1,B,BANPT-1990
MANAJEMEN,S1,B,BANPT-2349
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-stkip muhammadiyah bone
TADRIS BAHASA INGGRIS,S1,B,BANPT-1930
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,BANPT-2901
ILMU ADMINISTRASI NEGARA,S1,B,BANPT-3099
PENDIDIKAN AGAMA ISLAM,S1,B,BANPT-2226
MANAJEMEN,S1,B,BANPT-1022
ANTROPOLOGI SOSIAL,S1,B,BANPT-2547
PEMANFAATAN SUMBER DAYA PERIKANAN,S1,B,BANPT-2547
ILMU TEOLOGI,S1,B,banpt-sekolah tinggi filsafat fajar timur jayapura
PSIKOLOGI,S1,B,BANPT-138
PENDIDIKAN EKONOMI,S1,B,banpt-sekolah tinggi keguruan dan ilmu pendidikan nurul huda
PENDIDIKAN AGAMA ISLAM,S1,B,banpt-sekolah tinggi keguruan dan ilmu pendidikan nurul huda
KOMUNIKASI DAN PENYIARAN ISLAM,S1,B,BANPT-2593
PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,B,BANPT-441
BIMBINGAN DAN KONSELING,S1,B,BANPT-337
AKUNTANSI,S1,B,BANPT-2076
PENDIDIKAN AGAMA ISLAM,S1,B,banpt-universitas islam majapahit
MANAJEMEN,S1,B,BANPT-3888
SASTRA INGGRIS,S1,B,BANPT-3258
AKUNTANSI,S1,B,BANPT-1015
ILMU ADMINISTRASI NIAGA,S1,B,BANPT-2869
PENDIDIKAN BAHASA INGGRIS,S1,B,BANPT-3305
PENDIDIKAN TEKNOLOGI INFORMASI,S1,B,BANPT-3566
PERTAMANAN,S1,B,BANPT-2746
PENDIDIKAN AGAMA ISLAM,S1,A,BANPT-2114
AKUNTANSI,S1,B,BANPT-2746
PENDIDIKAN BIOLOGI,S1,B,BANPT-1740
PENDIDIKAN BAHASA INGGRIS,S1,B,BANPT-3929
PENDIDIKAN MATEMATIKA,S1,Baik,BANPT-4034
KEHUTANAN,S1,B,BANPT-1227
AGRIBISNIS,S1,B,BANPT-2970
PENDIDIKAN MATEMATIKA,S1,B,BANPT-3873
PENDIDIKAN MATEMATIKA,S1,C,banpt-sekolah tinggi keguruan dan ilmu pendidikan subang
PENDIDIKAN BIOLOGI,S1,B,banpt-stkip nias selatan
PERENCANAAN WILAYAH DAN KOTA,S1,B,BANPT-2667
AKUNTANSI,S1,A,BANPT-815
AKUNTANSI,S1,B,BANPT-2351
AGROTEKNOLOGI,S1,B,BANPT-1822
MANAJEMEN,S1,B,banpt-universitas wiraswasta indonesia
PEMANFAATAN SUMBER DAYA PERIKANAN,S1,Baik,BANPT-3929
SISTEM INFORMASI,S1,Baik,BANPT-2498
AGROBISNIS PERIKANAN,S1,Baik,BANPT-1201
ILMU PENDIDIKAN TEOLOGI,S1,B,BANPT-2378
SASTRA INGGRIS,S1,B,BANPT-475
AKUNTANSI,S1,Baik,BANPT-3811
ILMU ADMINISTRASI NEGARA,S1,Baik,banpt-sekolah tinggi ilmu administrasi saumlaki
TEKNIK ELEKTRO,S1,Baik,BANPT-3215
AGRIBISNIS,S1,Baik,BANPT-3915
EKONOMI SYARIAH,S1,Baik,BANPT-463
EKONOMI SYARIAH,S1,B,BANPT-717
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,BANPT-3896
MANAJEMEN,S1,B,banpt-sekolah tinggi ilmu ekonomi wira bhakti
SISTEM INFORMASI AKUNTANSI,S1,B,BANPT-1780
PENDIDIKAN BAHASA INGGRIS,S1,B,BANPT-3963
AKUNTANSI,S1,B,BANPT-3700
SISTEM KOMPUTER,S1,Baik,BANPT-3846
SASTRA INDONESIA,S1,Baik,BANPT-3781
PENDIDIKAN GURU SEKOLAH DASAR,S1,Baik,BANPT-645
TEKNIK INFORMATIKA,S1,B,banpt-stmik akakom
ILMU ADMINISTRASI NIAGA,S1,B,BANPT-1538
AKUNTANSI,S1,B,banpt-universitas wr supratman
AGROTEKNOLOGI,S1,B,BANPT-2359
PENDIDIKAN MATEMATIKA,S1,B,BANPT-2901
HUKUM,S1,Baik,BANPT-1028
PEMANFAATAN SUMBER DAYA PERIKANAN,S1,Baik,BANPT-2498
PENDIDIKAN MATEMATIKA,S1,Baik,BANPT-2941
TEKNIK INFORMATIKA,S1,Baik,BANPT-3656
AKUNTANSI,S1,Baik,BANPT-2347
TEKNIK MESIN,S1,Baik,BANPT-1766
DESAIN KOMUNIKASI VISUAL,S1,Baik,BANPT-3818
AKUNTANSI,S1,Baik,BANPT-3441
AGROTEKNOLOGI,S1,Baik,BANPT-1027
PENDIDIKAN BIOLOGI,S1,Baik,BANPT-3715
SASTRA INGGRIS,S1,A,BANPT-2114
SISTEM INFORMASI,S1,B,BANPT-1780
SISTEM INFORMASI,S1,Baik,BANPT-3846
TEKNIK INFORMATIKA,S1,Baik,BANPT-2340
DESAIN KOMUNIKASI VISUAL,S1,Baik,BANPT-4034
PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,Baik,BANPT-656
KOMUNIKASI DAN PENYIARAN ISLAM,S1,Baik,BANPT-3656
PENDIDIKAN BAHASA INGGRIS,S1,Baik,BANPT-2205
EKONOMI SYARI'AH,S1,Baik,BANPT-3280
TEKNIK INFORMATIKA,S1,Tidak Terakreditasi,BANPT-728
SISTEM KOMPUTER,S1,B,BANPT-466
KEHUTANAN,S1,B,banpt-institut pertanian intan
PENDIDIKAN SENI TARI KEAGAMAAN HINDU,S1,B,BANPT-3122
AGROTEKNOLOGI,S1,Baik,BANPT-2191
MANAJEMEN,S1,Baik,BANPT-1984
PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,Baik,BANPT-3923
PANGAN DAN NUTRISI,S1,B,BANPT-28
PERENCANAAN WILAYAH DAN KOTA,S1,Baik,BANPT-500
PERENCANAAN WILAYAH DAN KOTA,S1,Baik,BANPT-2157
AKUNTANSI,S1,Baik,BANPT-2573
DESAIN KOMUNIKASI VISUAL,S1,Baik,BANPT-3398
PENDIDIKAN EKONOMI,S1,Baik,BANPT-2941
PENDIDIKAN MATEMATIKA,S1,Baik,BANPT-466
AGRIBISNIS,S1,Baik Sekali,BANPT-2059
PENDIDIKAN AGAMA ISLAM,S1,Baik Sekali,BANPT-2525
ILMU HUKUM,S1,B,BANPT-2375
TEKNIK INFORMATIKA,S1,B,BANPT-810
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,BANPT-2358
BUDIDAYA PERAIRAN,S1,B,BANPT-2643
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,C,banpt-sekolah tinggi keguruan dan ilmu pendidikan subang
PENDIDIKAN EKONOMI,S1,B,BANPT-135
PEMANFAATAN SUMBERDAYA PERAIRAN,S1,B,banpt-sekolah tinggi teknologi kelautan balik diwa
MANAJEMEN,S1,B,BANPT-3736
HUKUM,S1,B,BANPT-2469
ILMU SEJARAH,S1,Tidak Terakreditasi,banpt-institut ilmu sosial dan ilmu budaya budaya samawa rea
AGROTEKNOLOGI,S1,Baik,BANPT-3819
BIMBINGAN KONSELING,S1,Baik,BANPT-4006
MANAJEMEN,S1,Baik,BANPT-2740
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,BANPT-3296
PENDIDIKAN MATEMATIKA,S1,Baik,banpt-stkip hatta sjahrir
DESAIN KOMUNIKASI VISUAL,S1,B,BANPT-2593
PENDIDIKAN AGAMA ISLAM,S1,Baik,BANPT-3656
MANAJEMEN,S1,B,BANPT-3085
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,banpt-sekolah tinggi keguruan dan ilmu pendidikan bina insan mandiri
PETERNAKAN,S1,Baik Sekali,BANPT-595
DESAIN GRAFIS,S1,Baik,BANPT-3811
PENDIDIKAN FISIKA,S1,Baik Sekali,BANPT-694
PEMANFAATAN SUMBER DAYA PERIKANAN,S1,Baik,BANPT-3722
PENDIDIKAN TEOLOGI,S1,A,BANPT-1277
HUKUM,S1,B,BANPT-2142
TEKNOLOGI INDUSTRI PERTANIAN,S1,B,BANPT-2433
PSIKOLOGI,S1,A,BANPT-3233
PSIKOLOGI,S1,B,BANPT-2349
TEKNIK ELEKTRO,S1,B,BANPT-2349
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-stkip pgri jombang
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-sekolah tinggi keguruan dan ilmu pendidikan nurul huda
AKUNTANSI,S1,B,BANPT-3946
PENDIDIKAN SEJARAH,S1,B,banpt-institut keguruan dan ilmu pendidikan pgri pontianak
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,banpt-sekolah tinggi keguruan ilmu pendidikan adzkia
PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,B,banpt-sekolah tinggi keguruan dan ilmu pendidikan muhammadiyah kuningan
TEKNOLOGI HASIL PERTANIAN,S1,B,BANPT-1866
PSIKOLOGI,S1,B,BANPT-369
AKUNTANSI,S1,B,BANPT-1613
AKUNTANSI,S1,B,BANPT-3280
MANAJEMEN,S1,B,BANPT-2023
TEKNIK ELEKTRO,S1,B,banpt-sekolah tinggi teknik surabaya
MANAJEMEN,S1,B,BANPT-2020
FILSAFAT AGAMA KRISTEN,S1,A,BANPT-1167
MANAJEMEN,S1,B,banpt-universitas wr supratman
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,banpt-universitas wr supratman
TEKNOLOGI INDUSTRI PERTANIAN,S1,B,BANPT-3866
MANAJEMEN,S1,B,BANPT-2926
PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,B,BANPT-1903
ILMU KOMUNIKASI,S1,B,BANPT-1015
KOMUNIKASI DAN PENYIARAN ISLAM,S1,B,banpt-universitas azzahra
BIMBINGAN DAN KONSELING,S1,B,banpt-institut keguruan dan ilmu pendidikan pgri wates
ILMU HUKUM,S1,B,BANPT-2647
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,BANPT-337
PENDIDIKAN MATEMATIKA,S1,B,BANPT-197
TEKNIK INFORMATIKA,S1,B,banpt-sekolah tinggi manajemen informatika dan komputer jayakarta
MANAJEMEN,S1,B,BANPT-2901
PSIKOLOGI,S1,B,BANPT-1044
MANAJEMEN,S1,B,banpt-sekolah tinggi ilmu ekonomi indragiri rengat
ILMU SOSIATRI,S1,B,BANPT-3055
PENDIDIKAN SOSIOLOGI,S1,B,banpt-sekolah tinggi keguruan dan ilmu pendidikan bima
PENDIDIKAN MATEMATIKA,S1,B,banpt-sekolah tinggi keguruan dan ilmu pendidikan bina bangsa getsempena
PENDIDIKAN SEJARAH,S1,B,BANPT-135
MANAJEMEN,S1,B,BANPT-3250
PENDIDIKAN OLAH RAGA,S1,C,BANPT-3736
ILMU HUKUM,S1,B,BANPT-2226
PENDIDIKAN SEJARAH,S1,B,BANPT-2946
ILMU HUKUM,S1,B,BANPT-2946
PENDIDIKAN BIOLOGI,S1,B,BANPT-3538
MANAJEMEN,S1,B,BANPT-3027
HUKUM,S1,B,BANPT-3440
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-sekolah tinggi keguruan dan ilmu pendidikan budi daya binjai
INFORMATIKA,S1,B,banpt-stmik akakom
PENDIDIKAN BAHASA ARAB,S1,A,BANPT-2114
INFORMATIKA,S1,Baik,BANPT-3963
AGRIBISNIS,S1,B,BANPT-3085
ILMU HUKUM,S1,Baik,banpt-universitas megou pak tulang bawang
SISTEM INFORMASI,S1,B,BANPT-1019
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,BANPT-2901
