faculty,prodi,quipper_institution_code
Ilmu Ekonomi,Akuntansi,48
Ilmu Ekonomi,Perpajakan,48
"Sains, Teknologi, dan Industri",Sistem dan Teknologi Informasi,50
"Sains, Teknologi, dan Industri",Rekayasa Perangkat Lunak.,50
Ekonomi dan Bisnis,Ekonomi Pembangunan,50
Ekonomi dan Bisnis,Akuntansi,50
Ekonomi dan Bisnis,Manajemen,50
Teknik Elektro,Teknik Elektro,51
Teknik Elektro,Teknik Informatika,51
Teknik Manajemen Industri,Teknik Industri,51
Teknik Mesin,Teknik Mesin,51
Teknik Mesin,Sekolah Kedinasan,51
Hidrografi,Kelautan,51
Diploma,Keperawatan,52
Sarjana,Administrasi Rumah Sakit,52
Sarjana,Manajemen,53
Sarjana,Akuntansi,53
Magister,Manajemen,53
Diploma,Akuntansi,53
Diploma,Manajemen Perusahaan,53
Jurusan Teknik Manufaktur,Teknik Manufaktur,55
Sarjana,Pariwisata,56
Diploma,Perhotelan,56
Fakultas Ekonomi Digital,Akuntansi,57
Fakultas Ekonomi Digital,Keuangan Perbankan,57
Fakultas Ekonomi Digital,Manajemen,57
Fakultas Ekonomi Digital,Keuangan Syariah,57
Fakultas Teknik dan Desain,Teknologi Informasi,57
Fakultas Teknik dan Desain,Sistem Informasi,57
Fakultas Teknik dan Desain,Arsitektur,57
Fakultas Teknik dan Desain,Desain Komunikasi Visual,57
Program Sarjana,Sistem Informasi,58
Program Sarjana,Sistem Komputer,58
Program Pascasarjana,Teknologi Informasi,58
Program Diploma,Manajemen Informatika,58
Sarjana,Keperawatan,59
Sarjana,Administrasi Kesehatan,59
Sarjana,Fisioterapi,59
Profesi,Ners,59
Diploma,Keperawatan,59
Pascasarjana,Teknologi Informasi,62
Desain,Desain Produk,62
Desain,Desain Komunikasi Visual,62
Sains dan Teknologi,Sistem Informasi,62
Sains dan Teknologi,Informatika,62
Sains dan Teknologi,Teknik Elektro,62
Sains dan Teknologi,Teknik Industri,62
Sains dan Teknologi,Sistem Informasi Bisnis,62
Ilmu Ekonomi,Akuntansi,66
Ilmu Ekonomi,Manajemen,66
Sarjana,Pendidikan Teologi,69
Sarjana,Akuntansi,70
Sarjana,Manajemen,70
Profesi,Akuntansi,70
Pascasarjana,Manajemen,70
Diploma,Keperawatan,71
Diploma,Kebidanan,71
Sarjana,Keperawatan,71
Profesi,Ners,71
Profesi,Ners,72
Diploma,Keperawatan,72
Sarjana,Ilmu Keperawatan,72
Sarjana,Administrasi Rumah Sakit,72
Ilmu Kesehatan,Keperawatan,73
Ilmu Kesehatan,Kebidanan,73
Ilmu Kesehatan,Farmasi,73
Fakultas Ekonomi dan Bisnis,Manajemen,74
Fakultas Ekonomi dan Bisnis,Akuntansi,74
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa Inggris,74
Fakultas Keguruan dan Ilmu Pendidikan,Keguruan & Pendidikan,74
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Guru Sekolah Dasar,74
Fakultas Kesehatan,Gizi,74
Fakultas Kesehatan,Ilmu Keperawatan,74
Fakultas Kesehatan,Kesehatan Masyarakat,74
Fakultas Kesehatan,Kebidanan,74
Fakultas Komputer,Teknik Informatika,74
Fakultas Komputer,Sistem Informasi,74
Informatika & Pariwisata,Sistem Informasi,75
Informatika & Pariwisata,Teknik Informatika,75
Informatika & Pariwisata,Pariwisata,75
Vokasi,Perbankan & Keuangan,75
Vokasi,Manajemen Pemasaran,75
Vokasi,Akuntansi,75
Bisnis,Akuntansi,75
Bisnis,Manajemen,75
Bisnis,Biokewirausahaan,75
Pascasarjana,Akuntansi,75
Teknik Transportasi dan Logistik,Teknik Dirgantara,78
Teknik Transportasi dan Logistik,Teknik Kelautan,78
Teknik Transportasi dan Logistik,Rekayasa Infrastruktur dan Lingkungan,78
Pascasarjana,Manajemen,78
Pascasarjana,Manajemen Transportasi,78
Vokasi,Manajemen Transportasi Udara,78
Vokasi,Manajemen Transportasi Laut,78
Vokasi,Manajemen Logistik dan Material,78
Sistem Transportasi dan Logistik,Logistik,78
Sistem Transportasi dan Logistik,Transportasi,78
