primary_key,institution_name,rank
366,Universitas Atma Jaya Makassar,366
367,Universitas Winaya Mukti,367
368,Universitas Muslim Nusantara Al-Washliyah,368
369,Universitas Muhammadiyah Bandung,369
370,Universitas Ma'arif Nahdlatul Ulama,370
371,Universitas Darul 'ulum,371
372,Univesitas Islam Negeri Sjech M. Djamil Djambek Bukittinggi,372
373,Universitas Muhammadiyah Gorontalo,373
374,Universitas Kristen Immanuel,374
375,Universitas Muhammadiyah Luwuk Banggai,375
376,Universitas Bale Bandung,376
377,Universitas Widya Dharma,377
378,Universitas Dharmawangsa,378
379,Universitas Nahdlatul Ulama Purwokerto,379
380,Institut Seni Indonesia Padang Panjang,380
381,Universitas Widya Gama,381
382,Universitas Ekasakti,382
383,Universitas Mikroskil,383
384,Universitas Kahuripan Kediri,384
385,Universitas Dhyana Pura,385
386,Universitas Suryakancana,386
387,Universitas Kebangsaan,387
388,Universitas Wijaya Putra,388
389,Universitas Mpu Tantular,389
390,Universitas Megou Pak Tulang Bawang,390
391,Universitas Trinita,391
392,Universitas Hasyim Asy'ari,392
393,Universitas Islam Indragiri,393
394,Universitas Wanita Internasional,394
395,Universitas Widya Gama Mahakam Samarinda,395
396,Universitas Surakarta,396
397,Universitas Bakti Indonesia,397
398,Universitas Mahaputra Muhammad Yamin,398
399,Universitas Islam Balitar,399
400,Universitas Katolik Darma Cendika,400
401,Universitas 17 Agustus 1945 Banyuwangi,401
402,Universitas Informatika Dan Bisnis Indonesia,402
403,Universitas Bakti Tunas Husada,403
404,Universitas Wiraraja,404
405,Universitas Tulungagung,405
406,Universitas Nahdlatul Ulama Nusa Tenggara Barat,406
407,Universitas Kristen Indonesia Tomohon,407
408,Universitas Asahan,408
409,Universitas Muhammadiyah Lampung,409
410,Universitas Muhammadiyah Berau,410
411,Universitas Muhammadiyah Parepare,411
412,Universitas Widya Mataram,412
413,Universitas Katolik Widya Karya,413
414,Universitas Pendidikan Muhammadiyah Sorong,414
415,Universitas Pembinaan Masyarakat Indonesia,415
416,Universitas Nahdlatul Ulama Indonesia,416
417,Universitas Sahid Surakarta,417
418,Universitas Wijaya Kusuma Purwokerto,418
419,Universitas Darma Agung,419
420,Universitas Satya Negara Indonesia,420
421,Universitas Al-washliyah Labuhan Batu,421
422,Universitas Surya,422
423,Universitas Prof. DR. Hazairin SH.,423
424,Universitas Widya Kartika,424
425,Universitas San Pedro,425
426,Universitas Nahdlatul Ulama Yogyakarta,426
427,Universitas Timor,427
428,Universitas PGRI Ronggolawe,428
429,Universitas Bina Insan,429
430,Universitas Islam Batik,430
431,Universitas Gorontalo,431
432,Universitas Madura,432
433,Universitas Perjuangan Tasikmalaya,433
434,Universitas Boyolali,434
435,Universitas Dwijendra,435
436,Universitas Katolik De La Salle,436
437,Universitas Panca Marga,437
438,Universitas Rokania,438
439,Universitas Iskandarmuda,439
440,Universitas Soerjo,440
441,Universitas Mahasaraswati Mataram,441
442,Universitas Batam,442
443,Universitas Azzahra,443
444,Universitas Tama Jagakarsa,444
445,Universitas Pancasakti Makassar,445
446,Universitas Sintuwu Maroso,446
447,Universitas Pasifik Morotai,447
448,Universitas Kristen Indonesia Paulus,448
449,Universitas Baiturrahmah,449
450,Universitas Nahdlatul Wathan,450
451,Universitas Tridinanti Palembang,451
452,Universitas Ichsan Gorontalo,452
453,Universitas Doktor Nugroho Magetan,453
454,Universitas PGRI Silampari,454
455,Universitas Sains Cut Nyak Dhien,455
456,Universitas Bina Insani,456
457,Universitas Samawa,457
458,Universitas Methodist Indonesia,458
459,Universitas Alkhairaat,459
460,Universitas Amir Hamzah,460
461,Universitas Antakusuma,461
462,Universitas Bali Internasional,462
463,Universitas Mulia,463
464,Universitas Muhammadiyah Maluku Utara,464
465,Universitas Kristen Indonesia Maluku,465
466,Universitas Billfath,466
467,Universitas Merdeka Madiun,467
468,Universitas Selamat Sri,468
469,Universitas Baturaja,469
470,Universitas Sumatera Selatan,470
471,Universitas Serang Raya,471
472,Universitas Mathla'ul Anwar,472
473,Universitas Podomoro,473
474,Universitas Mitra Indonesia,474
475,Universitas Merdeka Surabaya,475
476,Universitas Putra Indonesia,476
477,Universitas Darul Ulum Islamic Centre Sudirman,477
478,Universitas Panca Bhakti,478
479,Universitas Pejuang Republik Indonesia,479
480,Universitas Panji Sakti,480
481,Universitas Gajayana Malang,481
482,Universitas Karimun,482
483,Universitas Lintas Internasional Indonesia,483
484,Universitas Ibnu Chaldun,484
485,Universitas Jabal Ghafur,485
486,Universitas Bojonegoro,486
487,Universitas Muhammadiyah Jambi,487
488,Universitas Ngurah Rai,488
489,Universitas Tamansiswa,489
490,Universitas Nusa Nipa,490
