prodi_name,jenjang,akreditasi_prodi,institution_code
AKUNTANSI,D-III,B,BANPT-2305
ADMINISTRASI BISNIS,D-III,B,BANPT-2305
AKUNTANSI,D-III,B,BANPT-3063
ADMINISTRASI BISNIS,D-III,B,BANPT-3063
PSIKOLOGI,S1,B,BANPT-3237
PENDIDIKAN LUAR SEKOLAH,S1,A,BANPT-3237
PENDIDIKAN AGAMA ISLAM,S1,B,BANPT-1958
AGROTEKNOLOGI,S1,B,BANPT-3394
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,BANPT-INSTITUT KEGURUAN DAN ILMU PENDIDIKAN PGRI BOJONEGORO
PENDIDIKAN MATEMATIKA,S1,B,BANPT-81
AGRIBISNIS,S1,B,BANPT-2577
PERBANKAN DAN KEUANGAN,D-III,B,BANPT-3063
AKUAKULTUR,S1,B,BANPT-708
AKUNTANSI,S1,B,BANPT-3313
PENDIDIKAN MATEMATIKA,S1,B,BANPT-1710
PENDIDIKAN GEOGRAFI,S1,A,BANPT-3295
PENDIDIKAN BIOLOGI,S1,B,BANPT-2028
SASTRA INGGRIS,S1,A,BANPT-2044
PENDIDIKAN SENI DRAMA TARI DAN MUSIK,S1,B,BANPT-2673
KIMIA,S1,B,BANPT-472
AKUNTANSI,S1,B,BANPT-3881
MANAJEMEN BISNIS SYARIAH,S1,B,BANPT-IAIN SALATIGA
SENI MUSIK,S1,B,BANPT-3702
ILMU HUKUM,S2,B,BANPT-UNIVERSITAS ISLAM SYEKH YUSUF
SENI TARI,S1,A,BANPT-3822
SENI KARAWITAN,S1,A,BANPT-3822
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,BANPT-3941
MANAJEMEN PEMASARAN,D-III,B,BANPT-3309
PENDIDIKAN AGAMA ISLAM,S2,B,BANPT-INSTITUT AGAMA ISLAM AS&#039;ADIYAH SENGKANG
MANAJEMEN,D-III,A,BANPT-3155
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,BANPT-409
AGROTEKNOLOGI,S1,B,BANPT-2328
BAHASA MANDARIN,D-III,A,BANPT-1248
PENDIDIKAN BAHASA PERANCIS,S1,B,BANPT-3804
TEKNOLOGI INDUSTRI PANGAN,D-III,A,BANPT-POLITEKNIK NEGERI JEMBER
PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,B,BANPT-1973
ILMU PENDIDIKAN BAHASA,S3,A,BANPT-3804
PENDIDIKAN OLAH RAGA,S1,B,BANPT-3271
DESAIN PRODUK,S1,A,BANPT-3136
TEKNIK INFORMATIKA,S1,B,BANPT-1795
ILMU MANAJEMEN,S3,B,BANPT-370
LABORATORIUM SAINS,D-III,B,BANPT-13
KEHUTANAN,S2,B,BANPT-3186
ILMU HUKUM,S1,B,BANPT-83
MANAJEMEN,S1,B,BANPT-1788
ARKEOLOGI,S1,A,BANPT-310
STATISTIKA,S1,BAIK,BANPT-2470
AKUNTANSI,D-III,BAIK,BANPT-POLITEKNIK DARUSSALAM
AGRIBISNIS,S2,BAIK SEKALI,BANPT-3846
PENDIDIKAN KIMIA,S1,BAIK,BANPT-3800
AGRIBISNIS,S1,BAIK,BANPT-3050
PENDIDIKAN KIMIA,S1,BAIK,BANPT-2915
TEKNIK INDUSTRI,S1,BAIK SEKALI,BANPT-972
BIOLOGI,S1,BAIK,BANPT-2821
