primary_key,institution_name,rank
281,UNIVERSITAS PGRI SUMATERA BARAT,281
282,UNIVERSITAS DUTA BANGSA SURAKARTA,282
283,UNIVERSITAS NAHDLATUL ULAMA AL GHAZALI,283
284,UNIVERSITAS KRISNADWIPAYANA,284
285,UNIVERSITAS MUHAMMADIYAH KUDUS,285
286,UNIVERSITAS NAHDLATUL ULAMA SUNAN GIRI,286
287,UNIVERSITAS AKI,287
288,UNIVERSITAS MUHAMMADIYAH SUKABUMI,288
289,UNIVERSITAS ISLAM MADURA PAMEKASAN,289
290,UNIVERSITAS BINA BANGSA GETSEMPENA,290
291,UNIVERSITAS SARI MUTIARA INDONESIA,291
292,UNIVERSITAS INDO GLOBAL MANDIRI,292
293,UNIVERSITAS RESPATI YOGYAKARTA,293
294,UNIVERSITAS ISLAM AS-SYAFIIYAH,294
295,UNIVERSITAS DARUSSALAM GONTOR,295
296,UNIVERSITAS ADHIRAJASA RESWARA SANJAYA,296
297,UNIVERSITAS VETERAN BANGUN NUSANTARA,297
298,UNIVERSITAS ABDURACHMAN SALEH,298
299,UNIVERSITAS NGUDI WALUYO,299
300,UNIVERSITAS YUDHARTA PASURUAN,300
301,UNIVERSITAS MA CHUNG,301
302,UNIVERSITAS BUNG KARNO,302
303,UNIVERSITAS ISLAM INTERNASIONAL INDONESIA,303
304,UNIVERSITAS PERADABAN BUMIAYU,304
305,UNIVERSITAS ISLAM 45 BEKASI,305
306,UNIVERSITAS ISLAM MAJAPAHIT,306
307,UNIVERSITAS MUHADI SETIABUDI,307
308,UNIVERSITAS MOHAMMAD HUSNI THAMRIN,308
309,UNIVERSITAS HINDU INDONESIA,309
310,UNIVERSITAS ISLAM SYEKH-YUSUF,310
311,UNIVERSITAS ISLAM NEGERI DATOKARAMA PALU,311
312,UNIVERSITAS NURUL JADID,312
313,UNIVERSITAS KATOLIK WIDYA MANDIRA,313
314,UNIVERSITAS MUHAMMADIYAH KUPANG,314
315,UNIVERSITAS KATOLIK MUSI CHARITAS,315
316,UNIVERSITAS KLABAT,316
317,UNIVERSITAS SEMBILANBELAS NOVEMBER KOLAKA,317
318,UNIVERSITAS DHARMA ANDALAS,318
319,UNIVERSITAS INDONESIA TIMUR,319
320,UNIVERSITAS PANDANARAN,320
321,UNIVERSITAS KATOLIK WIDYA MANDALA MADIUN,321
322,UNIVERSITAS FAJAR,322
323,UNIVERSITAS ISLAM AL-AZHAR MATARAM,323
324,UNIVERSITAS INDONESIA MEMBANGUN,324
325,UNIVERSITAS TANRI ABENG,325
326,UNIVERSITAS KH. A. WAHAB HASBULLAH,326
327,UNIVERSITAS HARAPAN BANGSA,327
328,UNIVERSITAS TUNAS PEMBANGUNAN,328
329,UNIVERSITAS TULANG BAWANG,329
330,UNIVERSITAS BUDDHI DHARMA,330
331,UNIVERSITAS MUHAMMADIYAH SORONG,331
332,UNIVERSITAS LANGLANGBUANA,332
333,UNIVERSITAS BOROBUDUR,333
334,UNIVERSITAS MUHAMMADIYAH PONTIANAK,334
335,UNIVERSITAS ISLAM KUANTAN SINGINGI,335
336,UNIVERSITAS DINAMIKA BANGSA,336
337,UNIVERSITAS COKROAMINOTO PALOPO,337
338,UNIVERSITAS MUHAMMADIYAH PALOPO,338
339,UNIVERSITAS MUHAMMADIYAH BUTON,339
340,UNIVERSITAS SAHID,340
341,UNIVERSITAS ANDI DJEMMA,341
342,UNIVERSITAS TEKNOLOGI DIGITAL INDONESIA,342
343,UNIVERSITAS ABULYATAMA,343
344,UNIVERSITAS DARUSSALAM AMBON,344
345,UNIVERSITAS MUHAMMADIYAH TAPANULI SELATAN,345
346,UNIVERSITAS NAHDLATUL ULAMA BLITAR,346
347,UNIVERSITAS BOSOWA,347
348,UNIVERSITAS KRISTEN WIRA WACANA SUMBA,348
349,UNIVERSITAS ISLAM JEMBER,349
350,UNIVERSITAS GRESIK,350
351,UNIVERSITAS KUTAI KARTANEGARA,351
352,UNIVERSITAS COKROAMINOTO YOGYAKARTA,352
353,UNIVERSITAS RIAU KEPULAUAN,353
354,UNIVERSITAS SUBANG,354
355,UNIVERSITAS RESPATI INDONESIA,355
356,UNIVERSITAS NURTANIO,356
357,UNIVERSITAS DIRGANTARA MARSEKAL SURYADARMA,357
358,UNIVERSITAS WR SUPRATMAN,358
359,UNIVERSITAS INTERNASIONAL SEMEN INDONESIA,359
360,UNIVERSITAS UBUDIYAH INDONESIA,360
361,UNIVERSITAS FLORES,361
362,UNIVERSITAS MATANA,362
363,UNIVERSITAS PROKLAMASI 45,363
364,UNIVERSITAS PGRI BANYUWANGI,364
365,UNIVERSITAS MUHAMMADIYAH BANJARMASIN,365
366,UNIVERSITAS ATMA JAYA MAKASSAR,366
367,UNIVERSITAS WINAYA MUKTI,367
368,UNIVERSITAS MUSLIM NUSANTARA AL-WASHLIYAH,368
369,UNIVERSITAS MUHAMMADIYAH BANDUNG,369
370,UNIVERSITAS MA'ARIF NAHDLATUL ULAMA,370
371,UNIVERSITAS DARUL 'ULUM,371
372,UNIVESITAS ISLAM NEGERI SJECH M. DJAMIL DJAMBEK BUKITTINGGI,372
373,UNIVERSITAS MUHAMMADIYAH GORONTALO,373
374,UNIVERSITAS KRISTEN IMMANUEL,374
375,UNIVERSITAS MUHAMMADIYAH LUWUK BANGGAI,375
376,UNIVERSITAS BALE BANDUNG,376
377,UNIVERSITAS WIDYA DHARMA,377
378,UNIVERSITAS DHARMAWANGSA,378
379,UNIVERSITAS NAHDLATUL ULAMA PURWOKERTO,379
380,INSTITUT SENI INDONESIA PADANG PANJANG,380
381,UNIVERSITAS WIDYA GAMA,381
382,UNIVERSITAS EKASAKTI,382
383,UNIVERSITAS MIKROSKIL,383
384,UNIVERSITAS KAHURIPAN KEDIRI,384
385,UNIVERSITAS DHYANA PURA,385
386,UNIVERSITAS SURYAKANCANA,386
387,UNIVERSITAS KEBANGSAAN,387
388,UNIVERSITAS WIJAYA PUTRA,388
389,UNIVERSITAS MPU TANTULAR,389
390,UNIVERSITAS MEGOU PAK TULANG BAWANG,390
391,UNIVERSITAS TRINITA,391
392,UNIVERSITAS HASYIM ASY'ARI,392
393,UNIVERSITAS ISLAM INDRAGIRI,393
394,UNIVERSITAS WANITA INTERNASIONAL,394
395,UNIVERSITAS WIDYA GAMA MAHAKAM SAMARINDA,395
396,UNIVERSITAS SURAKARTA,396
397,UNIVERSITAS BAKTI INDONESIA,397
398,UNIVERSITAS MAHAPUTRA MUHAMMAD YAMIN,398
399,UNIVERSITAS ISLAM BALITAR,399
400,UNIVERSITAS KATOLIK DARMA CENDIKA,400
401,UNIVERSITAS 17 AGUSTUS 1945 BANYUWANGI,401
402,UNIVERSITAS INFORMATIKA DAN BISNIS INDONESIA,402
403,UNIVERSITAS BAKTI TUNAS HUSADA,403
404,UNIVERSITAS WIRARAJA,404
405,UNIVERSITAS TULUNGAGUNG,405
406,UNIVERSITAS NAHDLATUL ULAMA NUSA TENGGARA BARAT,406
407,UNIVERSITAS KRISTEN INDONESIA TOMOHON,407
408,UNIVERSITAS ASAHAN,408
409,UNIVERSITAS MUHAMMADIYAH LAMPUNG,409
410,UNIVERSITAS MUHAMMADIYAH BERAU,410
411,UNIVERSITAS MUHAMMADIYAH PAREPARE,411
412,UNIVERSITAS WIDYA MATARAM,412
413,UNIVERSITAS KATOLIK WIDYA KARYA,413
414,UNIVERSITAS PENDIDIKAN MUHAMMADIYAH SORONG,414
415,UNIVERSITAS PEMBINAAN MASYARAKAT INDONESIA,415
416,UNIVERSITAS NAHDLATUL ULAMA INDONESIA,416
