faculty,building_name,address,quipper_institution_code
ALL,Kampus Utama,"Jalan Raya Panglegur KM. 4 Pamekasan 69371
Jawa Timur, Indonesia",67
ALL,Kampus 1,"Jalan Kusuma Bangsa Nomor 9, Panjang Baru, Kecamatan Pekalongan Utara, Kota Pekalongan, Jawa Tengah 51141",68
ALL,Kampus 2,"Jalan Pahlawan KM.5, Rowolaku, Kajen, Pekalongan, Jawa Tengah",68
ALL,Kampus Utama,"Jl. Soegijo Pranoto TP 13, Madiun",69
ALL,Kampus Utama,"Jalan Terusan Candi Kalasan, Blimbing, Malang, Indonesia 65142",70
ALL,Kampus Utama,"Jl. Cimanuk No. 20, Wonokromo, Surabaya, Jawa Timur",71
ALL,Kampus Utama,"Jl. Trunojoyo No.16, Kepanjen, Malang",72
ALL,Kampus Utama,"Jl. Cut Mutia Raya No. 88A, Sepanjangjaya, Bekasi",73
ALL,Kampus Utama,Jl. Raya Pondok Gede No.23-25 Jakarta Timur 13550,74
ALL,Kampus Utama,"Jl. Rangga Gading No.01, Gudang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16123",75
ALL,Kampus Utama,"Jalan Singosari Nomor 2A, Kota Semarang, Jawa Tengah 50242",76
ALL,Kampus A,"Jl. Raya Bogor Km.24 Cijantung, Jakarta Timur, 13770",77
ALL,Kampus B,"Jl. Bintara Raya, Bintara V, Bekasi, Jawa Barat, 17134",77
ALL,Kampus Utama,"Jl. IPN No.2, Cipinang Besar Selatan, Jakarta Timur",78
ALL,Kampus Utama,"Jl. Parahyangan Kav. 8 Blok B No. 1 Kota Baru Parahyangan, Padalarang, Bandung Barat, Jawa Barat",79
Teknik Penerbangan,Kampus Utama,"Jl. Raya PLP Curug, Serdang Wetan, Kec. Legok, Tangerang, Banten 15820",80
Manajemen Penerbangan,Kampus Utama,"Jl. Raya PLP Curug, Serdang Wetan, Kec. Legok, Tangerang, Banten 15820",80
Penerbang,Kampus Utama,"Jl. Raya PLP Curug, Serdang Wetan, Kec. Legok, Tangerang, Banten 15820",80
Keselamatan Penerbangan,Kampus Utama,"Jl. Raya PLP Curug, Serdang Wetan, Kec. Legok, Tangerang, Banten 15820",80
ALL,Kampus Utama,"Jl. Terusan Sekar Kemuning No. 199, Kel. Karyamulya, Kec. Kesambi, Kota Cirebon, 45135",81
ALL,Kampus Utama,"Jalan Karimata No. 49, Kecamatan Sumbersari, Jember, Jawa Timur",82
ALL,Kampus Utama,"Jl. Cikini Raya 73
Taman Ismail Marzuki (TIM)
Cikini – Menteng
DKI Jakarta
10330",83
ALL,Kampus Utama,Jl. Dr. Wahidin Sudiro Husodo No. 5-25 Yogyakarta 55224,84
ALL,Kampus Benowo (UWP),"Jl. Raya Benowo 1-3, Surabaya",85
ALL,Kampus Wiyung,"Jl. Menganti Kramat 133, Wiyung, Surabaya",85
ALL,Kampus Utama,"IKIP Gunung Anyar Blok E No.152-154 & 197-198, Gn. Anyar, Kec. Gn. Anyar, Kota Surabaya, Jawa Timur 60295",86
ALL,Kampus Utama,"Jl. Majasem no. B2, Kota Cirebon",87
ALL,Kampus Utama,"Jl. Raya Bojongsari, Depok, Jawa Barat 16517",88
ALL,Kampus Utama,"Jalan Telaga Warna, Tlogomas
Malang, Jawa Timur, 65144",89
ALL,Kampus Cikarang,"Jl. Gaharu Blok F-3 Delta Silicon 2 Lippo Cikarang, Kelurahan Cibatu, Kecamatan Cikarang Selatan, Bekasi, Jawa Barat 17530",90
ALL,Kampus Sunter,"Komplek PT Astra International Tbk. Gedung B, Jl. Gaya Motor Raya No. 8, Sunter II, Jakarta 14330",90
ALL,Kampus Utama,"Jl. Perunggu No. 53-54,
Harapan Mulya, Kemayoran
Jakarta Pusat 10640",91
ALL,Kampus Utama,"Jalan R.A.A. Wiranatakusumah 7 Baleendah, Kabupaten Bandung 40258",92
ALL,Kampus Utama,"Jl. Mertojoyo Blok L, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",93
ALL,Kampus Utama,"Jalan Parit H. Mukhsin II, Sungai Raya, Kabupaten Kubu Raya, Kalimantan Barat 78121",94
ALL,Kampus 2,"Tabek, Kecamatan Pariangan, Kabupaten Tanah Datar, Sumatera Barat 27264",95
ALL,Kampus Utama,"Jalan Jenderal Sudirman No. 137, Limo Kaum, Kecamatan Lima Kaum, Kabupaten Tanah Datar, Sumatera Barat 27217, Indonesia",95
Ma'had Aly Riyadhul Jannah,STAI Ma'had Aly Riyadhul Jannah,"Jln. Garuda No. 32 Batujaya, Batuceper, Kota Tangerang",96
ALL,Kampus Utama,"Komplek Indonesia Peace and Security Center (IPSC), Sentul, Bogor, Jawa Barat",97
ALL,Kampus Utama,"Jalan Taman Pendidikan, Moodu, Kota Timur, Kota Gorontalo",98
ALL,Kampus Utama,"Jl.Bintaro Raya No.10, Tanah Kusir, Kebayoran Lama Utara, Jakarta Selatan",99
Fakultas Seni Pertunjukan,Kampus Utama,"Jalan Kampwolker Perumnas 3 Waena, Kota Jayapura, Papua",100
Fakultas Seni Rupa dan Desain,Kampus Utama,"Jalan Kampwolker Perumnas 3 Waena, Kota Jayapura, Papua",100
"Fakultas Ushuluddin, Adab, dan Humaniora",Kampus Utama,"Jl. Mataram No. 1 Mangli, Jember 68136, Jawa Timur",101
Fakultas Dakwah,Kampus Utama,"Jl. Mataram No. 1 Mangli, Jember 68136, Jawa Timur",101
Fakultas Syariah,Kampus Utama,"Jl. Mataram No. 1 Mangli, Jember 68136, Jawa Timur",101
Fakultas Tarbiyah dan Ilmu Keguruan,Kampus Utama,"Jl. Mataram No. 1 Mangli, Jember 68136, Jawa Timur",101
Fakultas Ekonomi dan Bisnis Islam,Kampus Utama,"Jl. Mataram No. 1 Mangli, Jember 68136, Jawa Timur",101
ALL,Kampus Utama,"Jl. Batan I No. 2 Lebak Bulus, Cilandak, Jakarta Selatan",102
ALL,Kampus Diponegoro,"Jl. Diponegoro No. 74
Jakarta Pusat 10430",103
Ekonomi dan Bisnis,Universtias Yatsi Madani,"Jln. Aria Santika, No. 40A, Kel. Margasari, Kec. Karawaci, Kota Tangerang - Banten 15113",104
Kesehatan,Universtias Yatsi Madani,"Jln. Aria Santika, No. 40A, Kel. Margasari, Kec. Karawaci, Kota Tangerang - Banten 15113",104
Sains dan Teknologi,Universtias Yatsi Madani,"Jln. Aria Santika, No. 40A, Kel. Margasari, Kec. Karawaci, Kota Tangerang - Banten 15113",104
ALL,Kampus Utama,"Jalan Kantil Bulusulur Wonogiri, Kecamatan Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57615",105
ALL,Kampus Cibinong,"Jl. Raya Mayor Oking Jaya Atmaja No.9 Cirimekar Cibinong, Bogor 16917
(RS. Sentra Medika Cibinong)",106
ALL,Kampus Cikarang,"Jl. Raya Industri Pasir Gombong, Jababeka, Cikarang – Bekasi 17530",106
ALL,Kampus 2,"Jalan Gunung Anyar Boulevard Nomor 1 Surabaya, Jawa Timur 60155",107
ALL,Kampus 1,"Jalan Raya Hang Tuah Nomor 5, Surabaya 60155",107
ALL,Kampus Utama,"Jalan Cengger Ayam Nomor 24, Tulusrejo, Kecamatan Lowokwaru, Kota Malang, Jawa Timur 65141",108
