quipper_code,rencanamu_code,banpt_code,pddikti_code,faculty,prodi,prodi_normalized,edu_level,accreditation
-,-,banpt-1132,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-1132,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK
quipper-153,-,banpt-661,-,SARJANA,ADMINISTRASI BISNIS,ADMINISTRASI BISNIS,S1,UNGGUL
-,rencanamu-16,-,-,-,ILMU ADMINISTRASI NIAGA,ADMINISTRASI NIAGA,S1,A
quipper-153,rencanamu-16,banpt-661,-,SARJANA,AKUNTANSI,AKUNTANSI,S1,A
quipper-153,rencanamu-16,banpt-661,-,SARJANA,ILMU KOMUNIKASI,ILMU KOMUNIKASI,S1,B
quipper-153,rencanamu-16,banpt-661,-,SARJANA,TEKNIK INFORMATIKA,INFORMATIKA,S1,B
quipper-153,rencanamu-16,banpt-661,-,SARJANA,MANAJEMEN,MANAJEMEN,S1,A
quipper-153,rencanamu-16,banpt-661,-,SARJANA,SISTEM INFORMASI,SISTEM INFORMASI,S1,B
-,-,banpt-248,-,-,BISNIS DIGITAL,BISNIS DIGITAL,S1,BAIK
-,-,banpt-248,-,-,KEWIRAUSAHAAN,KEWIRAUSAHAAN,S1,BAIK SEKALI
-,-,banpt-248,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-248,-,-,MANAJEMEN RETAIL,MANAJEMEN RITEL,S1,BAIK
-,-,banpt-248,-,-,PERDAGANGAN INTERNASIONAL,PERDAGANGAN INTERNASIONAL,S1,BAIK
-,-,banpt-2445,-,-,ILMU KOMPUTER,KOMPUTER,S1,BAIK
-,-,banpt-2445,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-125,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-125,-,-,ILMU KOMUNIKASI,ILMU KOMUNIKASI,S1,B
-,-,banpt-125,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
quipper-542,-,-,-,FAKULTAS ILMU ADMINISTRASI DAN SEKRETARI,ILMU ADMINISTRASI,ADMINISTRASI,S1,-
quipper-542,-,-,-,FAKULTAS EKONOMI,AKUNTANSI,AKUNTANSI,S1,-
quipper-542,-,-,-,FAKULTAS ILMU KOMUNIKASI DAN MULTIMEDIA,ILMU KOMUNIKASI,ILMU KOMUNIKASI,S1,-
