cluster,institution_code,institution_name,province,body_type,campus_accreditation,faculty,prodi,edu_level,accreditation,average_yearly_fee,average_semester_fee
1,121,UNIVERSITAS MUHAMMADIYAH KENDARI,SULAWESI TENGGARA,SWASTA,BAIK SEKALI,-,MANAJEMEN,S1,C,40250000.0,20125000.0
1,121,UNIVERSITAS MUHAMMADIYAH KENDARI,SULAWESI TENGGARA,SWASTA,BAIK SEKALI,-,PEMANFAATAN SUMBERDAYA PERIKANAN,S1,C,40250000.0,20125000.0
1,120,UNIVERSITAS KATOLIK SANTO THOMAS,SUMATERA UTARA,SWASTA,B,-,AGRIBISNIS,S1,BAIK SEKALI,40335000.0,20167500.0
1,120,UNIVERSITAS KATOLIK SANTO THOMAS,SUMATERA UTARA,SWASTA,B,-,AKUNTANSI,S1,B,40335000.0,20167500.0
1,120,UNIVERSITAS KATOLIK SANTO THOMAS,SUMATERA UTARA,SWASTA,B,-,SIPIL,S1,C,40335000.0,20167500.0
1,120,UNIVERSITAS KATOLIK SANTO THOMAS,SUMATERA UTARA,SWASTA,B,-,BAHASA SASTRA INDONESIA,S1,C,40335000.0,20167500.0
1,120,UNIVERSITAS KATOLIK SANTO THOMAS,SUMATERA UTARA,SWASTA,B,-,FILSAFAT,S1,B,40335000.0,20167500.0
1,120,UNIVERSITAS KATOLIK SANTO THOMAS,SUMATERA UTARA,SWASTA,B,-,GURU SEKOLAH DASAR,S1,B,40335000.0,20167500.0
1,119,UNIVERSITAS PGRI RONGGOLAWE,JAWA TIMUR,SWASTA,BAIK SEKALI,-,BIOLOGI,S1,BAIK SEKALI,40364875.0,20182437.0
1,119,UNIVERSITAS PGRI RONGGOLAWE,JAWA TIMUR,SWASTA,BAIK SEKALI,-,INDUSTRI,S1,BAIK SEKALI,40364875.0,20182437.0
1,119,UNIVERSITAS PGRI RONGGOLAWE,JAWA TIMUR,SWASTA,BAIK SEKALI,-,BAHASA SASTRA INDONESIA,S1,BAIK SEKALI,40364875.0,20182437.0
1,118,UNIVERSITAS KRISNADWIPAYANA,D.K.I. JAKARTA,SWASTA,B,FAKULTAS ILMU ADMINISTRASI,ADMINISTRASI NEGARA,S1,B,40500000.0,20250000.0
1,118,UNIVERSITAS KRISNADWIPAYANA,D.K.I. JAKARTA,SWASTA,B,FAKULTAS TEKNIK,SIPIL,S1,C,40500000.0,20250000.0
1,118,UNIVERSITAS KRISNADWIPAYANA,D.K.I. JAKARTA,SWASTA,B,-,ADMINISTRASI PUBLIK,S1,B,40500000.0,20250000.0
1,118,UNIVERSITAS KRISNADWIPAYANA,D.K.I. JAKARTA,SWASTA,B,-,INFORMATIKA,S1,C,40500000.0,20250000.0
1,118,UNIVERSITAS KRISNADWIPAYANA,D.K.I. JAKARTA,SWASTA,B,FAKULTAS TEKNIK,MANAJEMEN TEKNOLOGI,S1,-,40500000.0,20250000.0
1,118,UNIVERSITAS KRISNADWIPAYANA,D.K.I. JAKARTA,SWASTA,B,FAKULTAS TEKNIK,MESIN,S1,C,40500000.0,20250000.0
1,118,UNIVERSITAS KRISNADWIPAYANA,D.K.I. JAKARTA,SWASTA,B,-,ADMINISTRASI BISNIS,S1,BAIK,40500000.0,20250000.0
1,117,SEKOLAH TINGGI ILMU KESEHATAN RSPAD GATOT SOEBROTO,D.K.I. JAKARTA,SWASTA,BAIK,-,KEPERAWATAN,S1,BAIK,40600000.0,20300000.0
1,116,UNIVERSITAS MUHAMMADIYAH BULUKUMBA,SULAWESI SELATAN,SWASTA,BAIK,-,PERENCANAAN WILAYAH KOTA,S1,BAIK,40805000.0,20402500.0
1,116,UNIVERSITAS MUHAMMADIYAH BULUKUMBA,SULAWESI SELATAN,SWASTA,BAIK,-,KIMIA,S1,BAIK,40805000.0,20402500.0
1,113,UNIVERSITAS SARI MULIA,KALIMANTAN SELATAN,SWASTA,BAIK,-,KEPERAWATAN,S1,BAIK SEKALI,41850000.0,20925000.0
1,113,UNIVERSITAS SARI MULIA,KALIMANTAN SELATAN,SWASTA,BAIK,-,SISTEM INFORMASI,S1,BAIK,41850000.0,20925000.0
1,111,INSTITUT KESEHATAN HELVETIA,SUMATERA UTARA,SWASTA,B,-,KEBIDANAN,S1,BAIK,42400000.0,21200000.0
1,106,UNIVERSITAS AISYIYAH PALEMBANG,SUMATERA SELATAN,SWASTA,BAIK,-,MANAJEMEN,S1,BAIK,45650000.0,22825000.0
1,103,UNIVERSITAS HAMZANWADI,NUSA TENGGARA BARAT,SWASTA,B,-,FISIKA,S1,B,46850000.0,23425000.0
1,103,UNIVERSITAS HAMZANWADI,NUSA TENGGARA BARAT,SWASTA,B,-,PARIWISATA,S1,BAIK,46850000.0,23425000.0
1,103,UNIVERSITAS HAMZANWADI,NUSA TENGGARA BARAT,SWASTA,B,-,GURU SEKOLAH DASAR,S1,BAIK SEKALI,46850000.0,23425000.0
1,103,UNIVERSITAS HAMZANWADI,NUSA TENGGARA BARAT,SWASTA,B,-,GURU ANAK USIA DINI,S1,BAIK SEKALI,46850000.0,23425000.0
1,103,UNIVERSITAS HAMZANWADI,NUSA TENGGARA BARAT,SWASTA,B,-,EKONOMI,S1,B,46850000.0,23425000.0
1,102,UNIVERSITAS MUHAMMADIYAH JEMBER,JAWA TIMUR,SWASTA,B,ILMU KESEHATAN,NERS KEPERAWATAN,S1,-,46860200.0,23430100.0
1,102,UNIVERSITAS MUHAMMADIYAH JEMBER,JAWA TIMUR,SWASTA,B,PERTANIAN,TEKNOLOGI INDUSTRI PERTANIAN,S1,BAIK,46860200.0,23430100.0
1,102,UNIVERSITAS MUHAMMADIYAH JEMBER,JAWA TIMUR,SWASTA,B,KEGURUAN DAN ILMU PENDIDIKAN,MATEMATIKA,S1,B,46860200.0,23430100.0
1,102,UNIVERSITAS MUHAMMADIYAH JEMBER,JAWA TIMUR,SWASTA,B,EKONOMI,AKUNTANSI,S1,A,46860200.0,23430100.0
1,102,UNIVERSITAS MUHAMMADIYAH JEMBER,JAWA TIMUR,SWASTA,B,HUKUM,HUKUM,S1,B,46860200.0,23430100.0
1,99,UNIVERSITAS MUHAMMADIYAH METRO,LAMPUNG,SWASTA,BAIK SEKALI,-,KEWIRAUSAHAAN,S1,BAIK,48115001.0,24057500.0
