quipper_code,rencanamu_code,banpt_code,pddikti_code,faculty,prodi,prodi_normalized,edu_level,accreditation,institution_code
-,-,banpt-1321,-,-,,TEKNOLOGI INFORMASI,S1,BAIK,763
-,-,banpt-3976,-,-,,DESAIN KOMUNIKASI VISUAL,S1,B,361
-,-,banpt-3976,-,-,,DESAIN PRODUK,S1,TIDAK TERAKREDITASI,361
-,-,banpt-3976,-,-,,INFORMATIKA,S1,BAIK SEKALI,361
-,-,banpt-3976,-,-,,KOMPUTER,S1,BAIK,361
-,-,banpt-3976,-,-,,SISTEM INFORMASI,S1,BAIK SEKALI,361
-,-,banpt-708,-,-,,ADMINISTRASI BISNIS,S1,UNGGUL,70
-,-,banpt-708,-,-,,BISNIS DIGITAL,S1,BAIK,70
-,-,banpt-708,-,-,,KEWIRAUSAHAAN,S1,BAIK,70
-,-,banpt-1679,-,-,,BIOMEDIS,S1,BAIK,634
-,-,banpt-1679,-,-,,BIOTEKNOLOGI,S1,BAIK,634
-,-,banpt-1679,-,-,,HUKUM,S1,TERAKREDITASI SEMENTARA,634
-,-,banpt-1679,-,-,,ILMU KOMUNIKASI,S1,TERAKREDITASI SEMENTARA,634
-,-,banpt-1679,-,-,,KEBIDANAN,S1,BAIK,634
-,-,banpt-1679,-,-,,MANAJEMEN,S1,BAIK,634
-,-,banpt-387,-,-,,BIMBINGAN KONSELING,S1,BAIK SEKALI,539
-,-,banpt-387,-,-,,GURU ANAK USIA DINI,S1,BAIK SEKALI,539
-,-,banpt-387,-,-,,GURU SEKOLAH DASAR,S1,BAIK SEKALI,539
-,-,banpt-387,-,-,,MASYARAKAT,S1,UNGGUL,539
-,-,banpt-387,-,-,,MATEMATIKA,S1,UNGGUL,539
-,-,banpt-1618,-,-,,ADMINISTRASI RUMAH SAKIT,S1,BAIK,562
-,-,banpt-1618,-,-,,BISNIS DIGITAL,S1,BAIK,562
-,-,banpt-1618,-,-,,MANAJEMEN,S1,BAIK,562
-,-,banpt-1332,-,-,,AKUNTANSI,S1,BAIK,1538
-,-,banpt-1332,-,-,,KEBIDANAN,S1,BAIK,1538
-,-,banpt-1332,-,-,,KEPERAWATAN,S1,BAIK SEKALI,1538
-,-,banpt-1332,-,-,,MANAJEMEN,S1,BAIK,1538
-,-,banpt-3078,-,-,,AKUNTANSI,S1,BAIK SEKALI,675
-,-,banpt-3078,-,-,,GIZI,S1,BAIK SEKALI,675
-,-,banpt-3078,-,-,,KEPERAWATAN,S1,BAIK,675
-,-,banpt-3078,-,-,,MANAJEMEN,S1,BAIK SEKALI,675
-,-,banpt-120,-,-,,ADMINISTRASI KESEHATAN,S1,BAIK,210
-,-,banpt-120,-,-,,GIZI,S1,BAIK,210
-,-,banpt-120,-,-,,TEKNOLOGI INFORMASI,S1,BAIK,210
-,-,banpt-1035,-,-,,ELEKTRO,S1,BAIK,1769
-,-,banpt-1035,-,-,,FARMASI,S1,BAIK,1769
-,-,banpt-1035,-,-,,KEPERAWATAN,S1,BAIK SEKALI,1769
-,-,banpt-1035,-,-,,KESEHATAN MASYARAKAT,S1,BAIK,1769
-,-,banpt-1035,-,-,,SIPIL,S1,BAIK,1769
-,-,banpt-1035,-,-,,TEKNOLOGI INFORMASI,S1,BAIK,1769
-,-,banpt-1418,-,-,,KEPERAWATAN,S1,BAIK SEKALI,222
-,-,banpt-1418,-,-,,LINGKUNGAN,S1,BAIK,222
-,-,banpt-470,-,-,,ADMINISTRASI RUMAH SAKIT,S1,BAIK SEKALI,149
-,-,banpt-470,-,-,,FARMASI,S1,BAIK SEKALI,149
-,-,banpt-470,-,-,,KEBIDANAN,S1,BAIK SEKALI,149
-,-,banpt-470,-,-,,KEDOKTERAN,S1,BAIK,149
-,-,banpt-470,-,-,,KEPERAWATAN,S1,BAIK SEKALI,149
-,-,banpt-470,-,-,,KESEHATAN MASYARAKAT,S1,UNGGUL,149
-,-,banpt-2185,-,-,,ADMINISTRASI RUMAH SAKIT,S1,B,111
