institution_code,institution_name,akreditasi_institusi,address,regency,province,contact,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee,body_type,link,student_amount,lecturer_amount,description
banpt-149,SEKOLAH TINGGI ILMU KESEHATAN MITRA KELUARGA,TERAKREDITASI,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-150,AKADEMI FARMASI INDONESIA YOGYAKARTA,TERAKREDITASI,-,-,DAERAH ISTIMEWA YOGYAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-151,SEKOLAH TINGGI ILMU KEPERAWATAN PPNI JAWA BARAT,TERAKREDITASI,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-152,SEKOLAH TINGGI ILMU EKONOMI MUHAMMADIYAH CILACAP,BAIK,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-153,UNIVERSITAS BPD,BAIK SEKALI,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-155,SEKOLAH TINGGI TEKNOLOGI MUHAMMADIYAH AR FACHRUDDIN,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-157,INSTITUT TEKNOLOGI DAN BISNIS AHMAD DAHLAN LAMONGAN,BAIK SEKALI,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-160,UNIVERSITAS WIRARAJA,BAIK SEKALI,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-163,SEKOLAH TINGGI PARIWISATA MATARAM,BAIK SEKALI,-,-,BALI DAN NUSA TENGGARA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-164,AKADEMI TEKNIK ELEKTROMEDIK ANDAKARA,BAIK,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-165,INSTITUT TEKNOLOGI AI MAHRUSIYAH,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-167,AMIK JABAL GHAFUR,TIDAK TERAKREDITASI,-,-,ACEH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-168,INSTITUT TEKNOLOGI DAN BISNIS ARUNGPALAKKA,TIDAK TERAKREDITASI,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-169,UNIVERSITAS NUSA MEGARKENCANA,B,-,-,DAERAH ISTIMEWA YOGYAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-170,UNIVERSITAS ALIFAH PADANG,BAIK SEKALI,-,-,SUMATERA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-173,UNIVERSITAS PRIMA NUSANTARA BUKITTINGGI,UNGGUL,-,-,SUMATERA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-176,POLITEKNIK INDUSTRI ATMI,BAIK SEKALI,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-177,UNIVERSITAS NUSA PUTRA,UNGGUL,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-179,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN BIAK,BAIK,-,-,PAPUA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-181,UNIVERSITAS PRIMAKARA,BAIK SEKALI,-,-,BALI DAN NUSA TENGGARA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-182,POLITEKNIK MARDIRA INDONESIA,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-183,SEKOLAH TINGGI ILMU KESEHATAN RS PROF. DR. J.A. LATUMETEN,BAIK,-,-,MALUKU DAN MALUKU UTARA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-185,UNIVERSITAS DHARMA ANDALAS,BAIK SEKALI,-,-,SUMATERA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-192,UNIVERSITAS WASKITA DHARMA,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-194,AKADEMI KEPERAWATAN GIRI SATRIA HUSADA,BAIK,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-197,UNIVERSITAS PEKALONGAN,UNGGUL,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-198,UNIVERSITAS PGRI SEMARANG,UNGGUL,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-200,UNIVERSITAS DHARMA INDONESIA,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-206,UNIVERSITAS MUHAMMADIYAH BENGKULU,UNGGUL,-,-,SUMATERA SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-209,UNIVERSITAS BAITURRAHIM,BAIK SEKALI,-,-,SUMATERA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
